Well,shRNA,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,Amet+CD62L+ as % of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+,Amet+CXCR3+ as % of Amet+,Amet+CD103+ as % of Amet+,GeoMean PE-A - CD127 of Amet+
B02,Fbxw9.1,4113.847872,2002.594943,23.69281046,68.54602196,8.333333333,0.620915033,53.48349495
B03,Hcfc1.1,3781.650332,1562.060379,18.6504928,128.3350182,16.22441243,1.137225171,48.16968696
B04,Hdac1.1,3544.514117,1914.441112,23.10352778,86.81134392,10.51418031,1.844593037,63.86259424
B05,Hat1.1,3689.841247,2037.87724,16.69702489,71.50235964,9.411050395,0.890507994,52.66271917
B06,Gadd45a.1,2863.553042,1678.104627,18.41532434,83.38005112,12.36395298,0.261210274,45.08270678
B07,Hdac6.1,3615.361377,2149.489602,15.58528428,74.16475594,9.030100334,0.602006689,44.1777317
B08,Hdac2.1,3464.244372,1928.151664,16.68074324,85.97739663,11.61317568,2.090371622,58.70855945
B09,Gtf2f1.1,3958.675996,1968.340994,18.26835902,72.50757667,9.202175884,1.269265639,40.95785367
B10,Fkbp1a.1,4381.573643,2227.633517,15.28776978,64.65475154,7.613908873,0.329736211,39.80650164
B11,Hdac3.1,2838.418249,2100.983408,12.28249744,70.11431403,8.700102354,0.614124872,45.37268169
C02,Hdac2.2,3870.994529,1664.873925,24.67028704,84.62098701,10.86113266,1.163692785,55.09335056
C03,Gadd45b.1,3946.918151,1860.652179,19.86379115,112.541717,13.2122588,0.998864926,53.15950748
C04,Fbxw9.2,3785.69144,1993.096087,18.6440678,106.9696258,12.6653008,1.210653753,48.09290006
C05,Hdac3.2,1976.957392,4865.670709,13.6659436,99.80151239,10.84598698,0.21691974,54.73153418
C06,Hdac10.1,3890.502821,2094.511776,17.03835861,82.55048547,11.59678858,0.847457627,58.94669884
C07,Hdac1.2,3849.671609,1611.846831,12.24806202,102.9067079,16.58914729,0.620155039,48.28231885
C08,Gadd45a.2,3258.65531,1849.205285,15.11397423,104.4751249,14.61843409,1.189296333,43.03037464
C09,Hdac4.1,3106.391063,1949.710819,14.70588235,104.3799183,16.54411765,0.919117647,42.27597152
C10,Hcfc1.2,5009.96434,2630.522986,21.13594041,84.99865204,12.29050279,2.048417132,58.46812662
C11,Gtf3c4.1,4182.678363,2209.550721,17.86516854,74.45188785,13.03370787,0.786516854,42.09133517
D02,Fkbp1a.2,2853.663519,558.7136326,36.36363636,102.4689126,9.090909091,0,27.38131782
D03,Hdac4.2,4651.205021,2349.653957,22.25075881,100.0335816,12.35115573,1.097361662,51.61341423
D04,Hcfc1.3,4173.810819,1746.919456,15.01519757,311.6044071,31.67173252,6.079027356,69.09471358
D05,Gtf2b.1,2917.12009,1976.758039,18.91891892,138.861014,17.66508777,0.585121204,51.28375587
D06,Gadd45b.2,2642.101343,1591.661524,18.35321277,197.6797388,25.27895344,2.34705656,38.83360429
D07,Hdac4.3,3337.480049,2534.848094,16.23036649,116.8876898,16.23036649,0.523560209,41.0738955
D08,Hdac10.2,4395.615111,2504.079481,22.55993151,80.11586182,13.78424658,1.198630137,49.54626421
D09,Gtf2f1.2,4173.908644,1946.909533,22.1930745,133.5094979,20.3567681,1.101783841,45.43964428
D10,Fbxw9.3,2870.593168,2131.809978,18.13865147,93.93863636,15.19468186,1.234567901,59.72928217
D11,Hdac6.2,3694.719012,1904.179998,12.43052046,102.8095768,15.81606872,1.616978272,42.74318182
