Well,shRNA,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,Amet+CD62L+ as % of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+,Amet+CXCR3+ as % of Amet+,Amet+CD103+ as % of Amet+,GeoMean PE-A - CD127 of Amet+
B02,Actl6b.1,3537.927134,2946.779908,17.30319564,150.3884231,21.979735,1.325019486,36.04712974
B03,Asxl3.1,4101.320655,2363.96955,20.56530214,86.85982714,14.08382066,0.877192982,50.65892928
B04,Atad2.1,4059.584405,2998.917556,20.47768207,66.37391619,13.03837118,0.743931088,42.91132129
B05,Asxl2.1,4390.110485,1814.081381,21.53284672,105.9609447,20.52919708,0.729927007,34.66750699
B06,Aff4.1,4542.55865,2352.44367,22.15288612,83.53933103,14.66458658,1.248049922,35.93691368
B07,Aurkb.1,4303.200735,2217.759839,22.1761658,65.85157362,11.67530225,0.984455959,35.3967767
B08,Atm.1,3930.393855,2278.115717,22.15598609,59.26872682,12.04669647,1.415797317,33.24756874
B09,Ash2l.1,3349.420166,2777.775463,25.69817401,87.8749377,16.67561762,1.933404941,36.09131132
B10,Aff1.1,4349.166605,2302.452237,19.18472986,49.07594609,9.964412811,1.197023617,38.55632917
B11,Atr.1,4224.253331,2758.610781,20.19844082,42.53695176,8.575478384,1.417434444,38.95544382
C02,Atm.2,4600.15689,2618.812708,15.44117647,91.96388119,15.04010695,1.704545455,50.78792065
C03,Arid2.1,4263.450335,3279.253031,18.43497633,142.1713494,20.69061543,1.336675021,55.28254788
C04,Actl6b.2,3628.174011,2855.601647,17.40290543,96.91217868,16.45419508,1.452712719,36.81183431
C05,Atr.2,4243.791542,3025.459764,15.35008977,103.8978335,17.98324357,1.765409934,51.30791118
C06,Atad2b.1,4118.189686,2415.562498,24.27635749,99.76807636,15.8673146,0.82400169,34.68700053
C07,Atad2.2,4537.135242,1425.245849,18.5483871,132.9581434,18.9516129,1.88172043,36.96632592
C08,Aff4.2,4328.643366,2007.346151,17.41697417,53.906272,9.741697417,0.516605166,38.3374376
C09,Atrx.1,3821.584336,2501.3249,19.27208945,87.96026036,14.5362859,1.556676168,34.77894711
C10,Asxl3.2,4126.324543,2967.923357,15.79384871,62.61932174,11.07647548,1.433915212,31.95940166
C11,Asxl1.1,4240.371034,2973.468716,15.45551223,90.5844751,14.4629564,2.126905353,35.56874123
D02,Aff1.2,3735.484786,2066.308741,16.49341649,60.15056022,10.81081081,0.97020097,36.90237898
D03,Atrx.2,4350.030367,2131.552939,24.14190943,89.50555999,15.51773868,2.394000577,43.55705063
D04,Asxl3.3,4374.959534,2326.650304,23.56902357,76.60215785,11.50392817,1.40291807,39.18395936
D05,Ash1l.1,2488.279274,2917.947091,19.62416107,171.2812381,23.38255034,1.771812081,33.05930709
D06,Arid2.2,3504.232092,2352.16471,17.45827985,71.29261111,14.60205392,0.770218228,36.16523617
D07,Atrx.3,3763.968568,1680.119207,13.96172927,126.1325338,20.55279943,1.417434444,40.73460261
D08,Atad2b.2,3124.620999,1515.301585,19.05882353,116.7229175,21.33333333,1.960784314,39.41685121
D09,Ash2l.2,5183.860858,2334.565632,17.95325779,44.25940688,9.490084986,0.566572238,45.12986444
D10,Actl6b.3,4232.751112,2327.272758,20.40256176,60.41706195,10.15553522,0.640439158,36.12514844
D11,Aurkb.2,3508.673679,2400.371916,22.03715567,48.65224225,9.801409353,1.34529148,33.62367358
E02,Asxl1.2,4127.967704,3092.964932,19.17721519,128.8071116,18.41772152,1.835443038,41.91015589
E03,Asxl2.2,4372.788531,2317.784798,23.75,110.8292474,17.5,3.125,36.50757793
E04,Actl6b.4,4447.035421,2852.659904,17.45839637,107.0407832,18.78971256,1.119515885,41.33471406
E05,Atm.3,3675.74705,2382.151611,18.72713972,106.4734498,17.19092904,1.53621068,40.45802597
E06,Atad2.3,4176.012409,2318.272182,18.1425486,63.99673101,14.03887689,0.215982721,33.69449997
E07,Ash1l.2,3179.371121,1775.98653,12.42093157,142.5137424,21.01782634,2.990224267,38.66759228
E08,Aff1.3,3753.223892,2008.732922,13.87387387,78.73442405,13.83783784,0.972972973,32.4115282
E09,Atr.3,5218.972898,2435.226142,23.35766423,30.40314612,10.2189781,0.729927007,39.06054099
E10,Atad2b.3,3775.83235,2955.764051,18.99549259,44.41767875,9.91629105,0.643915003,34.36563769
E11,Ash2l.3,3548.186549,2597.667598,19.61115807,31.51732249,5.579036348,0.929839391,30.93674963
F02,Aff4.3,4097.035502,2005.844407,20.40532486,114.9388374,17.34551957,1.192131929,46.57659864
F03,Aurkb.3,4329.874749,2625.581213,20.25316456,65.07336673,12.34177215,0.474683544,46.80681647
F04,Atad2.4,2933.139865,1124.393191,18.18181818,236.9467571,36.36363636,0,17.24730748
F05,Ash1l.3,4113.920741,2546.976954,11.00917431,67.34189367,8.256880734,0.917431193,47.41376798
F06,Arid2.3,3976.892037,3039.444774,13.76404494,133.1584959,20.08426966,1.404494382,43.1262129
F07,Atm.4,4363.524791,2162.232356,22.72727273,69.34533785,13.63636364,0,43.17085436
