NA,,Experiment: 100U p1_1,Analysis: Analysis 1,User: Admin,Plate: control,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/20/2015,Export Time: 9:23:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,GeoMean Alexa 700-A of Amet+,GeoMean Alexa 700-A of Amet+GFP+,GeoMean Alexa 700-A of GFP+,GeoMean PerCP-Cy5-5-A of Amet+,GeoMean PerCP-Cy5-5-A of Amet+GFP+,GeoMean PerCP-Cy5-5-A of GFP+,GeoMean PerCP-Cy5-5-A of untransduced,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,CD62L+ as % of untransduced,GeoMean PE-Cy7-A of Amet+,GeoMean PE-Cy7-A of Amet+GFP+,GeoMean PE-Cy7-A of GFP+,GeoMean PE-Cy7-A of untransduced,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,CXCR3+ as % of untransduced,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,CD103+ as % of untransduced,GeoMean PE-A of Amet+,GeoMean PE-A of Amet+GFP+,GeoMean PE-A of GFP+,GeoMean PE-A of untransduced
,shCd4.1,B11,Sample,21772,935,6655,6320,2500.383755,2677.162783,2704.090299,2390.156816,2262.401495,2383.988041,2280.55709,21.92513369,17.55071375,20.18987342,20.59678357,187.3589866,144.3322377,159.0813711,206.1752386,23.42245989,18.25694966,16.64556962,19.22108119,1.818181818,1.62283997,1.392405063,1.278821934,31.79405965,31.65922482,29.71981609,31.01310504
,mll2.1,C02,Sample,20590,5271,5839,1944,3105.311446,2480.500187,1589.496248,3693.065634,10517.93689,6268.192789,2107.077507,39.91652438,42.78129817,41.25514403,29.3215859,34.2032253,16.83043372,21.59730332,124.1110996,5.786378296,1.489981161,1.594650206,15.4185022,2.029975337,1.301592738,0.720164609,1.110132159,35.97138683,49.90633527,40.45833935,41.22349895
,mll2.2,C03,Sample,22496,6715,7842,1575,2698.149834,2062.910765,1374.267975,4523.811201,10734.32253,4989.332968,1805.27812,45.39091586,47.98520786,41.9047619,30.4631138,21.03137453,15.72219735,24.4095315,98.60577603,3.365599404,0.943636827,1.396825397,13.1487084,2.308265078,2.002040296,0.507936508,1.000698162,34.75992553,55.19363362,40.19559551,38.65225997
,mll2.3,C04,Sample,14034,1232,1706,2854,2794.975507,1630.686694,1781.606579,2559.304019,7686.557907,6575.445635,2164.996036,27.84090909,42.32121923,42.53679047,31.76100629,119.1651046,21.23549245,22.1089015,145.2874572,17.93831169,3.985932005,1.892081289,17.95597484,3.652597403,1.348182884,0.350385424,1.462264151,52.59928707,60.92268868,44.78622058,42.70513597
,mll2.4,C05,Sample,18633,2979,3189,3298,3725.599193,2269.394744,1754.303906,3236.271545,9224.510691,5883.389225,2033.177802,35.34743202,42.17623079,41.08550637,29.76627958,34.16585277,17.39920206,22.92911459,119.4749101,4.229607251,0.815302603,1.879927229,16.62501837,0.973481034,0.407651301,0.758035173,1.058356607,39.11460266,57.37599801,43.94100096,40.69159829
,Brd8.1,C06,Sample,14414,1935,1467,2401,2805.216533,1895.000426,1773.851353,1801.616987,4415.039063,5418.174121,2057.866651,27.39018088,36.53715065,36.85964182,26.9038954,430.3335713,33.8718626,29.13401847,189.1170354,38.96640827,5.248807089,1.665972511,19.62528643,10.07751938,2.999318337,0.29154519,1.199622591,67.03019547,57.3925228,39.65758857,40.95229808
,Brd8.2,C07,Sample,17682,4174,4330,1910,2789.624132,1806.469596,1864.441743,2378.844013,7794.091511,5816.833477,2014.608579,28.46190704,40.90069284,39.79057592,29.05345409,67.30087671,18.62543397,18.47014315,147.3699466,10.42165788,1.847575058,1.204188482,18.2028059,1.724964063,0.554272517,0.209424084,1.402947967,33.25312797,47.33167189,36.57484933,32.10463754
,Brd8.3,C08,Sample,16479,1777,2046,3435,2450.592659,1761.536007,1895.607822,1032.345534,3704.962273,5972.894823,2143.467518,24.53573438,35.38611926,37.99126638,27.80481389,188.2595231,24.87860381,21.2949789,143.538613,23.4665166,3.812316716,1.513828239,18.282257,1.913337085,0.928641251,0.262008734,1.157437853,39.49354098,50.2821878,39.84094725,35.33171066
,Brd8.4,C09,Sample,20907,4269,5188,2375,2288.240669,1320.716937,1888.637846,1491.455432,5679.199125,6119.834673,2141.693866,22.25345514,32.05474171,38.02105263,27.42010912,139.1057295,22.29410244,20.6534124,173.9553394,19.48934177,3.180416345,1.431578947,20.88854248,0.960412275,0.693909021,0.378947368,1.496492595,32.28332695,38.55828911,37.36869844,33.50247049
,shCd4.2,C10,Sample,14221,2937,3676,1401,1940.707075,936.1829354,1803.819467,2459.522726,6009.128134,5753.654067,1969.531264,27.57916241,40.53318825,38.68665239,25.92413626,269.5931281,21.39729269,17.19519809,167.0909713,28.87299966,3.509249184,1.213418986,20.02899251,2.553626149,0.979325354,0.214132762,1.304662962,42.56372725,43.72183723,33.01240304,32.79699411
,shCd4.2,C11,Sample,17752,1425,6778,3209,2036.711068,2074.207306,2850.442128,2794.618605,3236.733973,2848.686654,2452.06701,20.42105263,17.67483033,17.73138049,18.68836292,608.2774921,493.4573663,278.5541117,335.106485,45.68421053,42.26910593,27.45403553,30.76923077,3.929824561,5.237533196,2.150202555,2.243589744,48.12713953,50.30610989,39.23511356,37.38417852
,Ncor1.1,D02,Sample,20876,1702,1940,4705,2434.642274,1220.56128,1486.611707,3412.490638,8656.26491,6601.431006,2041.276822,47.41480611,48.65979381,37.64080765,29.09282498,64.57154808,19.94311862,25.35715382,122.4730223,9.635722679,2.164948454,1.74282678,14.89606284,0.587544066,0.463917526,0.595111583,1.139955934,26.21047811,39.5556193,42.8107748,36.88951008
,Ncor1.2,D03,Sample,21538,8,9,6180,1287.781526,535.7568631,1568.84039,897.7220293,8651.398001,6012.315275,2117.986834,37.5,22.22222222,38.99676375,28.75238459,17.2680842,13.69449177,23.55733514,112.2745569,0,0,1.715210356,13.20106829,0,0,0.372168285,0.747806181,30.90998829,90.13868035,44.70759477,39.57422084
,Ncor1.3,D04,Sample,16128,2303,2102,2989,2162.167191,1145.348962,1485.246577,3630.958077,9671.674118,6745.88138,1962.307434,45.63612679,51.094196,39.87955838,29.66714906,109.216671,21.89692227,25.42694551,135.2816611,11.02909249,1.950523311,0.903312145,14.80463097,0.521059488,0.618458611,0.669120107,0.839363242,32.16661945,44.53307564,42.9989202,41.42942148
,Ncor1.4,D05,Sample,19411,2678,2674,4373,2097.835174,1409.995814,1658.571757,1851.966575,5675.831149,6016.94835,1991.039427,40.85138163,47.56918474,44.86622456,33.45182176,203.9056351,24.16323029,22.24903868,121.1224227,26.25093353,3.25355273,1.211982621,13.71080361,0.298730396,0.373971578,0.228675966,0.761711311,34.33962712,29.72567272,36.96748425,35.33606463
,Cxxcl.1,D06,Sample,13966,2119,2512,2183,1245.315867,954.6561778,1806.52865,1551.017946,3909.664809,5679.501054,1934.363193,7.503539405,16.87898089,20.43060009,11.42656852,197.5567501,31.57967316,24.1405463,280.7487555,20.43416706,3.702229299,2.748511223,28.14581143,8.069844266,2.906050955,1.878149336,6.379249912,44.67606096,55.20182756,47.25615861,43.45677552
,Cxxcl.2,D07,Sample,18754,2045,2860,3730,1833.539752,1256.171525,1673.41987,924.1753519,1809.343641,5971.600209,1964.894363,21.71149144,33.70629371,37.2922252,27.58219001,328.441235,44.50245713,23.46475178,137.5256448,34.42542787,7.307692308,1.474530831,15.64845975,9.193154034,3.776223776,0.375335121,1.022521356,52.38819348,40.20247572,41.24025505,35.7401482
,Cxxcl.3,D08,Sample,14389,2416,3066,2028,1600.389439,1059.495677,1789.147884,1642.18526,4210.195871,5506.318354,1910.293989,24.00662252,34.60534899,40.68047337,26.41509434,154.1406112,25.38369044,20.2574012,169.2258321,15.19039735,2.120026093,1.183431953,19.00269542,1.986754967,0.684931507,0.295857988,1.328455911,36.50170668,45.14099092,33.82850772,33.14804968
,Cxxcl.4,D09,Sample,16781,2255,2701,2877,900.4853148,716.159881,1679.942882,1600.757668,2216.052567,5545.442871,2116.292706,17.91574279,29.02628656,34.58463677,24.14709792,266.5686318,31.47179629,19.22979227,150.8357995,15.92017738,2.44353943,1.181786583,16.65928223,3.059866962,0.851536468,0.278067431,1.314429183,39.8577893,36.98815097,36.44272282,34.01443132
,shCd4.3,D10,Sample,19377,4361,4930,1886,2788.749856,1883.730577,1746.037838,2175.660319,5078.221947,4928.512851,1847.669075,19.88076129,29.71602434,38.54718982,25.72187189,157.0615331,22.18405219,19.21063257,160.1908236,20.70626003,2.535496957,1.060445387,17.95552605,1.031873424,0.527383367,0.212089077,1.145038168,36.50205106,44.61438379,29.99457623,30.19559529
,shCd4.3,D11,Sample,19838,930,6972,5132,2643.821078,2800.486609,2629.12029,2255.354963,1999.700943,1954.872807,1918.790037,17.74193548,14.45783133,19.87529228,22.86188107,207.8882263,171.1110167,149.7814977,198.984879,22.58064516,19.27710843,14.94544037,18.92916371,1.182795699,1.53471027,1.052221356,1.113480218,34.61678371,36.78684557,31.89529334,29.6899785
,Smarca4.1,E02,Sample,19218,1044,1719,4358,2248.442138,1172.369989,1503.042402,1716.365026,3039.70025,7410.514333,2292.199343,17.62452107,27.63234439,40.93620927,30.40947828,348.0924025,45.28371075,25.14001416,118.4032826,34.09961686,6.573589296,1.766865535,14.08231137,0.670498084,0.756253636,0.435979807,0.924963625,92.29573714,69.35330725,44.59933279,40.78178935
,Smarca4.2,E03,Sample,18609,803,1816,4871,1684.315827,1158.683131,1552.967251,2241.169112,4981.667242,6734.540526,2120.213182,18.67995019,33.64537445,42.35269965,32.43214362,639.398162,29.28529971,21.79055778,113.3305758,49.5641345,4.735682819,1.498665572,14.50096174,0.747198007,0.385462555,0.390063642,0.833511434,118.2826192,103.0993093,43.08715177,39.92864232
,Smarca4.3,E04,Sample,19982,3819,6410,1985,2235.608126,1201.651225,1617.312801,2366.176027,4733.012984,7125.12997,2406.696882,21.07881644,33.71294852,42.06549118,32.86573146,230.7366433,25.0085737,20.32939481,114.9068334,29.3794187,3.229329173,1.057934509,14.99362361,0.759361089,0.296411856,0.201511335,0.874476225,68.00306957,60.85175969,46.79149478,39.560736
,Smarca4.4,E05,Sample,18632,3197,4079,3047,2702.906924,1636.31165,1726.08295,1983.730831,4646.547181,6870.881619,2195.19304,20.14388489,30.64476587,41.51624549,30.52442851,127.5586587,23.39512777,20.47243494,126.6948783,17.26618705,2.353518019,1.214309157,15.77767817,0.563027839,0.318705565,0.45946833,0.971163903,60.04777413,60.45573365,42.39157799,39.42070118
,Klf2.1,E06,Sample,11082,3922,2918,544,2635.154291,1530.788719,1898.847227,2891.82101,7276.669355,6121.435872,2029.257593,24.96175421,38.0740233,37.86764706,25.73529412,130.2438651,24.63999185,18.68642337,179.8276628,18.43447221,2.947224126,0.735294118,19.03594771,1.504334523,0.651130912,0.551470588,1.062091503,45.35740476,44.62478846,40.15999969,38.10629006
,Klf2.2,E07,Sample,13915,2533,3169,1918,2818.783132,1702.228871,1838.907339,1989.664536,6108.503006,6418.276722,2038.264963,30.20134228,39.47617545,44.05630865,28.66242038,124.8729578,23.99339057,21.60911884,150.4320038,17.17331228,3.502682234,1.407716371,19.10828025,1.105408606,0.504891133,0.104275287,1.076213486,40.72353423,54.82991303,39.0524666,35.46003207
