Well,shRNA,GeoMean Alexa 700-A of Amet+_CD44,GeoMean PerCP-Cy5-5-A of Amet+_CD25,Amet+CD62L+ as % of Amet+,GeoMean PE-Cy7-A of Amet+_CXCR3_CD127,Amet+CXCR3+ as % of Amet+,Amet+CD103+ as % of Amet+,GeoMean PE-A of Amet+_CD127
B02,Bptf.1,3644.982014,2560.349933,28.78635908,72.06283642,9.595453026,0.735539953,36.55680052
B03,Bptf.2,3416.778542,2600.456354,18.33333333,77.21162624,11.11111111,0,51.26723726
B04,Bptf.3,3035.738038,2679.781206,24.28174235,78.76227102,11.35310473,0.417052827,39.70472517
B05,Bptf.4,3166.798044,1868.0221,16.44923426,137.4141448,16.84628474,2.2121384,44.61077117
B06,Whsc1.1,2093.783583,2434.697972,23.87213784,92.25353967,13.14894582,1.632282929,38.30999796
B07,Whsc1.2,2287.036252,2457.152135,23.17523431,100.4110106,13.06447032,0.93723374,31.52760721
B08,Whsc1.3,1679.31673,3043.46023,20.6855792,122.7743883,16.31205674,2.836879433,40.4508659
B09,Whsc1.4,1384.79969,2376.630591,18.81493506,116.0217153,15.56818182,1.201298701,36.68078328
B10,shCd4.1,2823.622005,2434.252698,22.33706575,124.1828343,15.3028998,1.033591731,34.39908747
B11,shCd4.1,2500.383755,2390.156816,21.92513369,187.3589866,23.42245989,1.818181818,31.79405965
C02,mll2.1,3105.311446,3693.065634,39.91652438,34.2032253,5.786378296,2.029975337,35.97138683
C03,mll2.2,2698.149834,4523.811201,45.39091586,21.03137453,3.365599404,2.308265078,34.75992553
C04,mll2.3,2794.975507,2559.304019,27.84090909,119.1651046,17.93831169,3.652597403,52.59928707
C05,mll2.4,3725.599193,3236.271545,35.34743202,34.16585277,4.229607251,0.973481034,39.11460266
C06,Brd8.1,2805.216533,1801.616987,27.39018088,430.3335713,38.96640827,10.07751938,67.03019547
C07,Brd8.2,2789.624132,2378.844013,28.46190704,67.30087671,10.42165788,1.724964063,33.25312797
C08,Brd8.3,2450.592659,1032.345534,24.53573438,188.2595231,23.4665166,1.913337085,39.49354098
C09,Brd8.4,2288.240669,1491.455432,22.25345514,139.1057295,19.48934177,0.960412275,32.28332695
C10,shCd4.2,1940.707075,2459.522726,27.57916241,269.5931281,28.87299966,2.553626149,42.56372725
C11,shCd4.2,2036.711068,2794.618605,20.42105263,608.2774921,45.68421053,3.929824561,48.12713953
D02,Ncor1.1,2434.642274,3412.490638,47.41480611,64.57154808,9.635722679,0.587544066,26.21047811
D03,Ncor1.2,1287.781526,897.7220293,37.5,17.2680842,0,0,30.90998829
D04,Ncor1.3,2162.167191,3630.958077,45.63612679,109.216671,11.02909249,0.521059488,32.16661945
D05,Ncor1.4,2097.835174,1851.966575,40.85138163,203.9056351,26.25093353,0.298730396,34.33962712
D06,Cxxcl.1,1245.315867,1551.017946,7.503539405,197.5567501,20.43416706,8.069844266,44.67606096
D07,Cxxcl.2,1833.539752,924.1753519,21.71149144,328.441235,34.42542787,9.193154034,52.38819348
D08,Cxxcl.3,1600.389439,1642.18526,24.00662252,154.1406112,15.19039735,1.986754967,36.50170668
D09,Cxxcl.4,900.4853148,1600.757668,17.91574279,266.5686318,15.92017738,3.059866962,39.8577893
D10,shCd4.3,2788.749856,2175.660319,19.88076129,157.0615331,20.70626003,1.031873424,36.50205106
D11,shCd4.3,2643.821078,2255.354963,17.74193548,207.8882263,22.58064516,1.182795699,34.61678371
E02,Smarca4.1,2248.442138,1716.365026,17.62452107,348.0924025,34.09961686,0.670498084,92.29573714
E03,Smarca4.2,1684.315827,2241.169112,18.67995019,639.398162,49.5641345,0.747198007,118.2826192
E04,Smarca4.3,2235.608126,2366.176027,21.07881644,230.7366433,29.3794187,0.759361089,68.00306957
E05,Smarca4.4,2702.906924,1983.730831,20.14388489,127.5586587,17.26618705,0.563027839,60.04777413
E06,Klf2.1,2635.154291,2891.82101,24.96175421,130.2438651,18.43447221,1.504334523,45.35740476
E07,Klf2.2,2818.783132,1989.664536,30.20134228,124.8729578,17.17331228,1.105408606,40.72353423
E08,Klf2.3,2670.30954,2315.940888,32.35945108,127.4686211,16.73306773,0.973882249,35.90683043
E09,Klf2.4,2771.415032,2508.555988,23.73862696,144.9648254,18.58285084,1.185552798,37.06725018
E10,shCd4.4,2699.199591,3659.930943,17.68018018,158.2261193,20.4954955,1.614114114,37.72936069
E11,shCd4.4,2361.779017,3667.78257,18.12796209,280.8977702,29.38388626,2.014218009,39.40338627
F02,Runx3.1,2612.130756,1460.933522,24.51324609,1030.970871,60.83625918,0.861793808,59.49438842
F03,Runx3.2,3527.415446,2087.850067,22.12943633,622.9241716,47.23382046,1.617954071,65.26961977
F04,Runx3.3,2939.469963,1465.984982,21.92201412,914.0849224,57.38409579,1.105311636,64.17603678
F05,empty,1643.417803,1381.725064,31.25,1956.044301,62.5,12.5,241.500081
F06,Sp140.1,2872.491576,2325.053405,29.73446894,152.873941,17.66032064,0.876753507,44.35700182
F07,Sp140.2,2784.993959,2074.20999,36.70680871,116.4677271,14.79851783,2.501157943,36.93822782
F08,Sp140.3,2431.559093,2451.336398,27.76412776,193.6657692,20.74802075,1.283101283,35.12377777
F09,Sp140.4,2541.772392,1040.066366,26.5391791,219.2307228,24.81343284,2.891791045,44.07363328
F10,empty,5438.221537,2159.986445,50,2.962409708,0,0,48.12821921
F11,empty,675.866394,1297.922729,100,15.89254761,0,0,1
G02,Smarce1.1,2461.752703,2238.935859,27.53172133,79.28750868,10.84510414,0.670337563,39.62489412
G03,Smarce1.2,1858.349977,3057.160399,22.21350078,281.6460664,30.45525903,2.825745683,130.7057855
G04,Smarce1.3,1603.505763,3262.024902,24.55290611,280.562554,32.86140089,2.719821162,128.5845863
G05,Smarce1.4,2427.393091,2385.317547,24.6805649,312.1311581,32.64963013,1.176866174,98.86909626
G06,Wdr82.1,1169.871019,1196.365953,11.12426036,109.7349977,4.437869822,1.360946746,39.06294243
G07,Wdr82.2,1115.325795,1258.197322,8.617832284,136.1683393,6.032482599,1.491547895,38.8914895
G08,Wdr82.3,1703.195469,1110.751833,15.95166163,123.3183873,9.546827795,1.450151057,39.7008693
G09,Wdr82.4,1288.548282,1396.808348,11.89767995,155.2439664,10.88637716,3.271861987,44.6040123
G10,empty,1943.429441,1354.724735,0,58.23101948,0,33.33333333,50.73447675
G11,empty,2833.043213,16198.33301,0,44.09969711,0,0,134.7329559
