,,Experiment: 100U p1_1,Analysis: Analysis 1,User: Admin,Plate: 4,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/20/2015,Export Time: 9:22:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of untransduced,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,CD62L+ as % of untransduced,GeoMean PE-Cy7-A - CXCR3 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of untransduced,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,CXCR3+ as % of untransduced,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,CD103+ as % of untransduced,GeoMean PE-A - CD127 of Amet+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of untransduced
B02,Chd3.1,B02,Sample,7911,801,1282,1108,3372.352617,1861.75252,2203.137131,1416.830937,2397.17915,3897.783623,1163.492501,19.47565543,30.03120125,32.49097473,18.19273491,140.8097704,35.12049524,23.75429481,95.86713582,19.60049938,5.928237129,1.624548736,13.14920444,0.998751561,0.858034321,0.36101083,1.0207145,46.94299433,73.72201968,73.82440778,40.0493834
B03,Cxxc1.1,B03,Sample,8104,878,1019,1405,2775.637494,1684.724194,3371.066557,1713.526942,4334.328331,6395.288916,1948.72783,12.07289294,29.04808636,36.51245552,19.77909068,88.67381924,26.5008223,22.19591752,79.01117724,11.73120729,4.121687929,1.637010676,11.79039301,1.366742597,0.588812561,0.427046263,0.924736707,46.03231913,73.83380838,62.11153625,39.13812105
B04,Dmap1.1,B04,Sample,9654,330,399,2795,5945.589619,3269.47659,3113.315893,1530.628989,6014.071258,6197.769175,1880.113362,15.45454545,26.31578947,33.70304114,18.84504331,198.0161719,26.89532069,22.44400588,90.5938337,30,2.756892231,1.967799642,13.82098171,0.606060606,0.501253133,0.178890877,0.923965351,66.08249278,95.38000469,64.2767068,42.62619499
B05,Ctsl.1,B05,Sample,9404,244,222,2523,4644.698406,2816.923841,2960.310116,1942.127945,5929.279534,5899.03855,1878.262984,22.13114754,46.84684685,34.16567578,19.26371423,53.45588539,21.66604813,22.20943125,87.32177875,11.8852459,3.603603604,1.545778835,11.7732823,0.819672131,0.45045045,0.237812128,1.002369236,36.57336685,57.84566807,59.80612441,38.91075836
B06,Chd5.1,B06,Sample,10087,1461,1371,1595,4502.026204,2987.754238,3132.056123,1456.52215,4438.134044,5827.720037,1845.748345,15.33196441,28.95696572,33.04075235,17.728471,114.2363901,17.87001185,20.30866875,104.3364942,14.51060917,2.99051787,1.504702194,14.34534271,1.300479124,1.021152443,0.438871473,0.702987698,43.73573603,72.1478792,52.99313409,37.90909772
B07,Dot1l.1,B07,Sample,9546,1754,1776,1207,4689.052263,2692.310643,3192.666402,1922.489215,6092.262715,5066.348721,1786.915919,16.19156214,30.91216216,32.64291632,19.06625664,55.36285985,19.01407925,20.50103788,119.5955574,9.692132269,2.702702703,1.491300746,16.46631255,0.684150513,0.45045045,0,0.670953313,40.1949447,69.51876705,51.05958661,36.46038908
B08,Dnmt3a.1,B08,Sample,10352,1538,1697,1790,4369.133807,2983.92723,3192.832731,2292.868181,6371.5732,5764.153043,1881.49662,15.40962289,27.9905716,33.18435754,17.82518926,94.05558923,18.47161889,22.40532564,137.7416554,15.01950585,2.710665881,1.675977654,17.96283551,0.975292588,0.412492634,0.446927374,0.917641661,41.27589446,67.4411206,58.41350474,37.80489014
B09,Chd9.1,B09,Sample,10060,2206,1997,1148,4475.768167,3217.481944,3039.816965,1980.229656,5446.910083,5609.45515,1694.711743,17.08975521,29.74461693,32.31707317,18.09166443,95.22727108,24.85423635,21.3177316,140.3356137,13.73526745,2.754131197,1.132404181,17.1803806,0.543970988,0.300450676,0.087108014,0.884481372,42.3425411,66.65520518,58.88996663,37.48643055
B10,Chd4.1,B10,Sample,11033,562,631,2694,4739.025956,2673.462577,2932.072659,3601.88506,7328.502777,5398.727832,1870.988092,19.39501779,32.01267829,32.62806236,17.19380888,66.05492323,24.05915892,26.31268773,155.2820109,11.74377224,3.486529319,2.487008166,18.42193809,3.914590747,1.584786054,0.445434298,1.093539704,52.42469006,74.45128446,57.41231121,40.79310142
