Well,shRNA,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,Amet+GFP+CD62L as % of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+GFP+CD103+ as % of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+
B02,Dub2a.1,3027.193226,7664.957448,43.75569736,16.59410661,3.281677302,1.27620784,59.68605844
B03,Epc1.1,3307.751465,6990.130355,38.41973244,26.92061312,5.183946488,1.379598662,66.85631461
B04,Epc2.1,2377.094491,7144.478698,43.23290292,19.92990447,2.534672406,0.382592061,50.94788336
B05,Ep400.1,2514.604265,7986.458614,38.71473354,35.49056682,7.680250784,1.201671891,69.70378042
B06,Ehmt1.1,3390.57863,8091.635115,41.37239165,20.90269216,3.08988764,0.561797753,62.74183373
B07,Fbxo44.1,2741.656148,7406.220668,40.69498069,24.87508679,3.861003861,0.463320463,65.29604034
B08,Ezh1.1,5662.396862,18488.06575,50,7.130938346,0,0,246.5973894
B09,Elp4.1,2723.758811,9468.355175,42.01388889,23.79469467,2.126736111,0.086805556,80.082363
B10,Eed.1,3799.918477,9034.249048,23.05194805,28.31040573,5.194805195,2.922077922,107.2903817
B11,Ezh2.1,4192.370952,9983.648392,40.96385542,41.44965662,5.421686747,1.204819277,74.89315091
C02,Ezh1.2,2515.256432,4659.399785,46.28690725,21.36049721,4.235013421,1.282433642,38.82969486
C03,Ehmt2.1,3939.555493,7575.04622,43.78378378,21.36367799,3.037323037,0.36036036,67.767178
C04,Dub2a.2,3213.959439,7924.12937,41.07142857,22.42178532,2.60989011,0.686813187,58.05012381
C05,Ezh2.2,3543.823443,8278.032431,44.72593275,21.39674431,2.947950253,0.552740673,70.70879687
C06,Ercc5.1,3650.357178,8095.609972,39.95859213,17.83640227,2.7605245,0.517598344,62.95079304
C07,Epc2.2,3243.6963,7561.642095,28.03234501,32.4182244,5.458221024,1.347708895,68.94985605
C08,Ehmt1.2,2906.943319,7162.974037,34.8362399,21.13974227,3.913228413,0.723096555,83.69910208
C09,Fbxl19.1,3691.272652,8304.154929,35.4065534,24.39251471,2.214805825,0.606796117,83.87367279
C10,Epc1.2,3362.733861,10712.817,36.61290323,28.66302933,2.177419355,0.322580645,95.00266616
C11,Ep300.1,2028.310894,11454.31472,42.85714286,8.438420035,0,0,32.32955013
D02,Eed.2,2260.807609,7025.808973,33.81607531,24.16065922,3.475742216,1.086169442,53.10344659
D03,Fbxl19.2,3695.605123,9070.359665,39.55755531,19.53275641,3.824521935,1.049868766,68.99736964
D04,Epc1.3,2520.26031,7990.025993,37.19686163,19.97761146,5.313837375,1.105563481,77.63946298
D05,Elp3.1,2677.061919,9550.281333,28.55977152,16.15338469,3.671970624,0.856793146,58.5133011
D06,Ehmt2.2,2673.636974,8387.43877,31.21869783,15.25469247,4.618809126,0.556483027,59.35687598
D07,Fbxl19.3,3468.413983,10414.38549,43.00482426,25.00417849,5.031013094,0.551343901,92.66155819
D08,Ercc5.2,3082.022973,7089.57159,35.57874763,22.65445739,4.933586338,0.474383302,71.97074197
D09,Elp4.2,2493.439031,9863.435855,25.98327656,31.55992826,4.738309074,1.145865593,73.57000624
D10,Dub2a.3,3659.14891,9344.034339,33.02696078,30.27107282,4.411764706,0.857843137,79.82554986
D11,Fbxo44.2,2869.817443,9828.241893,36.43246517,20.70891638,2.816474864,0.635978195,60.4278524
E02,Ep300.2,1321.616789,6312.351381,30.10830325,25.88555639,4.76534296,1.371841155,42.17291605
E03,Ep400.2,4494.987839,19929.88271,40.46511628,38.08457718,6.511627907,0.930232558,114.6871508
E04,Dub2a.4,3056.358411,8752.136493,31.63891323,22.57817301,4.206836109,0.701139351,58.53674832
E05,Ezh1.3,3001.8119,8599.569347,33.5504886,27.00539314,4.994571118,0.868621064,99.57420397
E06,Epc2.3,2931.809393,8232.003283,33.5915493,25.05833354,3.544600939,0.44600939,67.0241073
E07,Elp3.2,3029.845603,8668.02305,32.14089158,22.23330133,3.742432581,0.605393506,61.75334712
E08,Eed.3,4190.772409,9844.041727,38.3536015,29.54510226,4.209541628,1.824134705,93.24182431
E09,Ezh2.3,4445.27195,8983.61997,40.24012393,27.01091778,3.098373354,0.542215337,71.29930899
E10,Ercc5.3,2931.006314,8319.693323,35.84305408,26.81613738,2.757158006,0.636267232,82.49647048
E11,Elp4.3,3393.668242,9262.312844,39.3639576,33.66283385,2.862190813,0.424028269,77.77018811
F02,Ehmt1.3,3272.857351,6815.602719,33.64779874,18.66840246,5.031446541,0.943396226,82.23810205
F03,Fbxo44.3,2860.870186,8284.775194,30.20257827,25.5370685,5.064456722,0.920810313,68.27576034
F04,Epc2.4,2582.351077,7693.819084,34.55038598,29.11921118,3.609430419,0.646776549,61.39825781
F05,Elp3.3,2258.415625,6988.215352,53.33333333,36.42242495,13.33333333,4.444444444,152.9510635
F06,Ehmt2.3,3214.666266,7323.20029,39.75609756,27.52392564,5.243902439,0.792682927,87.71665962
F07,Ezh1.4,2276.719766,7410.822443,39.89654058,22.10103921,3.524086647,0.549628193,60.34050247
F08,Ep400.3,3182.673098,7594.887708,44.82758621,47.66564045,6.896551724,0,105.8230068
F09,Ep300.3,1063.327531,2174.560831,32.30027548,46.11657668,9.090909091,1.101928375,43.57069409
F10,Ehmt2.4,2667.787933,5583.268143,37.68932723,32.58938212,3.698485382,0.493131384,75.88608209
F11,Ezh2.4,3310.035134,10569.53652,35.93059937,25.85524521,2.365930599,0.441640379,80.28785758
G02,Ercc5.4,2288.091044,8109.951739,34.88471392,24.39652912,3.629376601,0.72587532,54.02043101
G03,Ep300.4,2779.597936,21251.49712,46.66666667,50.75247773,6.666666667,0,167.2983681
