,,Experiment: 100U p1_1,Analysis: Analysis 1,User: Admin,Plate: 3,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/20/2015,Export Time: 9:24:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of untransduced,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,CD62L+ as % of untransduced,GeoMean PE-Cy7-A - CXCR3 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of untransduced,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,CXCR3+ as % of untransduced,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,CD103+ as % of untransduced,GeoMean PE-A - CD127 of Amet+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of untransduced
B02,Brwd1.1,B02,Sample,7471,1213,1559,1034,3443.518988,2137.43566,3144.46376,2067.399892,4949.650438,5767.779528,1763.203696,17.39488871,30.21167415,33.75241779,20.65397351,100.3830125,18.21042291,19.76869195,117.3217904,15.66364386,2.822322001,1.547388781,15.97682119,1.566364386,0.513149455,0.386847195,0.910596026,32.47018052,57.32262394,56.27521679,32.36656837
B03,Cbx7.1,B03,Sample,8615,604,689,2059,4412.98303,2899.790198,2891.530519,1640.554592,5162.972858,5784.863222,1802.535284,18.21192053,36.42960813,33.75424964,20.69243156,69.66293097,21.67179851,22.50632218,101.8629467,11.09271523,2.322206096,2.136959689,16.10305958,1.158940397,0.435413643,0.437105391,0.993022008,34.96456515,57.92000306,56.90735167,34.00438492
B04,Cbx8.1,B04,Sample,7571,1570,1771,1001,4417.644935,3137.582713,3095.286782,2182.015625,6767.646059,5828.656092,1759.299201,17.8343949,34.3308865,35.96403596,18.47281142,73.08086941,22.33049525,21.9341353,141.4857839,13.43949045,2.258610954,1.498501499,20.86386425,0.828025478,0.169395822,0.0999001,1.34978789,33.78730661,59.89145798,45.48114069,30.50727001
B05,Cbx6.1,B05,Sample,7139,227,248,2078,4850.686695,2666.774544,3179.282424,2121.781285,6026.298415,6218.589485,1749.125184,18.50220264,35.88709677,32.38691049,18.06917914,60.17755727,20.70955106,22.6502573,119.7331966,9.691629956,4.838709677,2.550529355,17.13990707,1.762114537,1.209677419,0.384985563,1.032524522,35.5702196,62.85869456,54.12180154,37.55797525
B06,Carm1.1,B06,Sample,6333,1061,1358,810,3835.693927,2858.417469,3010.63726,1900.783833,5569.870578,5907.972724,1610.090416,12.72384543,31.22238586,31.60493827,16.04278075,160.4708601,23.53531224,26.779823,157.2207223,23.18567389,4.565537555,1.358024691,20.1426025,1.50801131,0.736377025,0.987654321,1.693404635,39.31854341,53.50001519,62.36415303,37.03250154
B07,Chd2.1,B07,Sample,7904,2110,1718,803,3655.620267,2523.032531,3050.949133,1692.444555,5846.037999,6335.221981,1754.241782,15.4028436,25.37834692,36.36363636,18.9002185,142.7201688,27.70244429,19.12892274,112.3422289,20.9478673,4.54016298,0.373599004,17.00655499,1.090047393,0.523864959,0.622665006,0.873998543,30.31740582,48.03369589,51.84193534,34.48917938
B08,Chaf1b.1,B08,Sample,8513,1846,1347,1013,4848.34614,3580.41837,3190.285011,2863.366327,6700.292453,6023.006252,1827.376186,16.03466956,35.63474388,33.46495558,18.23014384,104.2246925,17.9597361,20.18464946,92.77836528,17.3347779,3.192279139,1.382033564,14.38398999,1.679306609,0.668151448,0.296150049,0.938086304,43.81937849,63.66686622,59.86636941,38.48033259
B09,Cbx4.1,B09,Sample,12252,1491,1065,2656,4850.536181,3022.771168,3041.577879,2214.24983,6780.395267,6289.305729,1804.237814,19.71830986,33.05164319,33.35843373,19.37021277,59.69926417,22.1232402,21.66690605,86.92822787,10.06036217,3.661971831,2.03313253,12.97021277,0.871898055,0.657276995,0.527108434,0.85106383,40.76618916,60.33736072,57.34965393,36.1402402
B10,Brwd3.1,B10,Sample,10606,923,647,2356,4594.905122,3374.677479,3016.836073,2998.826964,8194.080005,6275.583811,1807.682098,17.22643554,32.92117465,30.475382,15.13647643,36.82437104,19.87509451,17.87085237,60.45001184,5.525460455,1.545595054,1.655348048,10.23986766,0.758396533,0.772797527,0.297113752,0.794044665,44.30386078,69.81018611,56.28761219,36.51559105
B11,Chd1.1,B11,Sample,12105,2555,1662,1596,3720.633238,2336.489623,2811.302662,1635.931018,5322.034422,5464.856423,1721.6327,13.9334638,27.0156438,29.01002506,16.55249028,72.44491616,19.24443936,19.22771142,71.14965507,10.45009785,1.985559567,1.002506266,10.90538789,0.547945205,0.300842359,0.187969925,0.777633772,33.69587708,51.60041993,51.94569347,35.34480397
C02,Chaf1b.2,C02,Sample,8770,86,188,2726,3502.793181,2911.519827,3039.180521,4443.684167,7593.922832,5763.487737,1779.770292,12.79069767,40.95744681,32.9787234,19.29176624,214.2977685,12.79973415,21.11282835,122.2544567,38.37209302,2.659574468,1.980924431,18.42276776,8.139534884,2.659574468,0.440205429,1.129698023,66.91095444,90.12269384,56.6132393,34.52696749
