type,shRNA,count,pctg,nbPctg
target,Ezh1.2,103079,2.3699470872221644,98.97489951000486
target,Cbx3.1,101517,2.334034269381081,98.92967672922
target,Epc2.4,99330,2.283751726091421,98.86275692354086
target,Bmi1.4,88458,2.0337874779683367,98.45671247274389
target,Gtf2b.1,83811,1.9269456953130784,98.23776286835403
target,Dnmt3a.4,76497,1.7587854202236526,97.82188672442388
target,Chd8.2,61665,1.417774591658386,96.60523163161413
target,Brd3.2,61216,1.4074513808961282,96.55810184164928
target,Arid2.2,60865,1.3993813430842075,96.52074535477769
target,Hdac8.4,59975,1.378918854045434,96.42395689540987
target,Chd9.4,59114,1.3591231202674745,96.32742854504956
target,Hdac2.1,55998,1.28748141707105,95.95256408882686
target,Asxl3.2,55118,1.2672488436394538,95.83894560836274
target,Atad2b.1,55010,1.2647657550819398,95.82475317522568
target,Ing3.3,52168,1.199423739522171,95.43056746858542
target,Baz1b.1,48907,1.1244482600216765,94.92434035018617
target,Asxl3.4,48188,1.1079173278656338,94.8041348449434
target,Ing5.2,44511,1.0233773591065662,94.13470591694403
target,Crebbp.3,42531,0.977854068885475,93.73219835360909
target,Fkbp1a.1,41982,0.965231702051445,93.61482009018438
target,Ercc5.1,41757,0.9600586008899573,93.56595959133139
target,Fkbp1a.4,41490,0.9539198541783253,93.50739318091776
target,Jarid2.1,37646,0.8655402947793983,92.58861699938264
target,Atr.3,36054,0.8289377301167833,92.16215833440101
target,Ehmt2.1,35868,0.8246612998232868,92.11039420835291
target,Baz1a.2,34506,0.7933467941257482,91.71813281292887
target,Asxl2.1,33182,0.762905967735483,91.31330836666747
target,Cbx5.2,32057,0.7370404619280447,90.94967705390667
target,Ing2.1,31960,0.7348102805384256,90.91743459021804
target,Hira.4,31717,0.729223331284019,90.8360157372962
target,Baz1b.2,31549,0.7253607490834414,90.77917960877247
target,Jmjd1c.4,31171,0.7166699391321422,90.64966496727406
target,Fbxl19.1,30633,0.7043004794660073,90.4613227401417
target,Epc2.3,30363,0.698092758072222,90.36496914637262
target,Atad2b.3,30099,0.6920229860427431,90.26955077389349
target,Arid2.1,29001,0.6667782523746834,89.85944865048263
target,Dnmt3b.2,28993,0.6665943198889416,89.85637840342234
target,Epc2.2,28948,0.665559699656644,89.83908620301227
target,Ash1l.1,28430,0.6536500712048635,89.63734359402203
target,Dnmt1.2,27756,0.6381537592811183,89.36695346196807
target,Jarid2.2,27695,0.6367512740773372,89.34203994118896
target,Brd9.3,27566,0.633785362744751,89.28908179994652
target,Ing4.3,26643,0.6125641522022927,88.899925948575
target,Atad2.3,25483,0.585893941769734,88.38389728191805
target,Chd1.3,24888,0.5722139631426888,88.1067849025708
target,Chd3.1,24495,0.5631782797806237,87.9188855644734
target,Hdac2.3,24113,0.5543955035864536,87.73237171231297
target,Gadd45b.2,23680,0.5444401577956794,87.51622630587339
target,Brpf3.1,22772,0.5235638206639871,87.04579527321118
target,Hat1.1,21914,0.5038370615681808,86.57863638264035
target,Jmjd4.2,21666,0.49813515451018553,86.43925911241068
target,Aff4.2,21661,0.4980201967065969,86.43642741538252
target,Cbx3.3,21560,0.4956980490741068,86.37907549043379
target,Jmjd1c.2,20978,0.4823169607363921,86.04185442690141
target,Cbx1.4,20916,0.48089148397189324,86.0052579576958
target,Chd5.1,20847,0.4793050662823704,85.96436792326989
target,Chaf1b.1,20557,0.47263751367423074,85.79060110175763
target,Gtf3c4.1,19972,0.45918745065436284,85.4307172060843
target,Gtf3c4.4,19933,0.45829077978637156,85.40625727930338
target,Epc1.3,19812,0.45550880093952717,85.33002271407666
target,Ep400.1,19662,0.4520600668318687,85.23474660799221
target,Ezh1.3,19653,0.45185314278540917,85.22899869642289
target,Brd1.2,19153,0.4403573624265477,84.90467121989695
target,Asxl1.4,19084,0.4387709447370248,84.85909578955672
target,Ctsl.1,18948,0.43564409247941455,84.7687408975011
target,Bop1.2,18280,0.4202857299199756,84.31324392247397
target,Jhdm1d.1,17863,0.4106982491006851,84.01878630206355
target,Ctsl.2,17680,0.4064907934893418,83.8869719955698
target,Baz2a.1,17624,0.4052032660891493,83.84633709506537
target,Epc2.1,17538,0.40322599186742514,83.78358931921687
target,Dnmt3a.1,17268,0.39701827047363997,83.58432608819746
target,Atrx.3,17027,0.3914773043406687,83.40335575898366
target,Ino80.2,16646,0.3827175197072163,83.11111631708198
target,Brd1.1,16595,0.3815449501106124,83.07139955557213
target,Cbx5.4,16534,0.3801424649068313,83.02374452502967
target,Dnmt3a.3,16220,0.3729231148414663,82.77513440761652
target,Ehmt2.3,15923,0.36609462130830256,82.53484754745732
target,Ash2l.1,15868,0.36483008546882784,82.48981366404283
target,Cbx3.4,15537,0.3572198788712615,82.21486231824437
target,Ezh2.4,15320,0.3522307101955156,82.03102487063394
target,Chd2.4,15008,0.34505734325158605,81.76153174767447
target,Gtf2f1.3,14761,0.3393784277543085,81.54369927230836
target,Hdac9.2,14387,0.3307795840458801,81.2060516162124
target,Dub2a.4,14371,0.33041171907439654,81.19138612432725
target,Aff4.4,14339,0.3296759891314294,81.16200130289742
target,Ep400.2,14020,0.3223416812624758,80.86519447788305
target,Fbxo44.1,13844,0.31829516657615653,80.69827271167398
target,Atrx.4,13719,0.3154212214864412,80.57829200133885
target,Gadd45b.4,13678,0.3144785674970145,80.53866541268407
target,Eed.4,13284,0.30541989257423174,80.15130032783702
target,Cbx4.2,13055,0.30015482516987313,79.92043058544758
target,Elp4.1,12858,0.29562548770848174,79.71833179363034
target,Brwd3.1,12684,0.29162495614359796,79.53702294985413
target,Baz1a.4,12447,0.28617595625349757,79.28579387869738
target,Brd8.4,12396,0.28500338665689373,79.23109535027957
target,Hdac2.2,11854,0.27254196074788783,78.6343643922731
target,Atad2.1,11643,0.26769074143644833,78.39430201635601
target,Atr.2,11294,0.25966668674596305,77.98709987891102
target,Chd1l.3,11195,0.25739052223490844,77.86922155307263
target,Cbx8.2,10656,0.24499807100805576,77.20799303559826
