Well,shRNA,Amet+CXCR3+ as % of Amet+,Amet+CD103+ as % of Amet+,GeoMean PE-Cy7-A of Amet+_CXCR3_CD127,GeoMean APC-A of Amet+_CD103,GeoMean PerCP-Cy5-5-A of Amet+_CD25,Amet+CD62L+ as % of Amet+,GeoMean Alexa 700-A of Amet+_CD44,GeoMean PE-A of Amet+_CD127
B02,Jmjd5.1,36.47270546,2.429514097,165.5362944,58.21485475,4720.67049,12.65746851,5084.440369,53.8984347
B03,Kdm2b.1,34.07407407,4.444444444,98.59143989,49.10541114,3561.01529,14.81481481,4904.995335,59.50325598
B04,Kdm3a.1,37.33751681,2.935903182,151.2773807,38.4943315,4703.166968,16.8982519,6047.440077,89.82758237
B05,Kdm2a.1,43.22511403,4.132009659,284.8270168,47.4910226,5026.741432,19.93560504,5456.160997,66.26842556
B06,Kat2a.1,38.53063843,4.876483799,188.2117361,55.24225034,4959.7191,21.01379532,6265.942639,62.48580916
B07,Kdm5a.1,36.03013429,1.99803472,155.5177583,38.10398501,4150.700183,17.81853914,5290.983317,79.38181055
B08,Kdm4a.1,49.45445318,2.562801319,452.642083,46.54761869,1981.336464,19.71580817,5204.89821,69.23199304
B09,Kdm1a.1,44.05187835,10.01788909,239.8740949,58.06855128,6720.173761,27.59391771,8033.273938,154.3749448
B10,Jmjd6.1,32.59803922,1.225490196,132.5832853,49.05650925,4809.463188,14.54248366,5616.262768,60.13669686
B11,Kdm4c.1,41.92382541,2.335279399,257.4883799,38.15406835,4960.621824,16.48596052,5033.132736,82.96557162
C02,Kdm4a.2,22.84446909,1.441641253,60.21294172,40.34012016,5640.983055,17.38286665,6746.438428,73.21610475
C03,Kat2b.1,19.81248079,0.691669228,50.30877971,40.80343067,4106.133756,16.64617276,6015.449225,60.67779168
C04,Jmjd5.2,44.1509434,1.648460775,354.1367778,43.30257965,2676.848352,14.57795432,4912.337071,51.5138273
C05,Kdm4c.2,35.26266853,1.30172013,203.1657105,40.18253852,3487.785942,21.59460716,4230.269707,58.59379765
C06,Kdm3b.1,30,0,391.0158495,36.09781261,950.5825899,55,4358.046567,54.81013134
C07,Kdm3a.2,36.52007648,0.956022945,204.7938017,37.02923696,3624.486237,18.07945613,5593.152274,70.83536573
C08,Kat2a.2,33.33333333,1.13452188,174.8276736,43.81440664,4133.564781,12.85791464,5135.918216,63.31686668
C09,Kdm4d.1,22.57352941,0.833333333,81.31928942,40.73144597,4126.65248,16.56862745,4571.478527,66.11718866
C10,Kdm2b.2,23.96786432,3.057353269,73.91208393,44.07037139,4348.689565,11.38138808,4437.242847,83.86284389
C11,Kdm1b.1,40.38022814,1.558935361,259.5019494,39.50431979,4080.179451,17.41444867,5235.599889,83.08534719
D02,Jmjd6.2,42.77084172,1.933145389,305.6054463,48.90869836,4868.157086,13.14941603,5868.542599,59.01743621
D03,Kdm4d.2,40.35667107,4.29326288,204.4417236,52.92999262,5300.307889,20.16732717,4781.944537,59.87421988
D04,Kdm2b.3,41.41132776,2.005571031,241.5049129,32.717995,2351.626098,16.32311978,4686.39988,73.49895279
D05,Kat5.1,40.0805189,2.415566987,234.0164824,42.55068436,3936.04208,23.64124357,5019.316487,64.07068832
D06,Kat2b.2,35.39588846,2.544270303,145.2836219,36.1687601,4663.210792,21.2904539,5718.038226,90.9257826
D07,Kdm4d.3,30.1369863,3.330184223,110.977627,43.62414484,4187.468959,23.59470949,4346.991057,70.98516895
D08,Kdm3b.2,37.68533773,1.400329489,192.8742557,36.39099709,4183.761129,20.96375618,4887.941131,78.1470053
D09,Kdm1a.2,29.63436929,0.895795247,116.6449273,34.53619478,3556.257639,11.64533821,6183.603286,83.08852324
D10,Jmjd5.3,37.0692782,2.176278564,196.2643311,39.06530856,4299.93211,19.04243743,5469.61142,76.96966144
D11,Kdm5a.2,39.88061929,1.958589815,256.2266554,43.9641259,4479.814481,16.82521918,5207.100896,83.71629015
