,,Experiment: panel 1 100U,Analysis: Analysis 1,User: Admin,Plate: 14,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:27:34 AM,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,GeoMean PE-Cy7-A of Amet+,GeoMean PE-Cy7-A of Amet+GFP+,GeoMean PE-Cy7-A of GFP+,GeoMean APC-A of Amet+,GeoMean APC-A of Amet+GFP+,GeoMean APC-A of GFP+,GeoMean PerCP-Cy5-5-A of Amet+,GeoMean PerCP-Cy5-5-A of Amet+GFP+,GeoMean PerCP-Cy5-5-A of GFP+,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L+ as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,GeoMean Alexa 700-A of Amet+,GeoMean Alexa 700-A of Amet+GFP+,GeoMean Alexa 700-A of GFP+,GeoMean PE-A of Amet+,GeoMean PE-A of Amet+GFP+,GeoMean PE-A of GFP+,Count of live cells,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+
C06,Rbbp7.1,C06,Sample,26.42405063,3.864139798,1.546619532,1.529535865,0.467634753,0.309323906,92.25920327,3.853734717,3.055625729,49.21245973,28.59396209,27.4434819,3507.673849,9658.163589,10698.70655,19.44444444,31.87300025,28.23685373,4126.83725,3456.101349,3737.219817,49.12668389,88.16928768,87.70331246,30796,24149,5688,4063,2263
C07,Rbbp5.2,C07,Sample,35.94680429,4.544421722,1.838934686,2.481143311,0.681663258,0.443880786,172.3118716,4.782757941,3.849575177,36.32273865,22.160735,28.28249517,3930.458265,8541.290584,8077.710824,15.38308853,25.13065212,28.15472416,4601.281508,3600.996138,3364.672246,106.6715789,151.2438802,88.01238062,25708,19780,5038,4401,1577
C08,Prmt3.2,C08,Sample,32.37385709,4.898413582,0.853970965,1.608533695,0.751461175,0.256191289,160.7723184,5.107813525,2.908136435,50.67320417,35.23296652,27.87667335,3485.572185,9778.419336,11356.08823,19.53945141,31.47787364,30.82835184,4668.121599,3111.611797,4125.999627,56.96960849,89.22212812,98.89400672,24815,19480,5906,3593,1171
C09,Rnf217.1,C09,Sample,34.01015228,4.814348647,1.648351648,1.761719916,0.409062303,0.14459225,143.6698307,4.147669112,2.752416799,45.79263959,24.47922641,22.88683975,3448.951652,9402.910611,11226.02678,17.67691848,31.59219635,29.84384037,4942.380547,3332.618355,3591.279732,71.66002018,123.6050424,99.03025453,30374,23949,3349,3178,3458
C10,Rbbp4.2,C10,Sample,21.50819672,3.686440678,1.612421618,1.081967213,0.63559322,0.358315915,60.34841271,3.325291886,3.035647224,40.92526539,23.93801501,25.04445048,3852.190844,10470.54179,11055.88053,13.1147541,25.46610169,27.11257092,5000.088333,3298.823111,3784.792649,66.95619038,118.7523633,95.06853125,28721,21879,3050,2360,3349
C11,Prmt8.1,C11,Sample,26.79187428,3.918322296,1.832247557,1.111536987,0.55187638,0.285016287,94.89175882,4.392968674,3.371207207,49.15920741,28.74940931,32.66987185,3383.86716,9288.236185,10954.44159,10.73208126,21.799117,23.3713355,3576.204333,2745.772001,3158.165182,55.01595753,103.9146384,90.53980367,34122,26994,2609,1812,4912
D02,Prmt2.2,D02,Sample,32.885212,4.612780364,1.630837658,2.843846949,1.227253491,0.370644922,115.873601,4.17685087,3.464427965,44.39458083,24.69489758,23.93290923,5681.342812,13201.1207,11335.7249,19.85522234,31.95090986,30.98591549,5148.870515,3952.062877,4187.201004,109.9294567,168.4196563,135.9575884,20304,15432,3868,2363,1349
D03,Rnf217.2,D03,Sample,37.36208626,5.020920502,1.904761905,3.585757272,1.016138673,0.272108844,175.8205885,4.434664093,3.164822817,46.09286386,24.07940832,22.63244835,5129.797132,12611.5375,12309.1582,18.10431294,31.20143455,30.40816327,4992.22685,4105.818043,4090.18654,91.36411581,158.6229648,135.9667425,21496,15903,3988,3346,1470
D04,Rbbp4.3,D04,Sample,24.88083889,2.693310165,2.020860495,2.526215443,0.724008109,0.260756193,52.92029687,2.425756752,3.43857355,36.46602849,18.209863,19.44382327,7451.911127,16166.35257,10825.38947,18.68446139,33.33333333,31.81225554,5698.04296,4384.486065,4137.207988,143.9840539,249.5634518,156.3662301,21829,16509,4196,3453,1534
D05,Prmt6.1,D05,Sample,29.45759664,4.471679364,1.693404635,1.678154031,0.629347466,0.178253119,105.7857949,3.864831342,3.463831666,45.00359993,24.16764516,23.79725659,4567.354559,11858.75855,11109.85024,13.60503446,26.10135807,28.47593583,5058.916659,4064.274568,3978.762281,82.04324165,148.8088401,137.8577865,23219,17250,3337,3019,2244
D06,Prmt5.2,D06,Sample,36.96703297,4.911059551,1.756587202,1.56043956,0.657385924,0,196.2079396,4.326207492,2.670282449,39.3485164,19.86155085,23.27861221,3405.271528,10418.69791,12766.22695,17.67032967,28.46094354,30.36386449,5045.097416,4304.602187,4169.591596,96.55946386,183.9120645,128.2681881,17388,13099,4550,2586,797
D07,Rnf217.3,D07,Sample,39.0969163,8.467400508,2.448087432,2.643171806,0.50804403,0.262295082,231.8465741,7.504782466,3.171988644,48.06446237,29.54940942,23.24214814,3723.605099,7943.514444,11468.80133,17.51101322,30.65198984,32.26229508,3690.657027,3106.622627,3980.112487,66.59872941,115.1827176,129.954207,25009,18830,908,1181,4575
D08,Rbbp7.2,D08,Sample,44.01864319,8.819345661,2.814738997,3.78042465,1.137980085,0.358239509,347.8391863,9.115493554,5.45601605,44.85552135,31.79579032,24.81472791,3258.941967,8792.488047,10050.86547,16.83065769,26.6002845,29.580348,4458.285419,3304.831209,4036.317995,77.06561996,108.7747648,106.5981821,19346,14340,1931,1406,1954
D09,Prmt7.2,D09,Sample,32.83828383,5.501432665,2.477320307,2.310231023,0.515759312,0.348918353,143.0786635,4.923987115,3.438172873,48.97287228,31.05333836,25.69655378,4377.518936,10321.21965,11735.01088,19.25192519,28.08022923,32.51919051,4613.392242,2990.560409,4005.592497,67.52982313,100.317996,119.4647195,23120,17043,1818,1745,2866
D10,Prmt1.3,D10,Sample,77.68190969,9.90251411,2.949340736,7.937877481,1.539250898,0.381679389,2304.252267,5.872148227,4.397954521,72.77378586,29.18317526,33.8433299,4642.093233,13950.22783,9786.459873,11.90681622,20.77988712,28.69535045,3472.338021,3005.821714,3587.824318,93.34129805,143.0708586,94.19814575,26399,20188,3477,1949,2882
D11,Rnf40.2,D11,Sample,15.31879658,4.905968929,1.560715645,3.312172233,2.452984464,0.190331176,42.39366056,3.668936703,2.723776681,82.19956708,43.40353985,30.51562102,2968.730957,13957.74075,12776.32507,14.10433343,26.00163532,25.1617815,5565.154033,3868.629141,3470.328125,87.15228076,157.8960714,104.2157143,25137,19642,3623,1223,2627
E02,Prmt8.2,E02,Sample,41.37489325,5.876030097,1.81680545,3.309137489,1.110713006,0.227100681,213.0557694,4.982909616,3.926405909,46.43595934,30.30219864,24.88349396,6519.608904,12804.12736,10473.73499,19.68403074,28.73522035,29.37168812,4615.237439,3613.429712,3746.015813,107.0197717,116.5873207,137.1130504,22111,17046,4684,2791,1321
E03,Psip1.2,E03,Sample,40.09478673,5.380617548,2.173913043,2.236966825,0.642005503,0.679347826,224.4498834,5.352869747,3.378773203,43.69136282,29.05271749,23.00744314,4794.985963,11706.32075,11456.67691,22.46445498,32.40599205,33.01630435,5121.360075,3740.813769,4262.162465,94.00521364,130.9424225,135.7616376,19762,14915,5275,3271,736
E04,Prmt1.4,E04,Sample,38.67710174,5.017667845,1.648610457,2.650845746,0.800942285,0.141309468,149.4327012,3.475348437,3.039274535,40.91725363,24.50519424,23.52656803,5914.658365,14160.36357,11442.5764,20.49987377,31.66077739,32.87800283,4893.448864,3900.554061,4161.370437,92.95004328,144.2915311,125.3233269,25609,19415,3961,4245,2123
E05,Ring1.3,E05,Sample,36.58423493,4.542586751,1.951672862,1.267387944,0.483701367,0.185873606,162.7156624,4.055814789,3.134772134,42.15525903,27.24273154,26.20633606,4606.018452,11219.37115,10715.84698,15.42503864,28.22292324,30.57620818,4308.648115,3567.142044,3672.605546,77.7921669,118.8480722,119.1958983,25945,19581,6470,4755,1076
E06,Rbbp5.3,E06,Sample,35.59122944,4.777216353,1.248699272,1.879404855,0.574184658,0.728407908,166.2442488,4.716691902,3.332165451,52.53997828,33.16621716,25.36536675,4630.610298,11737.52185,10121.33351,19.67501958,26.59623335,30.59313215,4418.164391,3460.160797,3637.792202,70.75545044,121.2090228,118.8057159,23501,17625,5108,4354,961
E07,Prmt6.2,E07,Sample,37.44997141,4.621848739,1.444043321,1.50562226,0.536881419,0.288808664,190.851333,4.82018488,3.724434847,45.95360882,31.80773904,25.62265355,4569.845125,10545.71327,9879.885346,18.58204688,32.28291317,37.54512635,4403.957509,3941.699226,4033.95392,70.68096207,113.7701657,103.8072848,24029,18549,5247,4284,1385
E08,Prmt2.3,E08,Sample,32.38434164,4.478976234,1.816680429,1.194712761,0.487507617,0.412881916,127.8285304,3.671559212,2.818348443,47.49579277,28.14086165,27.18592917,4433.563638,12073.12713,11670.49393,17.59023894,31.13954906,31.58546656,5786.63756,4417.664773,4014.32988,84.16510271,133.7588023,115.8278206,25238,19051,3934,3282,2422
E09,Rnf20.3,E09,Sample,32.03240059,4.846083511,2.130681818,2.430044183,1.127704968,0.426136364,147.8790541,4.831414842,3.620818577,56.11999861,33.90786159,28.44015341,3884.48609,11106.99164,10513.05283,17.6730486,29.53367876,30.01893939,4955.324616,3658.138024,3888.278958,77.56326825,128.4644308,111.5440944,26230,19764,4074,3281,2112
E10,Rbbp7.3,E10,Sample,42.08168643,5.505298527,1.450549451,1.739130435,0.672008271,0.43956044,257.5395577,4.484819339,3.169945927,48.94280538,26.48474126,28.26936439,4240.551075,10976.87266,11682.51448,15.75757576,27.26802791,29.71428571,4063.078884,2995.25137,3712.753149,74.86044221,143.8116681,113.0359115,26503,20310,3795,3869,2275
E11,Prmt7.3,E11,Sample,32.05645161,4.209378408,1.590236686,2.598566308,0.719738277,0.332840237,124.6018246,3.9680166,3.469669771,56.12247271,32.79077714,30.65804152,5175.043429,12682.18264,10413.69824,18.8844086,30.90512541,29.84467456,4576.300117,3466.080793,3523.706247,70.05019393,122.5539789,108.9127282,32353,25260,4464,4585,2704
F02,Prmt3.3,F02,Sample,39.7061491,5.429128739,1.563517915,6.965354616,2.340702211,0.325732899,243.6788482,7.233180111,3.704261967,54.31458004,29.99978064,24.91053572,2661.388251,6966.277969,11707.44614,16.66968982,25.68270481,29.70684039,3374.895799,2519.307911,3820.345759,77.96653083,119.3463179,129.2345727,26617,20100,5513,3076,1535
F03,Rnf40.3,F03,Sample,17.79269828,4.60704607,1.53271028,1.783466219,0.851722803,0.411214953,45.31168277,3.373115184,3.091646216,51.6658426,31.80798315,24.40987752,5587.295353,15978.6814,11782.10238,16.09315988,24.970964,27.21495327,5453.753534,3777.980319,3844.745802,99.68007899,176.1031791,139.3892597,28285,21220,4766,2583,2675
F04,Rbbp5.4,F04,Sample,30.78929068,5.30884808,1.375358166,2.312239221,0.968280467,0.171919771,115.4430615,4.244718075,2.939763326,55.3805351,36.15564974,27.48836794,5229.37008,13666.39705,11397.2707,20.87969402,27.51252087,30.20057307,4487.242747,3415.641212,3681.4174,74.36776207,127.6289318,119.5088899,28949,21449,5752,2995,1745
F05,Prmt6.3,F05,Sample,29.0399523,5.796545106,1.468048359,2.355396541,0.882917466,0.388601036,104.2634532,4.647517667,2.930064202,45.36051104,28.25218534,25.43435242,4989.552307,12222.28865,11839.78214,17.9189028,27.90786948,30.56994819,4568.197949,3244.676958,3831.53615,76.48930717,133.9146322,125.8895736,26483,19648,3354,2605,2316
F06,Prmt5.3,F06,Sample,34.18817118,4.193076548,2.059496568,2.949190575,0.901999025,0.114416476,150.8331235,3.853352235,3.309910339,49.52111684,24.18027938,24.12242832,5364.877493,12762.62627,11522.70407,17.87145376,27.10872745,29.9771167,3270.697394,2291.183903,4350.608496,75.48131486,151.1594032,138.1565687,28458,21874,6239,4102,1748
