Well,shRNA,Amet+CXCR3+ as % of Amet+,Amet+CD103+ as % of Amet+,GeoMean PE-Cy7-A of Amet+_CXCR3_CD127,GeoMean APC-A of Amet+_CD103,GeoMean PerCP-Cy5-5-A of Amet+_CD25,Amet+CD62L+ as % of Amet+,GeoMean Alexa 700-A of Amet+_CD44,GeoMean PE-A of Amet+_CD127
B02,Pcgf2.1,51.28205128,0,592.2121065,51.14615642,4061.200988,17.94871795,2979.370206,68.56573747
B03,Phf20.1,48.4501845,2.693726937,348.2517852,45.86213859,5412.579979,14.90774908,4127.900423,69.93006162
B04,Phf20l1.1,48.93771125,3.066151618,410.0309723,49.88739891,3881.62445,18.95219701,5202.696234,72.23959006
B05,Phf2.1,26.08444187,0.925390399,87.26840856,48.42880726,3914.315127,20.58993638,4307.447635,62.40962573
B06,Pcgf6.1,42.13685474,2.200880352,277.1007583,48.76801302,3689.59499,12.40496198,4275.591621,54.50102635
B07,Prdm1.1,28.69040781,1.07696726,94.75384676,37.90123067,4602.998397,17.17403791,5460.20472,96.4458915
B08,Phip.1,44.54750564,2.155928804,325.3010531,43.87941631,3678.01624,11.88267736,4110.124775,64.17936666
B09,Phf1.1,40.44637997,1.306477953,230.3524389,42.40437543,4721.265382,11.86717474,4124.478607,59.08556198
B10,Pcgf5.1,44.44874275,1.489361702,338.3267421,41.14681323,3349.871594,17.67891683,5168.435139,80.18463682
B11,Polr2b.1,29.73372781,1.368343195,125.1559066,49.11419546,4231.474545,14.71893491,4735.403004,80.78610146
C02,Phip.2,40.2075227,1.729355815,204.7055052,40.72196675,3186.860689,18.84997838,4798.841768,72.91788488
C03,Pcmt1.1,42.60848247,1.961265016,264.9583947,44.09770239,3836.95539,23.09389556,5092.544766,73.52721028
C04,Pcgf2.2,37.9810095,2.19890055,201.583788,46.17833137,4108.551753,19.5902049,4873.566568,67.92390025
C05,Polr2b.2,37.88968825,3.357314149,183.7387612,48.97829096,4431.583537,26.13908873,3116.651936,56.35974781
C06,Phf8.1,37.6140588,1.351808043,194.8420786,48.44123563,4141.91309,16.83001014,4866.308388,60.10306209
C07,Phf20l1.2,42.14123007,2.870159453,243.7662933,43.92315481,3958.189495,17.35763098,5178.830455,72.92420441
C08,Pcgf6.2,24.06707605,0.743977326,89.94690649,52.76736354,3493.163615,13.67501181,5618.15563,67.68998074
C09,Ppargc1a.1,39.26042486,1.121164437,257.571046,45.41686091,3703.40282,13.94571204,3623.614764,59.61780885
C10,Phf20.2,39.76653696,2.568093385,231.8593758,51.93063795,4884.140573,15.77172503,4099.529692,67.19799959
C11,Phf19.1,42.6725189,2.17020239,274.1771845,43.8369456,3729.700393,15.4108754,4498.153834,80.23574417
D02,Pcgf5.2,34.19015175,1.052957572,171.8982943,43.24152077,3746.848268,23.87736141,5270.103518,68.72658965
D03,Ppargc1a.2,35.09325681,1.779053085,166.2554382,46.10847817,4102.678427,15.32281205,4366.335906,75.56706973
D04,Phf20.3,28.32980973,1.691331924,105.2050379,43.36267861,4158.686167,23.04439746,4539.624147,73.93663822
D05,Phc1.1,40.875,1.25,251.9660658,44.67059288,3334.598115,20.8125,4617.039528,74.50046563
D06,Pcmt1.2,37.69968051,1.597444089,213.2026403,47.12083994,4141.948021,19.80830671,4996.367167,75.40646064
D07,Ppargc1a.3,40.30005173,1.551991723,230.6799191,46.46152371,3318.626335,21.57268495,3799.197304,59.33294187
D08,Phf8.2,36.35135135,1.351351351,173.7070761,43.26777753,3699.636326,17.79279279,4886.424969,70.1848481
D09,Phf1.2,32.8680203,2.241962775,142.9699094,47.87463641,4028.680855,16.45516074,4546.01111,73.05534034
D10,Pcgf2.3,27.16281569,2.149382053,105.3601698,51.9068411,1997.852143,17.03385277,3751.070945,70.53861726
D11,Prdm1.2,34.7216739,1.223845243,143.5430123,41.21944082,4157.737806,20.17370707,4756.384908,104.1540614
E02,Phf19.2,46.00179695,2.246181491,337.2126422,53.22424902,3573.798622,19.04761905,4453.553819,64.45447825
E03,Phf2.2,33.05870237,0.720906282,147.2679968,45.9207959,4085.906554,17.30175077,4521.742132,78.47765961
E04,Pcgf2.4,51.96463654,2.111984283,443.6527403,46.47104885,4115.302187,23.13359528,4722.827772,85.3628048
