,,Experiment: panel 1 100U,Analysis: Analysis 1,User: Admin,Plate: 13,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:26:44 AM,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,GeoMean PE-Cy7-A of Amet+,GeoMean PE-Cy7-A of Amet+GFP+,GeoMean PE-Cy7-A of GFP+,GeoMean APC-A of Amet+,GeoMean APC-A of Amet+GFP+,GeoMean APC-A of GFP+,GeoMean PerCP-Cy5-5-A of Amet+,GeoMean PerCP-Cy5-5-A of Amet+GFP+,GeoMean PerCP-Cy5-5-A of GFP+,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L+ as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,GeoMean Alexa 700-A of Amet+,GeoMean Alexa 700-A of Amet+GFP+,GeoMean Alexa 700-A of GFP+,GeoMean PE-A of Amet+,GeoMean PE-A of Amet+GFP+,GeoMean PE-A of GFP+,Count of live cells,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+
B02,Prdm10.1,B02,Sample,56.27530364,7.261029412,1.307966706,5.101214575,0.643382353,0.297265161,798.9750548,13.04968971,8.990726787,51.39730551,25.00338338,22.91174222,1479.139975,1947.356769,1722.007785,19.27125506,32.72058824,27.17003567,2786.313602,2123.854698,2070.216045,91.98933081,118.6955399,89.38288393,15303,11527,1235,1088,1682
B03,Prdm5.1,B03,Sample,29.85584219,5.545371219,2.370689655,3.300455235,0.687442713,0.251436782,137.4635321,7.459325628,5.562668928,44.28740402,25.35816789,22.98591502,1932.2429,3833.221225,3540.97362,15.28831563,26.35197067,30.20833333,3226.244124,2873.003599,2534.344636,70.06074868,105.2250317,80.19631755,29886,22195,2636,2182,2784
B04,Prdm6.1,B04,Sample,39.42574869,7.172834796,2.301665034,1.667181229,0.381533766,0.440744368,323.6125974,9.643087415,7.950454435,41.08643381,24.17378478,20.64567251,1282.002321,2397.568796,2401.9243,18.49336215,27.66119802,29.87267385,3034.376434,2502.106987,2646.176896,62.36455033,110.7996275,88.74979282,29246,20995,3239,2621,2042
B05,Prdm4.1,B05,Sample,42.27418615,5.19650655,2.311677959,2.292526364,0.655021834,0.518134715,315.4621216,7.590701489,6.912718213,43.97891122,25.00514019,21.46959961,1481.423851,2546.188331,2408.927131,18.52361302,29.17030568,31.44679155,2856.983509,2318.167924,2427.890965,66.93064802,101.2664591,93.78971095,26436,19213,2181,2290,2509
B06,Prdm12.1,B06,Sample,36.30769231,6.946182728,3.270622287,2.153846154,0.625782228,0.376266281,249.6167429,9.269988164,8.127530499,41.8347816,22.23343835,22.60043746,1108.682821,3195.438579,2587.039712,16.67692308,29.91239049,30.3617945,3086.598183,2766.884936,2584.536247,73.02026483,127.2618467,85.5755262,29644,21426,1625,1598,3455
B07,Prkcd.1,B07,Sample,40.83239595,6.849315068,1.751674395,1.856017998,0.479452055,0.309119011,291.4350406,7.7777668,6.540860945,39.02053711,19.27358862,20.49219466,1449.221414,2522.227276,2437.654981,15.63554556,28.86986301,28.95414735,3097.178513,2824.964341,2609.539387,86.8304361,145.3847921,100.1562344,27108,19274,3556,2920,1941
B08,Prdm9.1,B08,Sample,39.06633907,6.017770598,2.556158017,2.281502282,0.928917609,0.271107668,268.6775263,8.657949739,7.390777171,43.69258765,25.07610322,23.09604321,1502.033116,3060.754171,2756.889738,17.09371709,29.72536349,29.70565453,3246.898795,2722.307183,2707.772238,66.35891639,103.7856383,93.95210408,28830,20767,2849,2476,2582
B09,Prdm15.1,B09,Sample,40.01865672,6.749098403,3.117241379,1.305970149,0.412158681,0.303448276,310.9431471,8.834211022,7.045962161,37.10986517,19.35438229,22.47496779,1119.447814,2629.103765,2822.717497,12.96641791,22.46264812,30.28965517,3298.753055,2525.22734,2847.945869,78.71503495,129.626924,99.41147728,30562,22507,2144,1941,3625
B10,Prdm11.1,B10,Sample,46.66666667,25,3.719471208,0,0,0.403316155,506.8287986,31.05065561,7.717064441,22.03556355,14.4937935,24.78506834,1809.033062,7227.082418,2170.499121,20,0,24.78153708,3936.409122,3968.399943,2162.471114,62.45823969,180.8954251,98.83257324,28118,20920,15,8,4463
