,,Experiment: panel 1 100U,Analysis: Analysis 1,User: Admin,Plate: 9,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:22:43 AM,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,GeoMean PE-Cy7-A of Amet+,GeoMean PE-Cy7-A of Amet+GFP+,GeoMean PE-Cy7-A of GFP+,GeoMean APC-A of Amet+,GeoMean APC-A of Amet+GFP+,GeoMean APC-A of GFP+,GeoMean PerCP-Cy5-5-A of Amet+,GeoMean PerCP-Cy5-5-A of Amet+GFP+,GeoMean PerCP-Cy5-5-A of GFP+,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L+ as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,GeoMean Alexa 700-A of Amet+,GeoMean Alexa 700-A of Amet+GFP+,GeoMean Alexa 700-A of GFP+,GeoMean PE-A of Amet+,GeoMean PE-A of Amet+GFP+,GeoMean PE-A of GFP+,Count of live cells,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+
B02,Kdm5b.1,B02,Sample,43.17521781,6.253053249,4.24042816,3.727008712,1.221299463,0.576368876,264.610714,4.362213218,4.16530381,44.75443172,23.79614674,20.76948373,4296.138485,12011.82768,11544.69846,24.15295257,35.27112848,33.18237958,5535.903541,3920.947131,4662.485722,71.10488692,97.8334364,112.7461376,34770,26160,2066,2047,4858
B03,L3mbtl4.1,B03,Sample,47.40246614,8.170033162,1.89701897,1.475641803,0.78384082,0.325203252,389.4387475,8.306741157,3.881918478,37.403213,26.60656836,18.64411697,3244.538122,7476.2614,11623.99774,20.13341419,33.70515526,31.76151762,5112.277198,3980.312662,4694.182293,69.26367584,88.60042908,110.1733261,31163,22839,4947,3317,1845
B04,Mbd1.1,B04,Sample,38.61952862,5.904641617,3.173076923,1.851851852,0.852541838,0.512820513,179.6587425,4.320504353,4.31075939,36.1718518,17.99633757,19.13180186,5223.018567,12348.90847,10873.84865,22.8956229,38.61698769,30.41666667,5639.696923,4324.525584,4483.516249,84.52395321,123.5586184,109.1232133,32228,23590,2970,3167,3120
B05,L3mbtl3.1,B05,Sample,40.71933205,6.620610248,3.444564047,2.312138728,0.978698906,0.466451381,227.5141636,4.976401481,4.463300832,43.680035,23.68568758,20.96614209,4510.430973,11586.93541,10877.33428,21.06615286,37.01784686,35.70147112,6343.044614,4903.722825,4628.356801,79.77654298,122.3176153,114.4374976,35781,27025,1557,1737,5574
B06,Kdm5d.1,B06,Sample,45.11183715,6.94531741,3.142695357,1.683840161,0.597108737,0.198187995,317.6476726,5.239806753,4.158391862,34.38555763,17.94455736,21.10997191,4068.296801,11134.04444,10175.3756,16.41115858,30.07542426,35.22083805,5550.365825,4128.557171,4446.908003,87.7344717,154.5535819,110.2305258,34039,25439,3979,3182,3532
B07,Men1.1,B07,Sample,30.63418916,3.991468617,2.714665093,1.623875357,0.731261426,0.41310121,118.4719653,4.126927507,4.2105334,48.23817592,26.65543499,22.68420142,4817.369006,12475.36754,11142.81389,17.40179943,33.0591103,36.85452936,6678.745494,4825.300077,4591.028483,68.27468207,119.1392911,112.5949106,35427,27009,4557,3282,3389
B08,Mbd3.1,B08,Sample,38.10166442,5.5353902,3.529411765,3.058929375,0.771324864,0.470588235,168.6225053,4.195771521,4.345891692,45.07930671,22.6435779,19.93435473,5829.083627,12868.86003,11033.56093,20.33288349,40.69872958,32.81447964,5833.107723,4879.350213,4397.337341,86.59127008,120.4785272,112.4083938,37886,29035,2223,2204,5525
B09,L3mbtl1.1,B09,Sample,41.62679426,5.593719333,2.958721069,2.024291498,0.686947988,0.334049153,240.5603415,4.305353776,3.977023829,43.52373062,24.68356033,19.16850479,4929.55577,12601.62287,11255.25593,15.34781008,27.31436048,33.7628251,5756.68818,4265.402172,4428.467479,72.52347762,113.2498929,120.0894293,34804,26653,2717,3057,4191
B10,Kdm5c.1,B10,Sample,53.67428004,6.278831369,2.198990627,2.706057597,0.845720144,0.396539293,524.6225701,5.681867589,4.615636669,46.62481558,24.47376573,23.53068096,5130.311595,12107.41954,11184.09636,18.99205561,34.00820092,29.99279019,6780.058587,5664.818221,4659.915609,101.007278,135.6095765,121.0394011,31869,24594,4028,3902,2774
B11,Mbd4.1,B11,Sample,42.66598044,5.826983416,2.935827488,2.316006176,0.761990139,0.467653936,312.1386856,7.697652274,5.071383978,40.60705602,25.70966984,22.61103593,4040.461753,9483.475196,10786.6277,14.97683994,30.7037203,31.12496752,5436.013411,4408.984704,4398.753873,97.59681841,135.1269328,142.8244242,31105,23333,1943,2231,3849
C02,Mbd3.2,C02,Sample,35.7550699,7.075682938,2.706453851,1.437290805,0.940438871,0.208188758,194.7458622,6.565036366,4.154658232,46.23143554,34.12156889,20.89099573,4075.35091,10520.98797,10943.89103,20.29927151,35.42319749,33.240805,5517.501942,3957.261634,4576.325827,72.59160559,100.0868893,113.9281387,27691,20791,5079,2233,1441
C03,Kdm6a.1,C03,Sample,34.98212157,4.891774892,2.676579926,0.576082638,0.216450216,0.29739777,182.3718436,5.842465012,3.551217058,46.53201322,30.76712318,23.31776985,3312.795826,8960.661404,12420.02914,19.12991657,34.28571429,34.49814126,6525.969406,5357.745349,4623.140425,55.32048162,79.40764765,105.7910915,27206,20641,5034,2310,1345
C04,Kdm5b.2,C04,Sample,38.94912427,6.537530266,2.547103978,2.279677509,0.807102502,0.488485694,215.461634,4.561781151,3.858722809,43.01027402,22.16735413,22.8469065,4807.221997,13228.5933,11919.0141,15.4295246,29.62066182,27.77390091,5879.668802,4412.39298,4415.550145,74.61392318,126.0193621,104.7098993,34358,25615,3597,2478,2866
C05,Mbd4.2,C05,Sample,48.666862,5.850422195,4.238706079,2.783474949,1.145958987,0.446179587,432.9692279,5.426597286,5.137411265,49.14655268,24.93488863,22.65443654,3941.356668,10510.539,10444.04665,21.50600645,39.14354644,33.2961517,5301.399731,4200.061618,4599.232923,65.13637325,108.4972215,103.5043684,28340,20857,3413,1658,1793
C06,Mbd2.1,C06,Sample,69.23076923,0,4.70795569,0,0,1.057401813,750.8810033,2.623586128,4.399167594,32.90885271,21.43003262,22.42452167,1547.258303,11035.61938,11659.7698,30.76923077,38.88888889,23.26283988,5376.569487,4581.355793,4211.650193,50.1161119,206.0196097,115.1550681,27312,18785,13,18,3972
C07,Mbd1.2,C07,Sample,41.57439098,6.474030724,2.767075306,1.932756191,0.621799561,0.455341506,275.0318414,5.836688177,4.254360567,47.77648084,26.50273863,19.6630029,4866.962252,11539.79988,11842.02776,17.2337427,36.10095099,35.23642732,5547.148068,4255.423215,4461.59806,64.09081658,99.69938622,109.3563802,36093,27448,4967,2734,2855
C08,Kdm5d.2,C08,Sample,30.06845708,5.667574932,2.108814846,1.553449184,0.708446866,0.126528891,133.3478282,5.474110792,4.229460915,45.15805589,26.89216148,24.28672658,4071.498789,10309.67208,10003.33123,19.27330174,35.14986376,36.06073387,5522.760512,3952.73094,4056.695551,69.41990441,114.0323418,109.4484569,31853,23612,3798,1835,2371
C09,Mecom.1,C09,Sample,29.59268495,5.897945659,2.548330404,2.285951787,1.060304838,0.439367311,100.152417,4.037246058,4.427576379,40.25723592,24.36324539,23.82877325,5708.163444,14487.7902,10119.05654,22.19451372,36.5805169,36.81898067,5946.313036,4682.154989,4403.208646,78.71106949,135.9117526,116.6275251,31951,23623,2406,1509,3414
C10,L3mbtl4.2,C10,Sample,32.45632066,5.852713178,3.280141844,1.315519013,0.697674419,0.088652482,145.6651886,4.769131725,4.196661233,41.88753303,21.88601532,20.70148897,4504.155406,12647.83245,10757.06864,20.61664954,33.95348837,36.17021277,6431.996745,4428.533831,4383.457626,85.62553002,138.4847439,110.8713553,25990,18935,4865,2580,1128
C11,L3mbtl2.1,C11,Sample,33.93416928,6.911764706,3.475699558,2.272727273,0.539215686,0.382916053,171.0961116,5.924714063,5.233834312,39.20956954,25.58623391,25.84160869,4401.745411,11252.86838,10011.18652,20.49373041,32.94117647,31.28129602,5930.736235,4276.444652,4244.938737,95.56454704,142.5961119,135.1872635,33393,24001,2552,2040,3395
D02,Kdm5c.2,D02,Sample,54.987356,9.903811899,3.727369542,4.917111548,1.710010688,0.851970181,530.4027069,6.656078078,5.192484541,45.61229729,21.61377855,28.15999693,4690.261532,10530.51279,10800.17226,7.417813993,17.17135732,19.48881789,5749.054438,4021.540786,4237.802989,94.27284353,144.4438141,100.9430768,27945,18951,3559,2807,1878
D03,Mecom.2,D03,Sample,48.57142857,7.222469906,4.03852128,2.527472527,0.713330361,0.403852128,393.9289454,5.350323475,4.413769995,46.34635797,23.80588281,21.50405685,4122.753554,9917.726787,9697.012345,23.84615385,36.02318324,31.71792482,4598.612777,3792.283667,4010.13933,73.11981114,114.0137237,109.9272719,29006,20512,1820,2243,3219
D04,L3mbtl4.3,D04,Sample,47.21995094,9.395973154,3.355240401,1.962387572,0.939597315,0.311310965,306.9135505,6.986215604,4.436872611,41.62398475,24.07107925,19.33085142,4851.929509,10767.76274,10153.66374,21.83156173,33.33333333,35.48945002,5490.256085,4204.103701,4531.806565,76.53770055,115.6468979,112.6461567,27753,19640,2446,2235,2891
D05,Kdm6b.1,D05,Sample,49.76019185,9.483793517,4.197477164,7.673860911,2.160864346,0.630709004,356.4920316,7.339387156,5.031180095,60.74090128,29.22450291,22.18959044,4143.329793,8941.80838,9572.883062,19.90407674,31.45258103,32.36189648,5122.319386,3542.680381,4240.391843,92.26385309,104.5472923,113.1837242,29364,20939,834,833,4598
D06,Kdm6a.2,D06,Sample,36.05797101,4.810126582,2.80418251,2.608695652,0.962025316,0.33269962,119.7619058,3.235595297,3.751412992,42.48462184,24.83991712,20.31168823,5817.580783,14107.49589,10756.22025,30.49275362,41.21518987,38.11787072,5801.296499,5591.615193,4809.264628,73.40247661,115.719712,115.4860014,20620,15048,1725,1975,2104
D07,Mecom.3,D07,Sample,41.57762414,7.560684441,3.685503686,2.325581395,0.676482292,0.491400491,244.9794371,6.660956056,4.938917437,46.97230676,28.88032202,21.6692463,3817.604237,10057.38902,8882.321451,20.52168448,34.58018305,36.70761671,5641.30731,4639.420267,4383.045533,75.05833336,120.9671302,111.0873779,24540,17269,3182,2513,2035
D08,Mbd2.2,D08,Sample,32.89292596,5.937234945,2.508960573,5.835397743,1.65394402,0.465949821,162.5036929,5.775225127,3.856060157,65.72497537,38.79701371,24.87932527,2842.666404,8675.530002,9941.064531,11.4505918,23.36726039,34.44444444,4337.374456,3066.516679,4249.102389,72.13853997,82.93163767,113.0290303,27876,20379,3633,2358,2790
