Well,shRNA,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+GFP+CD103+ as % of Amet+GFP+,GeoMean PE-Cy7-A of Amet+GFP+_CXCR3_CD127,GeoMean APC-A of Amet+GFP+_CD103,GeoMean PerCP-Cy5-5-A of Amet+GFP+_CD25,Amet+GFP+CD62L+ as % of Amet+GFP+,GeoMean Alexa 700-A of Amet+GFP+_CD44,GeoMean PE-A of Amet+GFP+_CD127
B02,Kdm5b.1,6.253053249,1.221299463,4.362213218,23.79614674,12011.82768,35.27112848,3920.947131,97.8334364
B03,L3mbtl4.1,8.170033162,0.78384082,8.306741157,26.60656836,7476.2614,33.70515526,3980.312662,88.60042908
B04,Mbd1.1,5.904641617,0.852541838,4.320504353,17.99633757,12348.90847,38.61698769,4324.525584,123.5586184
B05,L3mbtl3.1,6.620610248,0.978698906,4.976401481,23.68568758,11586.93541,37.01784686,4903.722825,122.3176153
B06,Kdm5d.1,6.94531741,0.597108737,5.239806753,17.94455736,11134.04444,30.07542426,4128.557171,154.5535819
B07,Men1.1,3.991468617,0.731261426,4.126927507,26.65543499,12475.36754,33.0591103,4825.300077,119.1392911
B08,Mbd3.1,5.5353902,0.771324864,4.195771521,22.6435779,12868.86003,40.69872958,4879.350213,120.4785272
B09,L3mbtl1.1,5.593719333,0.686947988,4.305353776,24.68356033,12601.62287,27.31436048,4265.402172,113.2498929
B10,Kdm5c.1,6.278831369,0.845720144,5.681867589,24.47376573,12107.41954,34.00820092,5664.818221,135.6095765
B11,Mbd4.1,5.826983416,0.761990139,7.697652274,25.70966984,9483.475196,30.7037203,4408.984704,135.1269328
C02,Mbd3.2,7.075682938,0.940438871,6.565036366,34.12156889,10520.98797,35.42319749,3957.261634,100.0868893
C03,Kdm6a.1,4.891774892,0.216450216,5.842465012,30.76712318,8960.661404,34.28571429,5357.745349,79.40764765
C04,Kdm5b.2,6.537530266,0.807102502,4.561781151,22.16735413,13228.5933,29.62066182,4412.39298,126.0193621
C05,Mbd4.2,5.850422195,1.145958987,5.426597286,24.93488863,10510.539,39.14354644,4200.061618,108.4972215
C06,Mbd2.1,0,0,2.623586128,21.43003262,11035.61938,38.88888889,4581.355793,206.0196097
C07,Mbd1.2,6.474030724,0.621799561,5.836688177,26.50273863,11539.79988,36.10095099,4255.423215,99.69938622
C08,Kdm5d.2,5.667574932,0.708446866,5.474110792,26.89216148,10309.67208,35.14986376,3952.73094,114.0323418
C09,Mecom.1,5.897945659,1.060304838,4.037246058,24.36324539,14487.7902,36.5805169,4682.154989,135.9117526
C10,L3mbtl4.2,5.852713178,0.697674419,4.769131725,21.88601532,12647.83245,33.95348837,4428.533831,138.4847439
C11,L3mbtl2.1,6.911764706,0.539215686,5.924714063,25.58623391,11252.86838,32.94117647,4276.444652,142.5961119
D02,Kdm5c.2,9.903811899,1.710010688,6.656078078,21.61377855,10530.51279,17.17135732,4021.540786,144.4438141
D03,Mecom.2,7.222469906,0.713330361,5.350323475,23.80588281,9917.726787,36.02318324,3792.283667,114.0137237
D04,L3mbtl4.3,9.395973154,0.939597315,6.986215604,24.07107925,10767.76274,33.33333333,4204.103701,115.6468979
D05,Kdm6b.1,9.483793517,2.160864346,7.339387156,29.22450291,8941.80838,31.45258103,3542.680381,104.5472923
D06,Kdm6a.2,4.810126582,0.962025316,3.235595297,24.83991712,14107.49589,41.21518987,5591.615193,115.719712
D07,Mecom.3,7.560684441,0.676482292,6.660956056,28.88032202,10057.38902,34.58018305,4639.420267,120.9671302
D08,Mbd2.2,5.937234945,1.65394402,5.775225127,38.79701371,8675.530002,23.36726039,3066.516679,82.93163767
D09,L3mbtl1.2,7.770388519,0.980049002,6.305722509,26.61919986,11389.80295,34.86174309,4371.799301,132.4894818
D10,Kdm5b.3,6.832694764,0.638569604,6.272261774,26.15933045,10642.15185,33.26947637,2772.514752,125.1952406
D11,Men1.2,9.523809524,0,3.952860519,67.62549469,12795.91135,23.80952381,4888.137796,175.5115977
E02,L3mbtl2.2,40,0,70.36693654,104.989538,9736.597988,20,3374.953968,183.7256357
E03,L3mbtl3.2,6.321162152,0.785237534,4.560419184,22.02847718,12585.8374,31.17393011,4442.917501,137.9410781
