Well,shRNA,Amet+CXCR3+ as % of Amet+,Amet+CD103+ as % of Amet+,GeoMean PE-Cy7-A of Amet+_CXCR3_CD127,GeoMean APC-A of Amet+_CD103,GeoMean PerCP-Cy5-5-A of Amet+_CD25,Amet+CD62L+ as % of Amet+,GeoMean Alexa 700-A of Amet+_CD44,GeoMean PE-A of Amet+_CD127
B02,Prdm10.1,56.27530364,5.101214575,798.9750548,51.39730551,1479.139975,19.27125506,2786.313602,91.98933081
B03,Prdm5.1,29.85584219,3.300455235,137.4635321,44.28740402,1932.2429,15.28831563,3226.244124,70.06074868
B04,Prdm6.1,39.42574869,1.667181229,323.6125974,41.08643381,1282.002321,18.49336215,3034.376434,62.36455033
B05,Prdm4.1,42.27418615,2.292526364,315.4621216,43.97891122,1481.423851,18.52361302,2856.983509,66.93064802
B06,Prdm12.1,36.30769231,2.153846154,249.6167429,41.8347816,1108.682821,16.67692308,3086.598183,73.02026483
B07,Prkcd.1,40.83239595,1.856017998,291.4350406,39.02053711,1449.221414,15.63554556,3097.178513,86.8304361
B08,Prdm9.1,39.06633907,2.281502282,268.6775263,43.69258765,1502.033116,17.09371709,3246.898795,66.35891639
B09,Prdm15.1,40.01865672,1.305970149,310.9431471,37.10986517,1119.447814,12.96641791,3298.753055,78.71503495
B10,Prdm11.1,46.66666667,0,506.8287986,22.03556355,1809.033062,20,3936.409122,62.45823969
B11,Prkaa1.1,39.3442623,2.395964691,274.5248712,43.79402761,1480.959064,14.37578815,3014.350353,71.00352663
C02,Prdm9.2,43.09219117,1.697571167,348.5397006,42.11281453,884.7655855,13.5022199,2266.156274,51.39259438
C03,Prdm13.1,30.67498844,1.202034212,185.5505879,39.45159886,1142.186827,15.51086454,2457.712587,60.65277951
C04,Prdm10.2,39.29942418,2.351247601,289.0213126,42.9503004,1134.269427,15.01919386,2490.361729,56.40670719
C05,Prkaa1.2,36.6572238,1.64305949,304.9146374,46.88300446,1175.839721,13.42776204,2471.950932,56.30636658
C06,Prdm8.1,26.44972883,0.876095119,154.6255223,38.96003371,847.1787134,13.7254902,1983.409648,60.37761202
C07,Prdm6.2,29.5264624,1.601671309,187.6771518,45.31733442,1168.07509,13.18477252,2836.907922,60.9744424
C08,Prdm12.2,31.82093164,1.119177253,191.5608364,39.68999527,1116.317283,12.00846945,2684.935847,59.78390312
C09,Prkaa2.1,43.05351006,1.497299951,401.0138469,42.88860423,777.2997281,13.84388807,2253.032173,55.65600114
C10,Prdm5.2,28.98550725,1.173222912,205.6516806,44.99013343,916.1625066,15.38992409,2113.701004,47.86456772
C11,Prdm2.1,51.20845921,2.114803625,591.2094073,45.73602025,1156.505052,9.617321249,2941.984698,77.78301538
D02,Prdm11.2,56.33162976,2.839295855,733.883747,48.66897047,903.4929774,10.33503691,2165.209955,67.33635809
