,,Experiment: panel 1 100U,Analysis: Analysis 1,User: Admin,Plate: 11,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:25:08 AM,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,GeoMean PE-Cy7-A of Amet+,GeoMean PE-Cy7-A of Amet+GFP+,GeoMean PE-Cy7-A of GFP+,GeoMean APC-A of Amet+,GeoMean APC-A of Amet+GFP+,GeoMean APC-A of GFP+,GeoMean PerCP-Cy5-5-A of Amet+,GeoMean PerCP-Cy5-5-A of Amet+GFP+,GeoMean PerCP-Cy5-5-A of GFP+,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L+ as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,GeoMean Alexa 700-A of Amet+,GeoMean Alexa 700-A of Amet+GFP+,GeoMean Alexa 700-A of GFP+,GeoMean PE-A of Amet+,GeoMean PE-A of Amet+GFP+,GeoMean PE-A of GFP+,Count of live cells,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+
B02,Nap1l2.1,B02,Sample,25.38686742,4.349577124,1.082113304,1.233793392,0.281917036,0.381922342,85.85754392,4.128471364,3.344501851,37.28694103,25.71294248,21.26409138,3585.734168,9304.293914,8885.373164,13.06984525,22.31171969,24.31572247,5075.510957,3536.483599,3346.147176,88.81088347,123.0756037,111.6545818,27634,20636,4782,2483,1571
B03,Padi1.1,B03,Sample,34.68688845,4.951644101,1.67539267,1.810176125,0.618955513,0.314136126,194.355416,6.360967178,3.637535819,37.96740349,25.3857932,21.24006193,1370.810097,5008.424642,9532.826833,16.43835616,28.85880077,28.7434555,4591.45248,3345.476636,3388.655066,90.57537909,140.9538071,124.6158564,30991,23006,4088,2585,1910
B04,Padi4.1,B04,Sample,11.75663312,2.396166134,2.361623616,1.0978957,0.399361022,0.221402214,21.41638787,3.591599558,4.015701754,37.48768229,26.56796608,22.79743398,4398.164591,12489.89914,8807.448101,20.72278134,33.38658147,32.47232472,4963.435358,3170.208038,3534.716646,85.48152461,142.9150218,117.5114251,29003,21612,2186,1252,2710
B05,Orc1.1,B05,Sample,32.55331754,4.011461318,2.059405941,1.451421801,0.458452722,0.118811881,157.3394866,4.823891732,4.569182626,42.42998573,28.18346428,24.32863382,3645.858014,9335.699787,9196.071875,13.24052133,27.50716332,27.72277228,5457.924308,3967.321429,3617.099459,79.27613307,121.0095718,110.250478,28927,21589,3376,1745,2525
B06,Ncoa1.1,B06,Sample,31.59977388,4.291461779,1.622718053,1.187111362,0.71524363,0.405679513,160.5807777,4.999497127,4.075118756,41.20207873,26.77895355,26.12348355,3328.80804,8668.268255,9272.224738,12.63425664,26.86633885,28.51926978,4547.070901,3416.359473,3659.924133,72.73333248,116.7361041,108.1865151,31035,23312,3538,2237,2465
B07,Pcgf1.1,B07,Sample,27.9095062,3.939617084,2.209685002,1.087665869,0.625920471,0.235072873,133.3208474,5.029307794,4.46838897,37.80978703,23.82115235,23.76902059,3042.539673,8892.858765,8834.428655,9.96301936,26.03092784,28.81993418,4485.4893,3257.268204,3610.638625,79.55785235,121.6265656,106.3417254,30183,22581,4597,2716,2127
B08,Parp1.1,B08,Sample,40.7607153,5.099150142,1.848286484,1.390860062,0.566572238,0.385059684,301.9970051,6.417616948,4.424526589,43.91203181,29.5529951,24.81846113,3239.790498,8416.603553,9562.568219,12.57451036,25.73182247,27.0696958,4868.753106,4585.915054,3890.705022,71.90506554,122.3724543,104.1065851,29125,22128,3523,2118,2597
B09,Ncor2.1,B09,Sample,37.92513369,5.384087791,1.62708883,1.582887701,0.720164609,0.483729112,231.6265242,6.217388841,4.232066954,44.02887483,29.82342987,27.55324472,4067.959704,9511.883198,9395.32867,14.93048128,29.90397805,30.07915567,4909.591454,3531.926621,3897.830963,80.33510981,104.3396811,110.8139442,32069,23827,4675,2916,2274
B10,Nap1l3.1,B10,Sample,19.54887218,1.315789474,3.014440433,1.503759398,0,0.23465704,62.3461782,2.602402869,4.488757324,39.68458667,20.61978828,26.66881334,3701.208066,14180.44051,8961.88489,10.52631579,39.47368421,27.90613718,5088.354022,3797.084545,3678.234081,62.16384841,148.8329018,103.6384508,31948,24336,133,76,5540
B11,Paxip1.1,B11,Sample,38.59649123,5.553398058,2.22513089,2.521929825,1.126213592,0.698080279,253.1308879,5.990403729,4.899077688,47.27943286,32.3041856,29.21598693,3512.915746,8766.775697,9193.271735,14.85745614,24.62135922,26.04712042,4208.553751,3426.488004,4135.880899,75.76866922,105.3618691,109.855681,29393,21981,3648,2575,2292
C02,Parp1.2,C02,Sample,32.21544715,4.14507772,2.727272727,4.06504065,0.690846287,0.482954545,133.4165449,5.334557719,4.463991344,44.16746641,24.33207894,24.2706802,4043.947718,9515.315295,9487.156201,14.73577236,33.50604491,28.49431818,5248.440919,3781.498964,3613.818374,112.0054888,174.9763132,112.8444099,28402,21549,984,579,3520
