Well,shRNA,Amet+CXCR3+ as % of Amet+,Amet+CD103+ as % of Amet+,GeoMean PE-Cy7-A of Amet+_CXCR3_CD127,GeoMean APC-A of Amet+_CD103,GeoMean PerCP-Cy5-5-A of Amet+_CD25,Amet+CD62L+ as % of Amet+,GeoMean Alexa 700-A of Amet+_CD44,GeoMean PE-A of Amet+_CD127
B02,Nap1l2.1,25.38686742,1.233793392,85.85754392,37.28694103,3585.734168,13.06984525,5075.510957,88.81088347
B03,Padi1.1,34.68688845,1.810176125,194.355416,37.96740349,1370.810097,16.43835616,4591.45248,90.57537909
B04,Padi4.1,11.75663312,1.0978957,21.41638787,37.48768229,4398.164591,20.72278134,4963.435358,85.48152461
B05,Orc1.1,32.55331754,1.451421801,157.3394866,42.42998573,3645.858014,13.24052133,5457.924308,79.27613307
B06,Ncoa1.1,31.59977388,1.187111362,160.5807777,41.20207873,3328.80804,12.63425664,4547.070901,72.73333248
B07,Pcgf1.1,27.9095062,1.087665869,133.3208474,37.80978703,3042.539673,9.96301936,4485.4893,79.55785235
B08,Parp1.1,40.7607153,1.390860062,301.9970051,43.91203181,3239.790498,12.57451036,4868.753106,71.90506554
B09,Ncor2.1,37.92513369,1.582887701,231.6265242,44.02887483,4067.959704,14.93048128,4909.591454,80.33510981
B10,Nap1l3.1,19.54887218,1.503759398,62.3461782,39.68458667,3701.208066,10.52631579,5088.354022,62.16384841
B11,Paxip1.1,38.59649123,2.521929825,253.1308879,47.27943286,3512.915746,14.85745614,4208.553751,75.76866922
C02,Parp1.2,32.21544715,4.06504065,133.4165449,44.16746641,4043.947718,14.73577236,5248.440919,112.0054888
C03,Ncoa3.1,48.98929845,2.497027348,410.8719357,36.97326925,4205.240565,17.36028537,5153.013205,105.6926027
C04,Nap1l2.2,67.06586826,26.94610778,1496.424282,140.5974011,602.9561179,27.54491018,3926.114758,212.9729119
C05,Paxip1.2,37.20848057,1.625441696,243.6247658,39.18561393,3420.116876,20.53003534,3555.019688,80.10459475
C06,Padi6.1,38.56298317,1.546157344,251.7772184,40.7433762,3326.294366,18.55388813,4988.633485,80.8252676
C07,Padi4.2,44.41022482,1.940252541,361.8458738,40.95602648,2077.055492,16.47674777,5777.585688,97.71714385
C08,Ncoa1.2,39.00578035,1.595375723,272.5543358,48.97831728,2513.510461,15.83815029,4787.649222,64.36559799
C09,Pbrm1.1,36.36363636,1.08608206,151.0545375,35.51299804,5112.627737,17.81979083,5587.827556,101.2316726
C10,Padi1.2,36.59609568,1.594720924,207.991691,41.85942656,3700.185466,19.05416552,5091.123084,77.66035836
C11,Nsd1.1,60.60492905,3.622106049,822.308065,45.41580439,4075.594284,14.97386109,4153.861234,94.4253635
D02,Nap1l3.2,28.08875441,2.571860817,111.9021013,40.00735186,4480.284704,17.19616742,4983.53997,109.6894396
D03,Pbrm1.2,28.26718296,1.290738948,116.4340228,33.40398805,4101.318945,16.10196838,5061.618702,97.86894693
D04,Padi1.3,39.56712885,1.792357119,245.2408804,42.55373345,3158.120859,12.07304701,4955.43749,86.70400995
D05,Ncor1.1,35.14309764,1.430976431,146.9316577,41.12073623,5329.362372,26.47306397,6140.375008,91.53054591
D06,Ncoa3.2,41.74268638,1.195344448,304.0270637,34.81703844,2961.19884,12.42529097,5133.550778,95.25665855
D07,Pbrm1.3,32.73150844,1.252184042,131.1902579,32.39109975,4630.020351,19.97670355,5756.865758,114.9521604
D08,Padi6.2,31.55190134,2.10688592,147.9653119,42.09453446,3759.447199,19.98972251,5853.881358,93.60295954
D09,Ncor2.2,49.98553659,1.764535725,465.8991941,48.00725673,4266.000023,17.41394272,4807.100075,76.79320358
D10,Nap1l2.3,40.34165572,3.679369251,214.5624205,37.73408336,4152.547489,20.36793693,5776.471225,154.3766018
D11,Pcgf1.2,40.32432432,1.279279279,289.2562065,38.70710228,2562.557214,11.45945946,4559.924573,97.557061
E02,Nsd1.2,48.77474081,2.120640905,418.5128365,40.16663531,4190.168714,13.99622997,5002.27537,119.4863089
E03,Orc1.2,28.73986735,1.547531319,98.35289605,37.21595245,4303.957745,16.91230656,5388.550601,110.1352821
E04,Nap1l2.4,32.3928259,1.684164479,160.4722379,45.13940854,3400.183931,15.33245844,4901.615989,85.99988348
E05,Parp1.3,39.86092418,1.861821445,229.1105535,44.3175294,4267.816334,16.77882459,5327.441878,86.03806482
E06,Padi4.3,46.03626022,2.523995734,352.3582072,43.84741273,4030.806155,19.80092428,5201.185021,92.96938871
E07,Ncor1.2,45.94594595,8.108108108,319.7778314,67.89285496,3315.519639,18.91891892,4218.36463,76.35694914
E08,Nap1l3.3,43.92212726,2.160493827,349.58249,42.8828846,3949.101171,15.02849003,4705.12292,86.3368838
E09,Paxip1.3,34.85930281,1.511969761,181.1549616,38.68756639,4600.024517,21.41957161,6723.615775,100.8443842
E10,Padi6.3,33.55209188,2.296964725,166.2397104,47.8391529,4197.573081,15.17637408,6057.270412,90.72224555
E11,Ncor2.3,32.34182002,1.7645576,153.1800471,48.79266852,5176.358828,15.8810184,5698.602375,94.16390171
F02,Ncoa1.3,31.04883463,1.331853496,171.4699902,36.69367326,2898.486474,19.06215316,4510.425932,85.78643357
F03,Pcgf1.3,24.94896802,1.020639601,88.90928369,37.32048276,3260.764488,11.70333409,4327.985552,85.75256684
F04,Padi4.4,43.96896308,2.116153304,374.1090875,44.78642347,2789.421429,13.6374324,5171.29275,79.9605911
F05,Ncor1.3,35.28082634,0.936087799,197.7916703,43.0529344,5812.903799,29.30923176,5849.79014,86.53029913
F06,Ncoa3.3,46.25346901,1.110083256,407.5253523,38.83822266,3587.446546,14.61609621,3671.635582,74.71200951
F07,Parp1.4,37.78599492,1.82574532,189.1432327,39.46356145,4775.533227,14.88329096,5176.704528,88.47525046
F08,Orc1.3,42.80726257,2.548882682,287.6130742,48.05872864,3223.398658,14.80446927,5760.224747,85.10752855
F09,Nsd1.3,54.71960989,1.01010101,634.3427946,47.73963453,3374.012519,23.05816789,4955.648659,76.08835585
F10,Ncoa3.4,37.87477954,1.76366843,247.0152661,52.86757748,3833.331814,15.1675485,4948.419002,78.81935941
F11,Paxip1.4,37.9703763,2.502001601,223.4395129,51.19685232,3877.185987,16.81345076,4912.902172,85.94535347
G02,Padi6.4,38.83005547,1.790216843,215.8568551,37.97525389,3471.997128,20.12102874,5550.47506,123.7194783
G03,Nsd1.4,43.74255066,2.026221692,360.1585397,51.19454864,3825.415546,16.32896305,4946.237703,83.38093208
G04,Nap1l3.4,58.68120181,4.387131082,713.1948142,59.39937816,3598.663457,18.74501462,5848.938789,115.2607812
G05,Pcgf1.4,31.74988617,1.183791167,147.1693656,37.35452812,3739.896883,14.76703597,4804.805242,98.1498688
G06,Pbrm1.4,27.883448,1.112909753,103.2155611,38.51334657,4156.883261,18.87899636,5228.157287,104.443406
G07,Ncor1.4,57.56112285,2.233625113,690.7248106,55.69510789,3335.528995,15.1222457,4555.851265,74.13178075
G08,Ncoa1.4,34.78854025,1.955434288,160.742487,48.19658038,3954.958164,18.14461119,5158.352294,90.28054534
G09,Padi1.4,25.99514563,1.213592233,103.6763541,48.49131993,4029.525153,12.74271845,4920.75004,79.2467093
G10,Ncor2.4,41.40127389,1.910828025,295.0318009,46.34229127,4797.102349,16.56050955,5131.896751,93.631219
G11,Orc1.4,23.53122116,1.476468779,93.89465247,51.85177623,3719.154475,18.82497693,5030.872121,86.0350978
