Well,shRNA,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+GFP+CD103+ as % of Amet+GFP+,GeoMean PE-Cy7-A of Amet+GFP+_CXCR3_CD127,GeoMean APC-A of Amet+GFP+_CD103,GeoMean PerCP-Cy5-5-A of Amet+GFP+_CD25,Amet+GFP+CD62L+ as % of Amet+GFP+,GeoMean Alexa 700-A of Amet+GFP+_CD44,GeoMean PE-A of Amet+GFP+_CD127
G02,Prdm8.4,4.928131417,0.205338809,7.865651827,34.80535424,858.5083969,31.21149897,2182.050302,80.50205841
G03,Prdm2.4,5.943152455,0.947459087,7.471160125,29.46316139,1088.847006,30.66322136,1967.978191,99.18045574
G04,Prdm11.4,8.130385912,1.086549269,7.813064304,25.42798438,1829.886696,32.10940427,2055.759285,98.4639751
G05,Prkcd.4,7.663725035,1.300510915,6.81372609,21.02939886,2230.511558,39.10822109,3165.122265,157.1944481
G06,Prkaa2.4,4.827299209,0.873907615,6.82239038,30.58269672,1636.900303,28.54764877,2373.754473,103.1132569
G07,Prdm14.4,12.63157895,0.713073005,16.83187911,27.89549655,1212.903923,31.68081494,2199.353773,96.92295181
G08,Prdm12.4,5.819672131,0.778688525,7.012792284,26.39880382,1801.667569,29.54918033,2205.385976,124.9672007
G09,Prdm5.4,8.673281882,1.396545388,9.465402852,24.57615499,1535.258975,30.57699375,2198.408961,116.6981891
G10,Prdm15.4,6.885245902,1.114754098,6.540125743,23.3988251,1730.435459,33.44262295,2117.32676,124.1480781
G11,Prdm4.4,4.934770278,0.311968236,8.862619499,31.03534516,2022.105186,25.80828134,2324.625093,99.00730308
