Well,GeoMean BV605-A - PD-1 of Amet+_PD1,GeoMean PerCP-Cy5-5-A - Lag3 of Amet+,Amet+Tim3+ as % of Amet+,GeoMean PE-A - Tim3 of Amet+
B02,277.889174330343,1837.68832753818,59.5177201315309,335.262115695195
B03,363.611637458919,1901.27427984236,59.1374269005848,320.921221283107
B04,397.160307606626,2794.15599572795,60.9355246523388,362.488536827312
B05,544.819998581346,3000.40797672138,59.8513011152416,386.900574438349
B06,463.500742491135,2446.59816564564,56.3434022257552,300.103678810609
B07,390.79016815779,2199.69718336204,61.4823133071308,395.003268448137
B08,348.922793449166,2420.42535109925,62.0799434029006,350.963144463273
B09,397.948272851465,2378.03247779203,59.9956493365238,348.618343354651
B10,458.279150186015,3450.8778171168,51.380231522707,255.257876302522
B11,475.384717448776,1878.42083852319,52.2018802572984,276.629677649085
C02,466.617357994463,2732.2945841808,63.8213680045223,396.830812015801
C03,499.947554335737,2637.53828637393,61.9634509137272,395.411169162093
C04,500.228523981664,3129.04419880689,63.9230769230769,410.739621542067
C05,299.457462323333,2295.66431262145,44.6545204537642,167.815138181642
C06,464.639875014043,2620.66266355257,59.1301923613047,322.35470661554
C07,733.023075227037,2152.85033795981,55.7966522008679,296.348484031142
C08,442.960793629613,2755.24809540364,57.0011668611435,314.8270758358
C09,407.243732938856,2533.98862571317,56.9350649350649,300.732391004777
C10,669.695653630946,2663.11296799522,63.1578947368421,517.558575759585
C11,336.080027971853,2759.50711123287,55.1627670396745,300.584478485055
D02,492.967438676366,3237.38717611915,52.2985664854177,260.114801129331
D03,510.558304742055,2707.06799387674,59.5324174499879,363.508706900366
D04,638.159528630685,3418.92398158352,53.0386740331492,270.826559517666
D05,477.250005754765,3406.51693615272,66.8082524271845,501.609136268471
D06,609.765157553073,4060.48272120408,64.4155844155844,459.168373926594
D07,456.375582085832,2982.72523441628,53.3166009322338,270.667249508195
D08,523.068278962019,3161.51925232836,62.8607809847199,392.825823114236
D09,563.501668591783,3376.97574487526,60.5284888521883,388.94793453917
D10,493.284344139132,2626.51283021405,51.5816655907037,240.212932497029
D11,593.951574706362,2707.80259861996,53.3278553820871,255.617393450616
E02,359.285520079227,2370.80232159053,62.4235006119951,377.611929456658
E03,620.769122262335,2025.74435570607,52.5256673511294,251.232104285374
E04,571.994488001517,3679.81354109362,61.0564010743062,372.622540501518
E05,424.499779920262,3271.65371711428,58.5987261146497,328.437475992461
E06,645.824269209183,3087.08248290304,54.3123543123543,278.986791280478
E07,517.39623774958,3492.52949142259,61.6368286445013,447.248134581827
E08,800.397420149651,3609.34250311633,55.9630200308166,293.110643841268
E09,501.9865868036,3131.24541645009,57.4672048435923,294.703602525322
E10,564.185504139298,4253.13617122674,68.8578471651602,526.853893820867
E11,442.296690144696,2768.11248420599,60.4810996563574,391.208429972495
F02,528.533820998508,3338.47375405108,68.6068702290076,512.071715102733
F03,542.653173049692,2755.83098827629,67.680412371134,477.690604433569
F04,534.880936533353,3525.26370789071,61.6123399301513,384.7136782743
F05,506.958803651663,3684.70701600218,61.6113744075829,391.071569639675
F06,576.689034165339,5391.08511593824,50.483185156552,245.208062019254
F07,424.146156130744,3566.37769562993,62.2296972609322,359.062688898026
F08,687.489350589899,3641.01390672196,61.3233923578751,401.036362522636
F09,526.738783824323,3024.07101574629,59.5550692924872,346.356997862425
F10,503.134899693573,3576.59210672326,61.0265592360489,378.526989926537
F11,420.178022349298,3356.1718370418,62.5374625374625,399.647860175146
G02,310.18547339116,1798.05467403168,77.4128686327078,816.562106213411
G03,331.525057317062,2309.83496058024,71.7881944444444,567.470935180722
G04,716.168425966878,3182.1775715576,58.5642317380353,337.400044034106
G05,351.830307815638,1903.92959930834,51.8465909090909,235.641312545443
G06,479.984588799832,2149.50006168868,64.9350649350649,393.097203848466
G07,494.921257321172,2871.31817134807,66.5498442367601,461.284768031262
G08,441.551190019667,2718.6171774668,62.4869746439736,404.48132942216
G09,675.275348989836,2700.63120264033,49.0465507571509,221.54504438244
G10,480.88776808388,2630.8324939685,55.2995391705069,303.671209633468
G11,469.7741139148,2674.72579499506,76.4822569980163,735.805241459601
