Well,GeoMean BV605-A - PD-1 of Amet+GFP+_PD1,GeoMean PerCP-Cy5-5-A - Lag3 of Amet+GFP+,Amet+GFP+Tim3+ as % of Amet+GFP+,GeoMean PE-A - Tim3 of Amet+GFP+
B02,1232.82494519579,3468.22115819861,87.3433986508191,1195.48659160356
B03,1143.7491328442,3931.42138079381,84.7615632843313,1049.20518639331
B04,1347.26714452206,3905.56422142631,91.5214866434379,1631.00507783804
B05,1713.97373214051,4416.70032690782,89.945155393053,1514.67790249317
B06,1632.88842923105,3927.62582996131,86.1430159318266,1123.1109845858
B07,1139.65085781981,3138.36687817054,87.6604146100691,1186.8619496149
B08,1398.10567221179,3410.29563370449,88.217000691085,1142.01034756936
B09,1415.3452132791,3193.7765747696,87.8267363704257,1171.99677538321
B10,1502.72802827765,4193.82994170485,83.1353919239905,1099.26600453205
B11,1306.65896422875,2371.56619620514,86.0489149156045,988.751964135678
C02,1397.9570434208,4702.91139955969,90.2561526870919,1447.14724202939
C03,1405.11230433383,3708.0832401084,89.0248878008976,1333.06387224168
C04,1471.16776653647,4202.9391039219,89.2883345561262,1555.21832760011
C05,1174.01647442922,3713.58793386518,81.3084112149533,827.42490175442
C06,1604.34441321723,3274.01028930235,89.7709444618764,1367.88879310115
C07,2187.35365598333,3390.70485217263,82.1985815602837,1009.82432836629
C08,1474.92786901556,3516.57588814534,88.625,1222.05330609892
C09,1602.09300119757,3559.48614530466,87.9015721120984,1250.72816529241
C10,429.699391307981,1741.68407779347,90.9090909090909,1066.58900333109
C11,1366.8729531897,3740.43708435891,89.2186966905493,1304.13760920432
D02,1613.32271895186,4590.2158298888,82.9002079002079,1088.14764602716
D03,1877.86645082853,4289.18094552664,88.4090070136582,1568.42821595509
D04,1673.59693306046,5652.68440568043,83.9371980676328,1029.06646524958
D05,1490.88501163649,4145.84252334318,92.0451172454734,1657.4271997926
D06,1891.19466555178,4873.49090574474,89.2722710163112,1337.86686938891
D07,1924.92685626862,3812.70405177407,85.4630715123095,1151.7970720561
D08,1725.556744061,3781.32054130725,86.6591928251121,1184.08807093212
D09,1687.56500482743,4241.13907169512,89.6805896805897,1442.54316320974
D10,1967.10733914186,3631.89225889141,83.5133189344852,1024.00320221896
D11,2122.12258824749,3778.40095250802,87.2324723247232,1249.09300049384
E02,1185.35285184385,3468.47580909306,89.2011834319527,1516.3966114988
E03,2390.23131527496,2994.83918003948,84.7905951506245,1216.14069589289
E04,1638.27157957555,4933.65721957138,88.9398806792106,1474.70122656316
E05,1707.46857714357,4150.37915364191,90.7624633431085,1532.31251806383
E06,2203.5972845958,4444.97031327905,85.1898734177215,1202.48520177704
E07,1472.51079245266,4541.22751541702,90.0678593460827,1665.01255478161
E08,2543.76987905186,4587.00981372561,85.5652173913043,1128.25804417471
E09,1794.35895207111,4385.55712056303,88.021778584392,1278.09954526099
E10,1758.08253108101,5152.35323705345,91.1265432098765,1762.73658713926
E11,1223.64564954396,3395.27897139153,87.7059569074778,1330.62987969936
F02,1313.22004167711,4174.47030934788,92.4153645833333,1794.70425246088
F03,1528.44405835864,3910.09735639062,91.6201117318436,1733.30092042889
F04,1285.88841930292,4643.82746843785,89.2820336654071,1591.04385126256
F05,1657.48072075295,5436.24884221553,89.1160220994475,1602.90903228344
F06,2303.42687472288,5726.26458959999,83.8345864661654,992.236579668695
F07,1840.25015978272,4756.09503500352,88.7323943661972,1377.99475471791
F08,1337.91973997426,4188.65643926315,88.5010266940452,1538.99403622262
F09,1928.13681205663,4477.58414812223,88.5324232081911,1461.81605899345
F10,1415.77733960838,4270.21090871202,86.6790352504638,1332.73196687911
F11,1339.22338142822,3982.4862620411,89.6080218778487,1372.93611232047
G02,726.08829494561,2412.63080089295,93.2712956335004,2163.78319778476
G03,1437.70379240089,4508.37170585624,93.3698630136986,2071.80248042456
G04,2133.2306814342,4415.30243482826,83.495145631068,1245.65562197856
G05,1437.56818356929,3045.96857380345,87.4785591766724,1387.47921630049
G06,1566.57647156175,3008.7162980061,87.9227053140097,1214.3718848016
G07,1504.85352219915,4184.46675005274,88.695652173913,1405.92370602227
G08,1413.33947943112,4063.15087417154,89.0685142417244,1564.47678220215
G09,1539.02460419038,4792.04297395573,85.2307692307692,958.027400485761
G10,1744.93293771871,4209.28004856394,87.4257425742574,1345.61385059246
G11,1497.21679156845,3660.13441048138,94.2415730337079,1969.97623642178
