Position,Pool,shRNA,GeoMean
control2_B02,2,Bptf.1,961.4814877
control2_B03,2,Bptf.2,1496.213388
control2_B04,2,Bptf.3,1109.302781
control2_B05,2,Bptf.4,1784.12749
control2_B06,2,Whsc1.1,954.3042814
control2_B07,2,Whsc1.2,1235.834953
control2_B08,2,Whsc1.3,1013.77658
control2_B09,2,Whsc1.4,1441.007531
control2_B10,2,Cd4.1,1393.468633
control2_B11,2,Cd4.1,12269.39836
control2_C02,2,Mll2.1,347.4851029
control2_C03,2,Mll2.2,145.6799565
control2_C04,2,Mll2.3,1248.474515
control2_C05,2,Mll2.4,483.7142277
control2_C06,2,Brd8.1,1332.537665
control2_C07,2,Brd8.2,1179.319229
control2_C08,2,Brd8.3,1985.822145
control2_C09,2,Brd8.4,1960.817563
control2_C10,2,Cd4.2,1788.524989
control2_C11,2,Cd4.2,11033.88101
control2_D02,2,Ncor1.1,765.18326
control2_D03,2,Ncor1.2,840.0625447
control2_D04,2,Ncor1.3,1019.306329
control2_D05,2,Ncor1.4,1600.230499
control2_D06,2,Cxxcl.1,1789.107751
control2_D07,2,Cxxcl.2,3525.351387
control2_D08,2,Cxxcl.3,1675.765378
control2_D09,2,Cxxcl.4,1862.105101
control2_D10,2,Cd4.3,1978.576166
control2_D11,2,Cd4.3,8768.950244
control2_E02,2,Smarca4.1,3362.426009
control2_E03,2,Smarca4.2,1972.362383
control2_E04,2,Smarca4.3,1884.782269
control2_E05,2,Smarca4.4,2047.174439
control2_E06,2,Klf2.1,2054.642626
control2_E07,2,Klf2.2,1709.024497
control2_E08,2,Klf2.3,2335.733535
control2_E09,2,Klf2.4,3314.713153
control2_E10,2,Cd4.4,1815.039001
control2_E11,2,Cd4.4,7535.681863
control2_F02,2,Runx3.1,1844.072668
control2_F03,2,Runx3.2,11743.48258
control2_F04,2,Runx3.3,11497.34149
control2_F05,2,Empty,2363.983951
control2_F06,2,Sp140.1,1777.456399
control2_F07,2,Sp140.2,1307.404268
control2_F08,2,Sp140.3,1654.924333
control2_F09,2,Sp140.4,1954.895032
control2_F10,2,Empty,4597.173824
control2_F11,2,Empty,4981.446777
control2_G02,2,Smarce1.1,1153.373702
control2_G03,2,Smarce1.2,436.0365645
control2_G04,2,Smarce1.3,385.7214967
control2_G05,2,Smarce1.4,1270.456894
control2_G06,2,Wdr82.1,636.000144
control2_G07,2,Wdr82.2,573.8155621
control2_G08,2,Wdr82.3,863.9580944
control2_G09,2,Wdr82.4,855.7330293
control2_G10,2,Empty,591.5594151
control2_G11,2,Empty,107.9661564
12_B02,2,Pcgf2.1,2949.41198
12_B03,2,Phf20.1,1981.545335
12_B04,2,Phf20l1.1,1983.945094
12_B05,2,Phf2.1,1979.298722
12_B06,2,Pcgf6.1,1803.138819
12_B07,2,Prdm1.1,1193.29666
12_B08,2,Phip.1,1845.195329
12_B09,2,Phf1.1,1555.621091
12_B10,2,Pcgf5.1,1766.186628
12_B11,2,Polr2b.1,1042.813899
12_C02,2,Phip.2,1409.340212
12_C03,2,Pcmt1.1,1585.830799
12_C04,2,Pcgf2.2,1707.922146
12_C05,2,Polr2b.2,1096.317602
12_C06,2,Phf8.1,1870.753636
12_C07,2,Phf20l1.2,1009.68408
12_C08,2,Pcgf6.2,1054.811413
12_C09,2,Ppargc1a.1,1408.004203
12_C10,2,Phf20.2,891.9318232
12_C11,2,Phf19.1,1051.32719
12_D02,2,Pcgf5.2,1597.662376
12_D03,2,Ppargc1a.2,1360.940861
12_D04,2,Phf20.3,1415.259239
12_D05,2,Phc1.1,1619.656832
12_D06,2,Pcmt1.2,517.8092076
12_D07,2,Ppargc1a.3,1452.468021
12_D08,2,Phf8.2,1040.463164
12_D09,2,Phf1.2,862.5361421
12_D10,2,Pcgf2.3,981.0259109
12_D11,2,Prdm1.2,1017.029168
12_E02,2,Phf19.2,1784.505107
12_E03,2,Phf2.2,1236.975183
12_E04,2,Pcgf2.4,1323.103207
12_E05,2,Phip.3,1021.363338
12_E06,2,Phf20l1.3,1191.569869
12_E07,2,Phc1.2,1099.572247
12_E08,2,Pcgf5.3,987.0378211
12_E09,2,Polr2b.3,1115.337824
12_E10,2,Phf8.3,1019.48609
12_E11,2,Phf1.3,992.0233495
12_F02,2,Pcgf6.3,917.8184175
12_F03,2,Prdm1.3,1108.941565
12_F04,2,Phf20l1.4,1528.469052
12_F05,2,Phc1.3,1264.385477
12_F06,2,Pcmt1.3,1320.370778
12_F07,2,Phip.4,821.006565
12_F08,2,Phf2.3,879.6893029
12_F09,2,Phf19.3,896.3982823
12_F10,2,Pcmt1.4,833.7272968
12_F11,2,Polr2b.4,597.6342626
12_G02,2,Phf8.4,631.3469417
12_G03,2,Phf19.4,1573.905692
12_G04,2,Pcgf5.4,1006.86503
12_G05,2,Prdm1.4,1089.218239
12_G06,2,Ppargc1a.4,1183.77136
12_G07,2,Phc1.4,1055.035253
12_G08,2,Pcgf6.4,1123.276287
12_G09,2,Phf20.4,610.7385331
12_G10,2,Phf1.4,790.8785495
12_G11,2,Phf2.4,1086.393424
11_B02,2,Nap1l2.1,1506.752358
11_B03,2,Padi1.1,2452.698212
11_B04,2,Padi4.1,1452.144135
11_B05,2,Orc1.1,2940.385408
11_B06,2,Ncoa1.1,3419.982282
11_B07,2,Pcgf1.1,2181.918213
11_B08,2,Parp1.1,2096.39826
11_B09,2,Ncor2.1,2104.834213
11_B10,2,Nap1l3.1,1333.103258
11_B11,2,Paxip1.1,2058.180034
11_C02,2,Parp1.2,2176.711229
11_C03,2,Ncoa3.1,2188.489879
11_C04,2,Nap1l2.2,1636.777
11_C05,2,Paxip1.2,1868.12801
11_C06,2,Padi6.1,2398.741884
11_C07,2,Padi4.2,1994.404032
11_C08,2,Ncoa1.2,2206.335356
11_C09,2,Pbrm1.1,1212.502449
11_C10,2,Padi1.2,1425.758144
11_C11,2,Nsd1.1,2775.717433
11_D02,2,Nap1l3.2,1385.222091
11_D03,2,Pbrm1.2,1970.796193
11_D04,2,Padi1.3,1808.570722
11_D05,2,Ncor1.1,1103.240795
11_D06,2,Ncoa3.2,2599.170841
11_D07,2,Pbrm1.3,1172.474047
11_D08,2,Padi6.2,1947.887576
11_D09,2,Ncor2.2,2107.570602
11_D10,2,Nap1l2.3,2025.250075
11_D11,2,Pcgf1.2,2156.929922
11_E02,2,Nsd1.2,2053.518129
11_E03,2,Orc1.2,2036.341942
11_E04,2,Nap1l2.4,2205.549262
11_E05,2,Parp1.3,1657.567706
11_E06,2,Padi4.3,1883.891249
11_E07,2,Ncor1.2,2692.881855
11_E08,2,Nap1l3.3,1460.078234
11_E09,2,Paxip1.3,1847.518143
11_E10,2,Padi6.3,1826.456006
11_E11,2,Ncor2.3,1229.417142
11_F02,2,Ncoa1.3,1738.190754
11_F03,2,Pcgf1.3,1989.923675
11_F04,2,Padi4.4,1926.106348
11_F05,2,Ncor1.3,1199.212942
11_F06,2,Ncoa3.3,1764.749185
11_F07,2,Parp1.4,1569.380812
11_F08,2,Orc1.3,2094.426386
11_F09,2,Nsd1.3,1575.758809
11_F10,2,Ncoa3.4,1443.337389
11_F11,2,Paxip1.4,2191.449914
11_G02,2,Padi6.4,1782.174733
11_G03,2,Nsd1.4,1867.589703
11_G04,2,Nap1l3.4,2713.730659
11_G05,2,Pcgf1.4,1733.104277
11_G06,2,Pbrm1.4,1580.598695
11_G07,2,Ncor1.4,1249.845323
11_G08,2,Ncoa1.4,1796.000166
11_G09,2,Padi1.4,1880.821326
11_G10,2,Ncor2.4,1651.889405
11_G11,2,Orc1.4,1406.285558
9_B02,2,Kdm5b.1,1513.406878
9_B03,2,L3mbtl4.1,2404.003033
9_B04,2,Mbd1.1,2364.955401
9_B05,2,L3mbtl3.1,1624.495358
9_B06,2,Kdm5d.1,1864.891409
9_B07,2,Men1.1,2070.487679
9_B08,2,Mbd3.1,1743.216479
9_B09,2,L3mbtl1.1,2366.273078
9_B10,2,Kdm5c.1,2014.668298
9_B11,2,Mbd4.1,2003.471182
9_C02,2,Mbd3.2,1686.707481
