Position,Pool,shRNA,GeoMean
1_B02,1,Actl6b.1,846.3350521
1_B03,1,Asxl3.1,710.327029
1_B04,1,Atad2.1,552.5196508
1_B05,1,Asxl2.1,465.2060071
1_B06,1,Aff4.1,726.4985802
1_B07,1,Aurkb.1,586.1636137
1_B08,1,Atm.1,714.8588459
1_B09,1,A2l.1,684.9022388
1_B10,1,Aff1.1,816.5578295
1_B11,1,Atr.1,740.8934016
1_C02,1,Atm.2,716.3046852
1_C03,1,Arid2.1,579.6164263
1_C04,1,Actl6b.2,742.2892356
1_C05,1,Atr.2,836.4373863
1_C06,1,Atad2b.1,617.8401177
1_C07,1,Atad2.2,450.7630036
1_C08,1,Aff4.2,650.5029165
1_C09,1,Atrx.1,923.5138134
1_C10,1,Asxl3.2,1088.054763
1_C11,1,Asxl1.1,751.2151294
1_D02,1,Aff1.2,555.9536613
1_D03,1,Atrx.2,1037.623644
1_D04,1,Asxl3.3,592.0458294
1_D05,1,A1l.1,463.9444595
1_D06,1,Arid2.2,835.3534215
1_D07,1,Atrx.3,517.1995934
1_D08,1,Atad2b.2,567.6814692
1_D09,1,A2l.2,815.8141355
1_D10,1,Actl6b.3,836.5902725
1_D11,1,Aurkb.2,1257.025664
1_E02,1,Asxl1.2,577.6154637
1_E03,1,Asxl2.2,620.8547044
1_E04,1,Actl6b.4,587.1793005
1_E05,1,Atm.3,585.4165386
1_E06,1,Atad2.3,585.0572297
1_E07,1,A1l.2,597.611085
1_E08,1,Aff1.3,570.4141436
1_E09,1,Atr.3,915.6519098
1_E10,1,Atad2b.3,837.3508244
1_E11,1,A2l.3,1211.30005
1_F02,1,Aff4.3,620.0505142
1_F03,1,Aurkb.3,971.2611709
1_F04,1,Atad2.4,2690.34696
1_F05,1,A1l.3,806.0836418
1_F06,1,Arid2.3,894.6219596
1_F07,1,Atm.4,1159.348763
1_F08,1,Asxl2.3,609.6730417
1_F09,1,Asxl1.3,2237.861233
1_F10,1,Arid2.4,873.8852876
1_F11,1,Atr.4,744.7602455
1_G02,1,Atad2b.4,456.1750302
1_G03,1,Asxl1.4,973.0082004
1_G04,1,Aff1.4,549.6788704
1_G05,1,Aurkb.4,740.8290713
1_G06,1,Atrx.4,728.9358968
1_G07,1,A1l.4,847.9347112
1_G08,1,Aff4.4,609.7947744
1_G09,1,Asxl3.4,768.3259005
1_G10,1,A2l.4,569.5091889
1_G11,1,Asxl2.4,502.905348
2_B02,1,Baz1a.1,730.0511731
2_B03,1,Brd2.1,299.3594097
2_B04,1,Brd3.1,306.3175506
2_B05,1,Brd1.1,559.4162328
2_B06,1,Baz2a.1,398.5730355
2_B07,1,Brpf3.1,609.9726362
2_B08,1,Brd8.1,2340.796128
2_B09,1,Bop1.1,585.1808506
2_B10,1,Baz1b.1,775.2667148
2_B11,1,Brd9.1,859.0158379
2_C02,1,Brd8.2,654.5062932
2_C03,1,Baz2b.1,337.6190359
2_C04,1,Baz1a.2,317.0819187
2_C05,1,Brd9.2,413.7563142
2_C06,1,Brd4.1,395.8554752
2_C07,1,Brd3.2,368.1893898
2_C08,1,Baz2a.2,605.8170426
2_C09,1,Brpf1.1,541.6289306
2_C10,1,Brd2.2,391.6699401
2_C11,1,Bptf.1,573.6483446
2_D02,1,Baz1b.2,237.3658332
2_D03,1,Brpf1.2,400.0786996
2_D04,1,Brd2.3,188.7837354
2_D05,1,Bmi1.1,278.5131329
2_D06,1,Baz2b.2,454.6070871
2_D07,1,Brpf1.3,591.2903887
