Position,Pool,shRNA,Percentage
control2_B02,2,Bptf.1,57.94768612
control2_B03,2,Bptf.2,64.12037037
control2_B04,2,Bptf.3,59.73557692
control2_B05,2,Bptf.4,67.94637416
control2_B06,2,Whsc1.1,53.66506153
control2_B07,2,Whsc1.2,61.31989001
control2_B08,2,Whsc1.3,57.18390805
control2_B09,2,Whsc1.4,61.98729058
control2_B10,2,Cd4.1,59.67283073
control2_B11,2,Cd4.1,98.16513761
control2_C02,2,Mll2.1,41.4951989
control2_C03,2,Mll2.2,29.9170327
control2_C04,2,Mll2.3,62.03623814
control2_C05,2,Mll2.4,41.43081761
control2_C06,2,Brd8.1,59.29487179
control2_C07,2,Brd8.2,58.03757829
control2_C08,2,Brd8.3,69.97112608
control2_C09,2,Brd8.4,66.24737945
control2_C10,2,Cd4.2,67.22689076
control2_C11,2,Cd4.2,98.40925524
control2_D02,2,Ncor1.1,50.53254438
control2_D03,2,Ncor1.2,42.85714286
control2_D04,2,Ncor1.3,53.27963176
control2_D05,2,Ncor1.4,62.43154436
control2_D06,2,Cxxcl.1,65.6167979
control2_D07,2,Cxxcl.2,79.27631579
control2_D08,2,Cxxcl.3,67.39305892
control2_D09,2,Cxxcl.4,70.57902973
control2_D10,2,Cd4.3,69.91795807
control2_D11,2,Cd4.3,98.21894005
control2_E02,2,Smarca4.1,77.0773639
control2_E03,2,Smarca4.2,68.09605489
control2_E04,2,Smarca4.3,68.75
control2_E05,2,Smarca4.4,67.59358289
control2_E06,2,Klf2.1,65.67534077
control2_E07,2,Klf2.2,64.3537415
control2_E08,2,Klf2.3,70.42062415
control2_E09,2,Klf2.4,75.33577534
control2_E10,2,Cd4.4,67.95774648
control2_E11,2,Cd4.4,96.85169843
control2_F02,2,Runx3.1,66.86046512
control2_F03,2,Runx3.2,96.11111111
control2_F04,2,Runx3.3,96.11650485
control2_F05,2,Empty,60.0
control2_F06,2,Sp140.1,66.95437731
control2_F07,2,Sp140.2,58.54014599
control2_F08,2,Sp140.3,63.64617044
control2_F09,2,Sp140.4,66.30109671
control2_F10,2,Empty,85.71428571
control2_F11,2,Empty,100.0
control2_G02,2,Smarce1.1,57.69828927
control2_G03,2,Smarce1.2,46.55913978
control2_G04,2,Smarce1.3,46.89984102
control2_G05,2,Smarce1.4,63.16851665
control2_G06,2,Wdr82.1,43.65004704
control2_G07,2,Wdr82.2,44.41314554
control2_G08,2,Wdr82.3,50.67920585
control2_G09,2,Wdr82.4,46.75118859
control2_G10,2,Empty,43.75
control2_G11,2,Empty,0.0
12_B02,2,Pcgf2.1,80.0
12_B03,2,Phf20.1,72.52851711
12_B04,2,Phf20l1.1,74.06483791
12_B05,2,Phf2.1,69.94301994
12_B06,2,Pcgf6.1,68.9258312
12_B07,2,Prdm1.1,65.85879874
12_B08,2,Phip.1,67.93154762
12_B09,2,Phf1.1,67.0212766
12_B10,2,Pcgf5.1,71.30905512
12_B11,2,Polr2b.1,61.68009206
12_C02,2,Phip.2,68.4073107
12_C03,2,Pcmt1.1,67.46987952
12_C04,2,Pcgf2.2,69.7292863
12_C05,2,Polr2b.2,56.99373695
12_C06,2,Phf8.1,70.657277
12_C07,2,Phf20l1.2,60.49469965
