Position,Pool,shRNA,GeoMean
14_B02,2,Prmt1.1,1019.02119706585
14_B03,2,Rbbp4.1,2366.51804180561
14_B04,2,Rbbp5.1,1906.84824993114
14_B05,2,Psip1.1,2318.76982907313
14_B06,2,Prmt3.1,1750.32351389883
14_B07,2,Rnf40.1,2217.62724403658
14_B08,2,Ring1.1,2002.65489082103
14_B09,2,Prmt7.1,1713.99502743126
14_B10,2,Prmt2.1,1810.24240686339
14_B11,2,Rnf20.1,2498.34507334832
14_C02,2,Ring1.2,153.459615365538
14_C03,2,Prmt5.1,1919.57407734712
14_C04,2,Prmt1.2,1429.52235865415
14_C05,2,Rnf20.2,2032.80510258373
14_C06,2,Rbbp7.1,1922.00999407031
14_C07,2,Rbbp5.2,2162.89897351347
14_C08,2,Prmt3.2,1865.63620646112
14_C09,2,Rnf217.1,2287.81310411719
14_C10,2,Rbbp4.2,2493.12003227766
14_C11,2,Prmt8.1,2127.23908035189
14_D02,2,Prmt2.2,2083.90673836081
14_D03,2,Rnf217.2,1585.55454499888
14_D04,2,Rbbp4.3,2210.8957550888
14_D05,2,Prmt6.1,1594.04198938194
14_D06,2,Prmt5.2,1736.8460234874
14_D07,2,Rnf217.3,1201.04295208143
14_D08,2,Rbbp7.2,1390.16210478467
14_D09,2,Prmt7.2,1806.41790548043
14_D10,2,Prmt1.3,1146.29365239167
14_D11,2,Rnf40.2,2776.34978821579
14_E02,2,Prmt8.2,2097.51121240199
14_E03,2,Psip1.2,2105.6760435927
14_E04,2,Prmt1.4,1792.78015162354
14_E05,2,Ring1.3,1330.39524603405
14_E06,2,Rbbp5.3,1740.5545812853
14_E07,2,Prmt6.2,1612.91833927323
14_E08,2,Prmt2.3,1819.64630469186
14_E09,2,Rnf20.3,1740.92756469102
14_E10,2,Rbbp7.3,2252.62456329295
14_E11,2,Prmt7.3,2184.60389836959
14_F02,2,Prmt3.3,1565.66307250859
14_F03,2,Rnf40.3,3155.34248641298
14_F04,2,Rbbp5.4,1793.13165925283
14_F05,2,Prmt6.3,2125.88321660749
14_F06,2,Prmt5.3,2027.68982359279
14_F07,2,Ring1.4,2484.63586050976
14_F08,2,Psip1.3,2098.62351469234
