shRNA,count,adjPctg,nbPctg
Bcl6,70087,81.92368512893644,89.39482241480643
Bcl6.2,75973,88.80374577740076,89.81414531494634
Bcl6.3,9987,11.673660498846978,79.21419138299154
CD4.1,3013,3.5218523163138022,73.31923423499246
CD4.2,4977,5.817543637004246,75.74017606316737
CD4.3,16153,18.881009115637852,81.68275805499626
CD4.4,166361,194.45697749561248,93.71986682410126
CDK9.1,22240,25.996015769936598,83.35040870821466
CDK9.2,76,0.08883530568863225,57.71157033396128
CDK9.3,22705,26.539547574478885,83.45889293784407
Ccnt1,49561,57.931139279398735,87.57620669321399
Ccnt1.2,80712,94.34309464132745,90.12741883453064
Ccnt1.3,33800,39.50833331941803,85.55428878630312
Ccnt1.4,3509,4.101619574492244,74.0467941972065
Cd14,39951,46.69814865219141,86.43783332197204
Cd14.2,11660,13.629206109598053,80.00362432680899
Cd19,11656,13.62453056719339,80.00186899907864
Cd19.3,5193,6.070022926856149,75.94835229227968
Cd19.4,3027,3.538216714730129,73.34126807479932
Fosb,5,0.005844428005831069,48.338797535430686
Fosb.2,346,0.40443441800351,63.69742055793077
Hes1,349,0.40794107480700864,63.73322875699879
Hes1.2,15918,18.60632099936379,81.60677855188774
Hes1.3,13,0.01519551281516078,51.4424021129597
Id2,402,0.469892011668818,64.32242835088343
Id2.2,62,0.07247090727230526,56.95142439799614
Id2.3,57300,66.97714494682405,88.34022592862016
Id2.4,13669,15.977497282340979,80.81968710563604
Id2.5,3,0.003506656803498642,46.75692530730791
Id3,13041,15.243437124808596,80.57765396358818
Id3.2,9376,10.959471396534422,78.89408170703504
Id3.3,24298,28.401582337136663,83.81480496784958
Id3.4,574,0.6709403350694068,65.83078834829294
Id3.5,22,0.025715483225656706,53.23547933587343
Klf12,5744,6.7140788930987325,76.44449335185027
Klf12.4,42,0.04909319524898098,55.52518099941239
Klf12.5,36351,42.490160487993045,85.93873509365702
Klf2,309,0.3611856507603601,63.23020153067282
Klf2.2,64,0.0748086784746377,57.06930588182397
Klf2.3,0,0.0,26.55335294971427
Klf2.4,3829,4.475662966865433,74.46642162702923
Klf2.5,1,0.001168885601166214,43.52760027023404
Klf2.6,953,1.1139479779114019,68.03807168559337
Klf2.7,5,0.005844428005831069,48.338797535430686
Ms4a1,71085,83.09023295890032,89.46848180249131
Ms4a1.2,6797,7.944915431126755,77.27881540197905
Nfatc3.2,158814,185.6353978636111,93.50106771509445
Nfatc3.3,493,0.5762606013749435,65.18234847980942
Nfatc3.7,185,0.21624383621574955,61.15338468739385
Nfatc3.8,0,0.0,26.55335294971427
Rpa3.1,26,0.03039102563032156,53.81786433913306
Rpa3.2,1912,2.2349092694298007,71.18746469831378
Rpa3.3,1163,1.3594139541563068,68.92476833123786
Rpa3.4,13397,15.659560398823768,80.7161923847828
Runx3,291,0.34014570993936827,62.983643585399385
Runx3.2,0,0.0,26.55335294971427
Runx3.3,13090,15.30071251926574,80.59693560585734
Satb1.1,1722,2.0128210052082203,70.70524612208605
Satb1.2,44164,51.62266368990466,86.96760140272424
Satb1.3,39698,46.40242059509636,86.4042562989507
Scmh1.1,3029,3.5405544859324616,73.34440832752482
Scmh1.2,7418,8.670793389450974,77.71516276258055
Scmh1.3,29973,35.03500812375493,84.9199416090112
Scml2.1,1985,2.3202379183149344,71.3608578802119
Scml2.2,29616,34.61771596413859,84.85674094129502
Scml2.3,6407,7.489050046671933,76.98505662572653
Scml2.4,5958,6.964220411748303,76.62514742916386
Scml4.1,8450,9.877083329854507,78.36898957468877
Scml4.2,4940,5.774294869761096,75.70366330756725
Scml4.3,966,1.1291434907265625,68.09804665949132
Setd1a.1,0,0.0,26.55335294971427
Setd1a.2,22925,26.79670240673545,83.50946769860607
Setd1a.3,2052,2.3985532535930707,71.51481504454256
Setd1a.4,5922,6.922140530106319,76.59519034477007
Setd2.1,3149,3.6808207580724077,73.52932656574501
Setd2.2,23023,26.911253195649742,83.53184457427241
Setd2.3,37782,44.16283578326189,86.1427977681062
Setd2.4,54298,63.46815037212308,88.05719072470698
Setd3.1,8469,9.899292156276665,78.38030199721337
Setd3.2,455,0.5318429485306273,64.84297403853476
Setd3.3,19920,23.284201175230983,82.77392590107335
Setd4.1,0,0.0,26.55335294971427
Setd4.2,10063,11.76249580453561,79.25269776877593
Setd4.3,1316,1.5382534511347374,69.48071920088267
Setd4.4,9956,11.637425045210826,79.19840484517039
Setd5.1,0,0.0,26.55335294971427
Setd5.2,272831,318.9082274517793,95.89365135543274
Setd5.3,0,0.0,26.55335294971427
Setd5.4,118245,138.21487790989895,92.06709035379838
Setd7.1,6670,7.796466959778647,77.18494587618963
Setd7.2,769,0.8988730272968185,67.09536388095027
Setd8.1,172,0.20104832340058879,60.86397280021689
Setd8.2,3346,3.911091221502151,73.81899852314568
Setd8.3,4254,4.972439347361074,74.97538469251637
Setd8.4,976,1.1408323467382249,68.14366818768207
Setdb1.1,71905,84.0487191518566,89.52819234078119
Setdb1.2,141457,165.3470504841691,92.94687867024146
Setdb1.3,14712,17.196644964357336,81.19905398127875
Setdb1.4,2069,2.418424308812897,71.55312777403732
Setdb2.1,2330,2.723503450717278,72.10697564880535
Setdb2.2,11373,13.29373594206335,79.87620924473478
Setdb2.3,6228,7.279819524063179,76.84452191194013
Setdb2.4,2180,2.5481706105423463,71.79625813188592
Setmar.1,13693,16.005550536768965,80.82872399316827
Setmar.2,51670,60.39631901225827,87.79590783299345
Setmar.3,1292,1.5102001967067482,69.3976541860209
Setmar.4,7848,9.173414197952447,77.99746680240303
Sfmbt1.1,12234,14.300146444667458,80.2497128966167
Sfmbt1.2,35,0.04091099604081748,54.86973909282066
Sfmbt1.3,14781,17.27729807083781,81.2232329992265
Sfmbt1.4,25703,30.043866606775193,84.11030404660555
Sfmbt2.1,0,0.0,26.55335294971427
Sfmbt2.2,4663,5.450513558238055,75.42182121019559
Sfmbt2.3,132,0.15429289935394022,59.82397575708177
Sgk1.1,7593,8.875348369655063,77.83187906769821
Sin3a.1,478,0.5587273173574502,65.0514135837725
Sin3a.2,110018,128.59845606910451,91.70679109786435
Sin3a.3,166,0.19403500979359153,60.72343353055116
Sin3a.4,1196,1.3979871789947917,69.0502500364428
Sin3b.1,372,0.4348254436338315,63.9985367459111
Sin3b.2,909,1.0625170114600884,67.82924419142914
Sin3b.3,977,1.1420012323393909,68.14820662372631
Sin3b.4,486,0.5680784021667799,65.12171673709925
Sirt1.1,26051,30.45063879598104,84.18105411175299
Sirt1.2,79828,93.30979976989651,90.07049665815829
Sirt1.3,8307,9.70993268888774,78.28306636004255
Sirt1.4,6493,7.589574208372227,77.05126037358254
Sirt3.1,796,0.9304329385283062,67.24613528595455
Sirt3.2,30,0.035066568034986416,54.32169658843707
Sirt3.3,14372,16.799223859960822,81.07830033304239
Sirt3.4,13348,15.602285004366621,80.69733461692846
Sirt4.1,177,0.20689275140641986,60.97762650995955
Sirt4.2,7810,9.12899654510813,77.97311708107692
Sirt4.3,33,0.038573224838485055,54.65995283397085
Sirt4.4,4250,4.967763804956409,74.97082152753578
Sirt5.1,5777,6.752652117937217,76.47276217433262
Sirt5.2,2739,3.20157766159426,72.86741658111906
Sirt5.3,204,0.2384526626379076,61.543882810276315
Sirt5.4,2073,2.4230998512175614,71.56209858173253
Sirt6.1,2447,2.8602630660537254,72.33656155160179
Sirt6.2,1259,1.4716269718682633,69.28104377675777
