shRNA,count,adjPctg,nbPctg
Actb,4,6.88276838710066e-05,36.18632507806373
Actl6a,818,0.014075261351620849,51.186533459174434
Actl6b.1,16347,0.2812815370598362,62.209321581638775
Actl6b.2,5284,0.09092137039359971,57.798863749563466
Actl6b.3,1575,0.027100900524208847,53.417661654082224
Actl6b.4,7636,0.13139204850975159,59.2013918710313
Aff1.1,1214,0.0208892020548505,52.519730865553846
Aff1.2,13105,0.22549669928238536,61.32043911037792
Aff1.3,362576,6.238816576803522,76.08301813990994
Aff1.4,2356,0.040539505800022885,54.83719585231094
Aff4.1,55967,0.9630197458021565,67.39687472528222
Aff4.2,2267,0.03900808983389299,54.6998859070633
Aff4.3,2608,0.0448756498838963,55.20128809001014
Aff4.4,1329,0.022867997966141942,52.83008607829968
Arid1a.1,0,0.0,26.55335294971427
Arid1a.2,73,0.0012561052306458704,43.733917917644845
Arid1b.1,0,0.0,26.55335294971427
Arid1b.2,0,0.0,26.55335294971427
Arid1b.3,4,6.88276838710066e-05,36.18632507806373
Arid2.1,73322,1.2616458591974864,68.59113394567783
Arid2.2,13100,0.2254106646775466,61.31891617875856
Arid2.3,1392,0.023952033987110294,52.989818823993296
Arid2.4,914,0.015727125764525007,51.55781811080078
Ash1l.1,8269,0.1422840294823384,59.509194362581475
Ash1l.2,10565,0.18179112002429618,60.46627013328985
Ash1l.3,419,0.007209699885487941,49.00412619703159
Ash1l.4,2005,0.034499876540342055,54.26405806617316
Ash2l.1,4083,0.07025585831133,56.83641737175616
Ash2l.2,4942,0.08503660342262864,57.54754995625528
Ash2l.3,991,0.017052058679041884,51.83013038958827
Ash2l.4,0,0.0,26.55335294971427
Asxl1.1,1679,0.028890420304855016,53.640633875169854
Asxl1.2,4325,0.07441993318552588,57.04993361977982
Asxl1.3,325,0.005592249314519286,48.200243006542486
Asxl1.4,7235,0.12449207320168318,58.99380541973016
Asxl2.1,96060,1.6528968281622234,69.80605102472686
Asxl2.2,3778,0.06500774741616573,56.549790110136314
Asxl2.3,3639,0.06261598540164824,56.411897304113744
Asxl3.2,9826,0.1690752054291277,60.1814446810329
Asxl3.3,2367,0.04072878193066815,54.85380911739091
Asxl3.4,6013,0.10346521577909067,58.28735744850625
Atad2.1,10711,0.1843033304855879,60.520324135995864
Atad2.2,3485,0.059966119572614496,56.25331985711854
Atad2.3,9402,0.161779470938801,60.008839161122616
Atad2.4,7417,0.12762373281781397,59.08930110234829
Atad2b.1,19409,0.33396912906309173,62.90855873339317
Atad2b.2,1868,0.03214252836776008,54.01455271832286
Atad2b.3,4506,0.07753438588068892,57.202476634493074
Atad2b.4,6204,0.10675173768393124,58.406148870410526
Atm.1,1240,0.021336582000012046,52.59219912494358
Atm.2,5421,0.0932787185661817,57.895272373588
Atm.3,7078,0.12179058660974618,58.90957142318639
Atm.4,2923,0.05029582998873807,55.6127166952309
Atr.1,19886,0.3421768303647093,63.00805696360132
Atr.2,115738,1.9914946189656404,70.65634392215128
Atr.3,8218,0.14140647651298305,59.48521383515085
Atr.4,2736,0.047078135767768516,55.3738408807323
Atrx.1,52,0.0008947598903230857,42.7766749628414
Atrx.2,2051,0.03529139490485863,54.344327833233066
Atrx.3,28423,0.4890723146664051,64.49013336261532
Atrx.4,5898,0.10148641986779923,58.214101422258956
Aurkb.1,26451,0.4551402665179989,64.18902519377366
Aurkb.2,73988,1.273105668562009,68.63147062321308
Aurkb.3,2004,0.03448266961937431,54.262316295166855
Aurkb.4,2772,0.047697584922607575,55.42096626726632
Baz1a.1,1,1.720692096775165e-05,33.112284441415824
Baz1a.2,187514,3.2265385783469824,72.90412233617842
Baz1a.3,0,0.0,26.55335294971427
Baz1a.4,9369,0.1612116425468652,59.9950979691156
Baz1b.1,4809,0.08274808293391768,57.44542854370128
Baz1b.2,54370,0.9355402930166571,67.27008719521099
Baz1b.3,8576,0.14756655421943812,59.65060476105971
Baz1b.4,222,0.0038199364548408663,47.0180131759384
Baz2a.1,3207,0.05518259554357954,55.94957059767257
Baz2a.3,0,0.0,26.55335294971427
Baz2a.4,1264,0.021749548103238085,52.657904596996644
Baz2b.1,38328,0.6595068668519852,65.75720114326296
Baz2b.2,6262,0.10774973910006083,58.44155077109993
Baz2b.3,875,0.015056055846782693,51.41162411107692
Baz2b.4,2904,0.04996889849035079,55.58909822707996
Bcl6,14501,0.24951756095336666,61.725899474646305
Bcl6.2,15471,0.26620827429208577,61.986660178954324
Bcl6.3,150,0.0025810381451627476,45.8336020938337
Bmi1.1,3423,0.05889929047261389,56.18758846858564
Bmi1.2,4113,0.07077206594036253,56.863561201773535
Bmi1.3,1619,0.027858005046789917,53.51371477488062
Bmi1.4,499732,8.598849029056467,77.67349160029364
Bop1.1,1263,0.021732341182270333,52.6552231228186
Bop1.2,2371,0.04079760961453916,54.85985631755268
Bop1.3,416,0.007158079122584686,48.98147469957478
Bop1.4,9,0.00015486228870976486,38.154198619819304
Bptf.1,1443,0.024829586956465626,53.11406073569265
Bptf.2,2021,0.03477518727582608,54.292224658315114
Bptf.3,629,0.010823153288715788,50.318195151892894
Bptf.4,854,0.014694710506459908,51.330204106865494
Brd1.1,2909,0.05005493309518954,55.59532378707623
Brd1.2,17701,0.3045797080501719,62.53243690649201
Brd1.3,533,0.00917128887581163,49.778370623907676
Brd1.4,151,0.002598245066130499,45.853198918436576
