gene_name,gene_name2,cluster,interation,source_appearance,source_appearance_sqrt
SMARCA4,TBX21,6,pp,36,6.0
GTF2F1,TAF1,2,pp,4,2.0
CHD7,SMARCA4,3,pp,9,3.0
HDAC2,MBD2,2,pp,39,6.244997998398398
HDAC1,HES1,2,pp,47,6.855654600401044
HDAC1,RUNX3,2,pp,47,6.855654600401044
GTF2F1,GTF2H1,2,pp,4,2.0
SMARCA4,SMARCC1,6,pp,36,6.0
SMARCD2,SMARCE1,6,pp,8,2.8284271247461903
PHC2,RING1,3,pp,12,3.4641016151377544
ATAD2,SIRT7,3,pp,3,1.7320508075688772
HDAC2,SIRT7,2,pp,39,6.244997998398398
ERCC5,GTF2H1,3,pp,2,1.4142135623730951
ING5,SMARCE1,3,pp,4,2.0
ATAD2B,SIRT7,3,pp,1,1.0
BRPF1,ING5,2,pp,4,2.0
SMARCD1,SMARCE1,2,pp,16,4.0
SMARCA4,ZMYND8,6,pp,36,6.0
HDAC2,ZMYND8,2,pp,39,6.244997998398398
BRPF1,GTF2H1,2,pp,4,2.0
RPA3,UBE2A,6,pp,7,2.6457513110645907
EP400,SMARCA4,2,pp,11,3.3166247903554
NCOR1,SMARCC1,2,pp,14,3.7416573867739413
HDAC2,NCOR2,2,pp,39,6.244997998398398
HDAC2,SMARCE1,2,pp,39,6.244997998398398
BCL6,NCOR2,3,pp,11,3.3166247903554
BCL6,HDAC2,3,pp,11,3.3166247903554
SMARCC1,SMARCD1,6,pp,24,4.898979485566356
NCOR2,SMARCA4,2,pp,10,3.1622776601683795
PCGF2,PHC2,6,pp,8,2.8284271247461903
BOP1,SIRT7,3,pp,2,1.4142135623730951
HLTF,RPA3,2,pp,3,1.7320508075688772
BCL6,HDAC1,3,pp,11,3.3166247903554
CHD5,MBD2,3,pp,6,2.449489742783178
SMARCA4,SMARCD1,6,pp,36,6.0
SIRT7,SMARCC1,3,pp,20,4.47213595499958
BCL6,ERCC5,3,pp,11,3.3166247903554
EPC2,ING3,3,pp,2,1.4142135623730951
HLTF,UBE2A,2,pp,3,1.7320508075688772
SMARCD1,SMARCD2,2,pp,16,4.0
CHD5,HDAC2,3,pp,6,2.449489742783178
HDAC1,HDAC2,2,pp,47,6.855654600401044
BCL6,NCOR1,3,pp,11,3.3166247903554
EP400,HDAC1,2,pp,11,3.3166247903554
SMARCC1,SMARCE1,6,pp,24,4.898979485566356
NCOR1,SMARCD1,2,pp,14,3.7416573867739413
HDAC1,SMARCE1,2,pp,47,6.855654600401044
EP400,EPC2,2,pp,11,3.3166247903554
SMARCA4,SMARCE1,6,pp,36,6.0
ASH2L,CHD7,2,pp,9,3.0
HDAC1,SMARCC1,2,pp,47,6.855654600401044
HDAC1,ZMYND8,2,pp,47,6.855654600401044
NCOR1,SMARCA4,2,pp,14,3.7416573867739413
SMARCA4,SMARCD2,6,pp,36,6.0
CHD7,SIRT7,3,pp,9,3.0
NCOR1,NCOR2,2,pp,14,3.7416573867739413
HDAC2,SMARCA4,2,pp,39,6.244997998398398
HDAC1,RING1,2,pp,47,6.855654600401044
CHD7,SMARCE1,3,pp,9,3.0
HDAC10,HDAC2,6,pp,3,1.7320508075688772
HDAC1,NCOR2,2,pp,47,6.855654600401044
MBD2,ZMYND8,4,pp,11,3.3166247903554
BCL6,ZMYND8,3,pp,11,3.3166247903554
CHD7,SMARCC1,3,pp,9,3.0
SMARCC1,SMARCD2,6,pp,24,4.898979485566356
BCL6,TBX21,3,pp,11,3.3166247903554
EP400,HDAC2,2,pp,11,3.3166247903554
HDAC10,NCOR2,6,pp,3,1.7320508075688772
CHD5,HDAC1,3,pp,6,2.449489742783178
HDAC1,MBD2,2,pp,47,6.855654600401044
EP400,ING3,2,pp,11,3.3166247903554
BCL6,SMARCA4,3,pp,11,3.3166247903554
HDAC1,SMARCA4,2,pp,47,6.855654600401044
HDAC2,PHC2,2,pp,39,6.244997998398398
SMARCA1,SMARCA4,6,pp,7,2.6457513110645907
PCGF2,RING1,6,pp,8,2.8284271247461903
SIRT7,SMARCA4,3,pp,20,4.47213595499958
SMARCA1,SMARCC1,6,pp,7,2.6457513110645907
HDAC1,MECOM,2,pp,47,6.855654600401044
HDAC1,SMARCD1,2,pp,47,6.855654600401044
NCOR1,SMARCE1,2,pp,14,3.7416573867739413
