,,Experiment: 10 U p1,Analysis: Analysis 3,User: Admin,Plate: 21,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:36:43 AM,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of GFP+,Count of Amet+,Count of Amet+GFP+,Count of singlets,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Untransduced,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Untransduced,GFP+CD62L+ as % of GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+CD62L+ as % of Amet+,CD62L+ as % of Untransduced,GFP+CXCR3+ as % of GFP+,Amet+ as % of Amet+CXCR3+,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+CXCR3+ as % of Amet+,GFP+CD103+ as % of GFP+,GeoMean APC-A - CD103 of GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+
B02,Satb1.3,B02,Sample,1035,2323,2861,9928,115.7653743,743.5255298,246.8512031,83.20855649,462.6825201,847.0961261,1162.252443,841.7011002,39.03381643,40.75498078,44.08092983,49.11161731,51.49758454,106.4619615,61.58685774,93.93026259,42.51207729,183.6404267,223.715975,433.3440644,132.6224176,297.5256357,1210.340003,501.4025633,855.2658832,4588.319418
B06,Setd7.2,B06,Sample,5267,1502,2525,17047,230.5368278,565.1533671,147.3711265,80.17974088,779.8858856,920.1941653,1377.505858,1258.589973,46.59198785,52.11881188,52.99600533,55.37512179,53.61685969,103.4435262,64.59405941,96.67110519,40.55439529,157.8920822,297.1762681,557.3432313,138.9536305,241.1860043,1075.211127,690.0216242,1176.473757,6224.276131
B09,Smarcd2.3,B09,Sample,1979,3552,3777,15691,285.7227615,670.0566198,348.7147499,97.46862228,629.5601682,754.3814903,370.6385803,1147.446067,43.00151592,47.92163092,37.47184685,48.52865256,51.23799899,109.124424,60.60365369,91.63851351,28.95401718,89.73343215,145.6885419,167.0258305,113.7753989,318.1108598,876.2873353,551.7733988,893.3687194,3959.206741
B10,Setd3.1,B10,Sample,835,3054,4031,11966,288.1496411,620.4501157,128.1065516,67.71794511,637.5152138,926.3294186,1691.279239,1185.791945,35.32934132,41.99950385,46.66011788,47.70143351,47.30538922,103.560529,54.00645001,96.56188605,33.53293413,111.8323282,111.6134375,493.1039193,128.2019495,177.4924385,1018.724405,559.6798443,668.170246,5328.568378
C03,Smarca2.3,C03,Sample,1157,2866,3110,11369,168.7043247,522.6985024,197.1288105,77.97705179,471.5257717,632.8211553,1057.133191,925.1800258,37.94295592,41.06109325,40.68387997,45.55339806,45.98098531,104.8664471,56.20578778,95.3593859,35.35004322,119.6812266,168.3301678,440.3427006,89.98403857,185.657774,902.3630199,369.1125463,698.5951068,4803.227778
C04,Scmh1.1,C04,Sample,2141,2167,3198,12506,179.9321709,435.6241934,168.9673063,84.92446266,587.8796749,827.3624461,1416.37014,942.0953694,44.7921532,43.83989994,43.60867559,49.36502768,51.61139654,103.9827255,59.7873671,96.16982003,39.46753853,142.3675894,202.9566,627.0467681,134.2446565,210.5366962,959.2929002,526.0985514,843.6187119,5722.205701
C08,Sirt2,C08,Sample,7055,5,12,15662,186.3228344,757.3153047,640.8264198,68.57900389,784.1438723,1215.084125,1108.210238,1251.814978,46.05244507,33.33333333,20,50.98372258,58.18568391,100,58.33333333,100,46.15166549,205.5633541,227.4477521,426.8110129,167.5851312,306.1127488,1087.689358,737.1354699,659.7985635,3351.957
C11,Ube2a.1,C11,Sample,884,3687,5150,13654,172.0627655,614.0416007,189.9522429,80.33483989,521.1044578,653.5394313,1263.264276,995.9009464,36.53846154,35.18446602,43.07024681,47.65228426,46.26696833,103.5092645,49.53398058,96.60970979,34.2760181,104.1465462,116.0890478,430.028886,91.87936321,129.1959791,936.0024913,384.3087541,510.2655486,5749.506471
D02,Setd3.2,D02,Sample,1082,2024,2510,9570,144.7416928,412.6967795,163.8579267,96.11051941,565.4700051,798.6145663,1085.550932,896.1348242,41.49722736,47.92828685,50.98814229,44.95073892,46.6728281,105.5265902,60.51792829,94.76284585,35.58225508,130.9690245,232.3225442,680.0176234,126.9812082,260.4410279,1195.532497,436.7013387,867.2635383,4558.869449
D05,Smarcc1.2,D05,Sample,1785,3097,4545,14604,174.8828372,608.8741162,337.6932141,121.1635703,531.670307,1058.487868,1526.046271,1081.898052,44.31372549,44.04840484,40.16790442,51.2109375,45.71428571,104.2760943,60.74807481,95.89925735,34.73389356,106.5233405,311.1279951,822.1960173,99.78066971,270.2857156,1122.779752,372.5914204,834.7123948,5515.711971
D06,Smarcb1.1,D06,Sample,8079,16,27,17689,222.2142137,1721.80207,732.1968074,114.8892913,774.0966754,1244.28857,712.057648,1230.979938,52.03614309,51.85185185,50,53.83417672,56.65305112,133.3333333,55.55555556,75,47.12216859,219.4947459,175.2450124,422.714959,173.6679722,233.5316605,581.0009426,647.7852823,484.1284726,1762.229191
D09,Smyd1.1,D09,Sample,1759,3467,6207,17333,179.6447502,636.4321352,162.230852,64.66558532,589.0273627,981.7986735,1581.837494,1099.073685,42.52416146,44.09537619,52.89875973,55.7501904,46.50369528,102.4830033,56.27517319,97.57715604,35.2472996,117.8093866,247.5075042,1119.485888,100.7949172,187.250533,1154.393792,398.9705193,628.4273951,6285.615673
D10,Scmh1.2,D10,Sample,1129,2188,3274,10007,158.4952145,604.9701841,176.4794965,68.84308118,658.5637236,954.9678351,1454.960119,1063.2958,43.66696191,50.2748931,53.24497258,56.18609407,56.68733392,105.1417588,54.58155162,95.10968921,42.95837024,184.5695979,215.6641738,1082.955833,149.1832246,202.9551497,1118.939667,724.8067147,603.5811286,4665.100632
E02,Ube2a.2,E02,Sample,7363,12,30,14881,179.7092182,477.113234,99.34213459,79.75053027,651.981152,925.1892277,1108.058152,1029.263701,44.8594323,46.66666667,66.66666667,47.70825755,49.61292951,120,43.33333333,83.33333333,41.65421703,167.844901,182.6106921,685.7380335,129.5336551,162.4076505,712.857102,438.5261565,278.2721847,3707.084382
E04,Scmh1.3,E04,Sample,1749,2262,4989,13730,110.0752376,481.4372165,214.0723497,62.70356966,574.4457908,935.2457188,1529.976116,983.8864101,45.39736993,45.46001203,47.70114943,54.30656934,48.42767296,104.5286506,57.62677891,95.66755084,37.56432247,133.6984446,235.4777619,711.0315506,121.2606853,220.5626847,1118.246422,392.7574265,630.7072805,5349.779271
E07,Smarcc1.3,E07,Sample,11212,16,63,19565,168.6282183,704.6678979,182.7189322,61.14867943,709.9214701,1047.164118,1225.399559,1080.255757,49.22404567,49.20634921,68.75,51.37215529,50.9900107,106.6666667,52.38095238,93.75,42.32964681,156.7951241,210.9648181,547.3549658,138.0090798,377.3773447,865.3240703,460.0392762,510.6603595,3124.907245
E08,Setd3.3,E08,Sample,3223,3141,5754,18491,202.2117829,586.3071878,155.0943674,90.13977407,618.8806143,828.272869,1391.707142,1226.505331,41.8864412,49.84358707,50.74816937,50.13061651,44.36860068,102.7141923,55.8915537,97.35752945,35.40179957,115.7998039,180.8662658,718.1686878,95.12480807,188.9591945,1185.844342,429.9181543,742.0754293,6463.444564
E11,Smyd1.2,E11,Sample,837,3257,5096,12994,79.66311079,449.4810247,116.4354194,43.64337128,513.3155954,929.1326181,1377.918743,833.9215566,40.02389486,33.00627943,38.28676696,49.24707195,45.51971326,103.5941476,57.26059655,96.53054959,34.05017921,111.9229815,106.3646529,607.7524514,120.2718147,165.3080973,1097.605223,452.1958522,881.7841096,6348.375969
F02,Smarca2.1,F02,Sample,1562,1640,4642,11692,108.6904568,454.6630253,164.8431179,83.62722579,567.2830157,728.6355552,1286.207168,910.0819933,41.61331626,41.87850065,48.65853659,50.08880995,44.55825864,105.2631579,48.27660491,95,41.99743918,182.7883395,134.2362964,463.6315849,98.5908076,148.9621416,1070.593024,287.4200088,427.7462543,5554.990664
F05,Smarcd2.1,F05,Sample,8858,36,141,15741,89.26099222,359.6420143,182.6722844,64.16537787,616.6900419,1179.568688,781.4859319,883.3064779,51.97561526,65.95744681,58.33333333,57.89018591,50.80153534,105.8823529,68.08510638,94.44444444,45.75524949,195.6092718,418.9394331,421.721729,136.1253616,444.9884507,1257.33879,436.5698654,1021.631257,3793.95307
F06,Smarcb1.2,F06,Sample,308,1228,2456,5768,72.66112571,289.9274371,111.6249826,55.26257389,571.4863511,645.0987032,1196.39114,739.9617226,47.07792208,41.28664495,48.85993485,48.88475836,52.27272727,105.1369863,49.71498371,95.11400651,45.12987013,217.0484685,147.1575386,669.2548069,106.4728051,160.3704287,1134.52409,458.7312381,469.29722,5179.555873
