Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+
B02,Tdg.1,728.4312751,876.5612428,42.59168704,57.799511,111.4932158,150.2114212,865.0951875
B03,Ube2b.1,478.4568703,854.847623,42.00813262,58.71129184,181.4755517,192.4765577,925.322098
B04,Ube2e1.1,750.8002373,1702.689809,40.11428571,64.45714286,160.6171727,216.636444,1224.003012
B05,Trim66.1,292.2605134,698.9023751,40.36772777,66.08122942,220.8031045,200.6966367,1286.181513
B06,Tet2.1,480.7625734,944.9362803,35.63275434,60.14888337,164.7745022,191.232942,909.4260501
B07,Usp51.1,393.9228616,1244.6619,39.27765237,64.69525959,220.0452143,218.6633472,1306.24946
B08,Uhrf1.1,586.0744454,1040.189604,25.17911975,60.84953941,206.941668,168.8487498,968.4288315
B09,Trim28.1,915.9667754,1451.662968,34.57264957,57.09401709,129.8610636,194.8216823,736.603885
B10,Tet1.1,785.5912052,884.0388999,35.4894351,59.85338508,124.9253838,157.3649637,1053.032844
B11,Usp22.1,846.670228,688.3606193,39.17651855,57.07297187,167.2553692,136.9856211,771.9209702
C02,Uhrf1.2,834.2442181,986.0572191,28.49423631,63.11239193,281.8021593,202.5255529,1069.59981
C03,Tet3.1,460.3212726,1126.747695,44.16523236,66.64371773,245.5453074,299.0720772,1341.187992
C04,Tdg.2,369.1313872,884.3215736,46.16013072,58.37418301,174.6970283,172.9014498,748.2579181
C05,Usp22.2,531.3155928,1087.252637,42.28737454,56.62968833,184.1116683,199.5807626,726.5047606
C06,Ube2i.1,155.5795705,870.0286921,24.5482866,49.84423676,212.8605495,102.3991275,481.3789615
C07,Ube2e1.2,330.2701279,1732.156704,53.33333333,86.66666667,942.0019955,612.7074623,4226.548653
C08,Tet2.2,256.5160186,883.0645531,35.87267525,59.44206009,163.5447879,187.5764957,807.0414496
C09,Usp27x.1,633.4634902,858.0831868,45.45454545,45.45454545,86.57908906,258.2768044,261.9448827
C10,Ube2b.2,421.6989462,639.5677203,29.94252874,56.14942529,167.7477315,155.7432455,745.4658228
C11,Trim33.1,1140.752957,1031.11019,35.54673403,49.83760375,115.4659596,166.1757258,484.3904401
D02,Tet1.2,446.0873053,987.9621023,43.01470588,63.49789916,212.4128146,244.1367346,1042.674089
D03,Usp27x.2,580.8716367,1104.649849,45.50314465,64.74842767,225.1926579,291.8947953,1189.861045
D04,Ube2b.3,728.8752507,1237.653706,46.41555286,63.10247064,215.2136003,299.8490972,998.0542813
D05,Trim24.1,797.161116,1079.739662,72.72727273,61.36363636,174.2208881,400.7324863,937.2834053
D06,Tet3.2,707.349702,1092.724083,40.0241838,61.18500605,191.2503627,250.5494401,969.2495488
D07,Usp27x.3,747.1868635,1205.842402,48.23670054,56.8141064,126.5266186,192.2881015,799.5301694
D08,Ube2i.2,788.6948176,915.0348055,36.90369037,58.50585059,127.0257086,205.2135073,894.4556302
D09,Trim28.2,401.8353986,1061.340686,39.94432846,67.22338205,375.4870337,329.1909737,1189.030736
D10,Tdg.3,788.3040313,908.5061337,40.07365249,58.88851691,169.4505752,219.0096863,877.788093
D11,Usp51.2,765.9821005,788.3730178,38.79928315,57.01911589,210.9523001,185.0813497,822.724345
E02,Trim33.2,847.3069009,1083.119835,42.16152019,57.60095012,207.9680815,213.0912058,813.9960234
E03,Trim66.2,305.0910677,888.5718086,57.89473684,52.63157895,212.4490169,124.2410392,343.3184246
E04,Tdg.4,945.9109224,1128.887899,40.45480067,52.75126334,126.88431,187.0857556,585.6707786
E05,Uhrf1.3,811.5877465,908.4340464,40.85981308,57.75700935,130.2759921,202.5745177,802.5284882
E06,Ube2e1.3,662.1153624,1639.517043,39.16876574,55.69899244,132.2866008,207.3093102,692.266635
E07,Trim24.2,802.7685621,863.7290924,38.87928906,53.27079733,137.121147,180.306957,571.4503123
E08,Tet1.3,875.4738206,1003.200637,44.60708783,57.24191063,145.7018237,190.4235743,705.1379422
E09,Usp22.3,602.6772347,1249.926053,30.55786844,58.7427144,145.9068048,188.7964491,846.1352868
E10,Ube2i.3,435.0510517,1725.74396,46.2962963,75.92592593,413.6174481,422.3903736,1751.505627
E11,Trim28.3,1003.706347,1007.408601,30.99078341,57.48847926,113.867008,169.5771413,811.1486253
F02,Tet2.3,757.4983518,1189.981557,41.36577708,55.29827316,82.84521235,148.7957879,733.8175538
F03,Usp51.3,441.9685127,1102.940849,49.94087505,57.78478518,217.2681725,282.0497875,847.4589602
F04,Ube2e1.4,718.9853535,1820.144215,42.71047228,64.75017112,180.6763104,274.3701056,1217.399348
F05,Trim24.3,820.9914547,895.4860891,40.78947368,54.94417863,123.3608764,154.4907219,668.6022232
