Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+,Amet+CD62L+ as % of Amet+,Amet+ as % of Amet+CXCR3+,Amet+CXCR3+ as % of Amet+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+,Amet+CD103+ as % of Amet+
C07,,210.6856511,1575.399331,38.42609004,103.7895511,96.34881248,362.3111933,745.3116822,5469.488115,53.56256647
C08,,192.2120835,1406.565862,45.62551104,102.6437264,97.42436631,439.4416349,740.8690198,5611.200858,55.88716271
C09,,216.3428772,1291.506457,39.40936864,104.0254237,96.13034623,334.2906297,899.5473818,5119.56064,51.52749491
C10,,152.401873,1430.421875,36.12474733,102.6378186,97.42997401,534.4469562,905.2912011,6959.977549,59.83251516
C11,,237.2815401,1500.311867,28.52960312,102.8093645,97.26740403,1152.215652,1120.087974,6973.390704,75.86206897
D02,,223.5048543,1371.566557,23.72881356,108.9709763,91.76755448,171.6023735,454.5603989,3992.062355,37.93381759
D03,,167.8394508,1082.155918,25.11784512,105.8446187,94.47811448,261.0058676,761.4815763,4875.312726,46.5993266
D04,,308.1522737,1483.004758,28.90510949,103.6308623,96.49635036,529.1155544,663.8304447,5931.037709,59.05109489
D05,,139.4677561,1444.62876,32.84615385,105.0080775,95.23076923,296.6570894,654.4175371,6127.074516,48.15384615
D06,,266.7748705,2182.799406,31.444333,104.1797283,95.98796389,427.4691354,830.1410618,6805.210426,53.96188566
D07,,199.7425809,1432.738965,37.53375338,106.5707434,93.83438344,247.1652035,745.4971973,4600.413061,44.55445545
D08,,165.6658662,932.5533426,40.06410256,102.8571429,97.22222222,463.7010303,919.287026,5535.784576,58.27991453
D09,,299.0681809,1798.078025,19.23076923,102.5352113,97.52747253,846.7493169,791.3784155,6283.220372,69.04761905
D10,,578.1062384,1823.642476,24.06417112,109.3567251,91.44385027,305.4840324,353.9609473,4615.236684,47.59358289
D11,,145.7466397,1425.494527,32.47524752,103.8382454,96.30363036,287.8643305,771.4762027,6690.847533,48.05280528
E02,,194.2094412,1022.622663,36.59556671,107.1716719,93.30823923,400.4075688,759.0407625,4857.443449,54.45420326
E03,,120.8999128,1469.556554,46.31927213,104.0447504,96.11248966,775.881884,814.6160535,5576.543603,68.40363937
E04,,426.9565659,1614.97007,41.04234528,103.8331454,96.30836048,683.0311357,604.2448888,6341.935067,63.08360478
E05,,121.9168855,1263.751818,36.08891109,105.8139535,94.50549451,384.7791726,494.1141888,5583.404513,54.24575425
E06,,96.62616637,1193.374216,33.49864743,102.9234339,97.15960325,530.5607918,766.0229467,7102.489532,61.45175834
E07,,91.28053963,1046.280517,42.55431902,105.360134,94.91255962,289.6706005,830.8450093,4548.696856,47.58876524
E08,,149.7199553,1704.943387,39.58641064,103.7150517,96.41802068,492.8078695,863.7092471,6158.028743,59.71196455
E09,,76.21162327,1603.610526,43.82284382,102.1428571,97.9020979,975.9508645,1149.608097,7867.365429,73.42657343
E10,,152.4341008,1488.125925,30.99873578,105.102312,95.14538559,284.108238,655.959553,4719.706585,44.80404551
E11,,147.7987143,1447.526517,45,104.0609137,96.09756098,481.6524923,718.1858802,6234.633089,55
F02,,340.9506514,1458.460726,39.99260081,104.6052632,95.59748428,476.7066271,700.8737755,5941.925341,57.12171661
F03,,139.1313992,1293.893559,46.37822071,103.4188034,96.69421488,481.672491,892.3797101,6162.162134,57.3650948
F04,,114.3308323,1203.392176,40.99773243,104.2553191,95.91836735,483.3505394,974.8614781,5519.947601,59.77324263
F05,,197.574192,1143.263278,46.7525196,104.0186372,96.13661814,422.3592132,1153.879115,5269.569578,57.22284434
F06,,119.9215017,1444.187885,40.57266343,107.3665893,93.13884387,428.6294441,732.3487195,4665.751927,55.42949757
F07,,92.30422109,1167.336596,43.06220096,104.2682927,95.90643275,531.3102919,760.4606193,5425.57521,60.92503987
F08,,646.8360649,1888.38411,35.61643836,109.2814371,91.50684932,283.175591,267.0841651,4790.618505,47.67123288
F09,,95.39399495,1049.433806,39.62210942,106.2312762,94.13423576,532.5183992,759.3946995,5887.1961,60.18048505
F10,,184.0297715,1927.649294,41.11082274,102.9938519,97.09317415,277.4252001,689.151879,7259.784688,44.84817026
F11,,64.43813828,824.2637801,63.63636364,122.2222222,81.81818182,1312.878924,1565.657481,2565.725193,72.72727273
G02,,221.0448147,1369.24286,41.75313059,103.749072,96.38640429,285.3737607,728.5088282,5740.879828,46.2254025
G03,,88.16154557,1066.185571,38.90977444,107.0422535,93.42105263,431.2267138,759.7431194,5432.931217,55.67042607
G04,,260.0452235,1334.53052,43.16840672,105.6088207,94.68906037,478.79916,796.2208502,4945.157202,58.19337267
G05,,160.6663415,1063.374979,48.95503483,106.2584118,94.11019633,388.3342207,804.8542902,4688.923491,53.89487017
G06,,176.936079,1000.116981,39.05579399,109.5182139,91.30901288,287.660682,963.2865716,3774.050465,49.35622318
G07,,79.30858268,1010.15371,49.23076923,104.6804227,95.52884615,362.4330909,1051.521433,4848.153777,53.84615385
G08,,283.6196889,1034.268056,40,107.1428571,93.33333333,393.0190246,743.673006,4365.407931,60
G09,,189.7686648,1238.096991,38.37548638,104.8979592,95.3307393,251.6037532,544.83809,5302.576488,43.04474708
G10,,504.3611624,1592.73464,34.84954514,112.9644269,88.52344297,241.6718242,318.4998879,3778.320346,40.09797061
G11,,273.9325331,1677.962876,36.10436893,111.7288136,89.50242718,315.5747493,429.4809168,3956.25745,47.20873786
