Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+,Amet+CD62L+ as % of Amet+,Amet+ as % of Amet+CXCR3+,Amet+CXCR3+ as % of Amet+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+
B02,Bptf.1,104.1063818,2510.371313,48.64864865,105.7142857,94.59459459,621.8770985,1219.252511,7838.921465
B03,Bptf.2,86.86841986,1798.051521,44.84944532,102.7687296,97.30586371,662.21714,1218.563554,7838.802207
B04,Bptf.3,77.0220415,1804.705723,38.2602546,103.4381858,96.67609618,407.584745,1212.231602,8723.81211
B05,Bptf.4,59.27882287,1792.010864,34.38864629,102.7481772,97.32532751,685.293325,1338.618063,7943.036709
B06,Whsc1.1,78.09824795,1769.819468,27.72277228,101.7266187,98.30268741,879.3535311,1146.337323,8720.020152
B07,Whsc1.2,75.44689974,1489.826262,30.87633088,102.4328859,97.62489762,790.7623143,1064.564864,6558.316844
B08,Whsc1.3,115.4458785,1451.452832,35.43123543,103.0630631,97.02797203,893.071712,1101.509802,7446.14944
B09,Whsc1.4,166.5633689,1313.818718,36.96808511,104.4444444,95.74468085,539.6845,1085.588195,6734.932843
B10,shCd4.1,138.8828409,1577.007583,44.30027804,102.7619048,97.31232623,608.0660323,1128.119959,7040.245998
B11,shCd4.1,221.5551561,1662.768576,38.0952381,105,95.23809524,306.7524269,625.1573473,5401.531682
C02,mll2.1,423.9164978,1613.165916,20.19274897,158.588064,63.05644791,680.2150279,737.4871973,858.0031613
C03,mll2.2,550.3833312,1492.252113,31.35650988,214.3170197,46.65985003,742.6717323,931.54463,361.3169136
C04,mll2.3,141.2388302,1638.273379,31.085353,107.4136955,93.09799789,905.0704692,1171.624343,5934.289912
C05,mll2.4,349.5148923,1864.090621,29.26725964,125.92,79.41550191,145.0170324,362.4878544,2230.593991
C06,Brd8.1,241.2052008,2256.770576,26.63755459,103.3860045,96.72489083,716.995388,791.0810755,9102.976279
C07,Brd8.2,145.0066774,1515.42161,32.92383292,108.0530973,92.54709255,375.3772058,719.6952404,4401.92216
C08,Brd8.3,57.39046215,1560.82923,26.30494505,102.970297,97.11538462,622.833339,892.6289116,7544.375055
C09,Brd8.4,44.25176903,1401.062449,23.63840539,103.6670547,96.46266143,303.5950696,651.4178507,7045.993262
C10,shCd4.2,107.6566827,1516.508127,32.76836158,102.5096525,97.55178908,876.9507547,1068.88447,7198.15374
C11,shCd4.2,79.32023798,1469.332266,36.82008368,101.2711864,98.74476987,602.8890607,1071.501072,6293.879625
D02,Ncor1.1,631.5939644,1552.873401,37.8164557,111.2676056,89.87341772,160.1374291,483.011691,4262.44196
D03,Ncor1.2,477.5636895,1773.458012,66.66666667,120,83.33333333,419.8193204,325.4650479,3158.325429
D04,Ncor1.3,526.6423695,1526.560869,38.24390244,110.0966702,90.82926829,248.2048053,1099.406905,3699.798894
D05,Ncor1.4,369.8356359,1464.294356,37.22627737,104.1033435,96.05839416,216.3594057,635.371319,6203.666395
D06,Cxxcl.1,87.0269146,1362.537338,36.30532393,104.0720961,96.08723541,1044.987169,1030.356942,5307.957083
D07,Cxxcl.2,53.78918397,1367.008684,39.70588235,103.6585366,96.47058824,1158.843091,878.4174962,5176.834109
D08,Cxxcl.3,110.1702619,1252.019967,35.78431373,105.9347181,94.3977591,945.5317239,868.2486221,4205.188896
D09,Cxxcl.4,283.4771804,1153.773253,27.42568704,108.0606061,92.54066181,966.6264766,449.7775437,3349.562845
D10,shCd4.3,121.7917663,1612.70885,39.7752809,105.1181102,95.13108614,623.427757,1061.770265,5894.712265
D11,shCd4.3,148.9785089,1459.849332,39.21568627,105.6994819,94.60784314,368.1261488,779.2929537,5106.444747
E02,Smarca4.1,248.8535307,1178.119847,14.69668543,102.1072797,97.93621013,193.6529777,592.6227601,8544.905908
E03,Smarca4.2,160.48019,713.4453347,15.87608906,103.1968032,96.90222652,226.1043426,568.5770475,6473.295432
E04,Smarca4.3,164.9476176,1104.287653,23.37387626,102.9956427,97.09148599,292.0836625,823.0102182,6935.282395
E05,Smarca4.4,134.8151508,1240.896535,30.70707071,102.9819695,97.1043771,567.3689545,1021.404926,6577.79365
E06,Klf2.1,142.248653,1660.451468,29.28743961,104.1509434,96.01449275,588.4254232,932.1140176,7039.730029
E07,Klf2.2,105.1545035,2020.873772,35.97185576,102.4324324,97.62532982,798.738159,1200.051048,8449.793005
E08,Klf2.3,107.8350113,1705.458664,32.91015625,103.2258065,96.875,560.6616013,933.1331199,6700.463871
E09,Klf2.4,121.2179338,1651.996697,30.79365079,103.6184211,96.50793651,661.0974182,730.1148043,8573.600482
E10,shCd4.4,319.3862887,1525.646954,39.90284525,104.4202899,95.76682859,570.4094354,910.5759882,5266.587866
E11,shCd4.4,305.7520537,1353.528137,38.55421687,109.2105263,91.56626506,409.7789344,703.0647194,4220.569551
F02,Runx3.1,118.9034611,1078.967619,62.94363257,102.5695931,97.49478079,266.5139302,1193.881822,7194.55939
F03,Runx3.2,175.2067235,1397.425429,57.06161137,102.4271845,97.63033175,217.7408814,1613.200805,6537.270704
F04,Runx3.3,283.9587423,1612.359535,55.5907173,102.1551724,97.89029536,142.8924465,1361.473955,7561.41363
F05,empty,339.5543271,1816.934905,44.44444444,103.8461538,96.2962963,204.1096751,565.5130076,3359.617288
F06,Sp140.1,102.4638623,1549.307241,43.64326376,104.8756219,95.35104364,585.3720431,1270.149116,5665.9807
F07,Sp140.2,135.1283481,1387.307104,53.97760754,106.7295597,93.69475545,756.3924396,857.5097708,4253.059695
F08,Sp140.3,149.6947114,1276.110199,47.74907749,108.6607859,92.0295203,469.2459393,821.2068182,4293.334091
F09,Sp140.4,42.57329539,1671.342679,46.38949672,103.8636364,96.28008753,884.9384822,1260.340449,7126.077424
F10,empty,67.99988175,1686.963534,66.66666667,218.1818182,45.83333333,635.5514791,209.4966907,579.4617693
F11,empty,107.2138959,1328.048138,86.66666667,300,33.33333333,690.2852982,154.6346241,369.3421017
G02,Smarce1.1,218.201833,1039.091586,62.5,177.7777778,56.25,504.3595276,319.5805845,1172.452595
G03,Smarce1.2,704.6535391,1067.525266,31.40862944,113.5446686,88.07106599,302.3730524,867.0702196,3343.829039
G04,Smarce1.3,990.7809178,897.3461831,30.26992288,114.6647015,87.21079692,231.0895131,929.1265901,3362.908999
G05,Smarce1.4,119.1288561,993.4435785,38.46928499,105.4140127,94.86404834,412.3548106,1008.178928,5988.491611
G06,Wdr82.1,299.3292697,1452.17096,15.12557078,117.7419355,84.93150685,527.8489013,419.7097104,2372.370796
G07,Wdr82.2,355.38002,1382.125514,12.2160525,117.4970344,85.10853104,494.9582998,394.0646463,2363.652727
