Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+,Amet+CD62L+ as % of Amet+,Amet+ as % of Amet+CXCR3+,Amet+CXCR3+ as % of Amet+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+
B02,Tdg.1,255.4343551,1298.339107,36.8480406,102.4256425,97.63180152,334.2632908,776.8807807,7174.228384
B03,Ube2b.1,141.3921769,1070.012712,44.35135821,105.7165862,94.59253618,505.299632,951.9826467,5295.573896
B04,Ube2e1.1,189.1667283,1893.581778,43.41563786,109.2134831,91.56378601,500.835588,926.4753128,5356.497477
B05,Trim66.1,96.00108659,1030.126672,40.1793339,102.5394046,97.5234842,548.9769863,949.0325913,6778.778536
B06,Tet2.1,148.7212557,1473.113038,34.49477352,103.444133,96.67053813,570.2529704,982.3741197,6221.744002
B07,Usp51.1,92.38974652,1628.927742,34.79285955,101.9224168,98.11384304,681.0133919,1198.229609,7812.456348
B08,Uhrf1.1,112.7749377,1589.134942,21.51898734,104.3810848,95.80279813,492.6577137,617.9356911,6243.143889
B09,Trim28.1,229.4594942,1718.818764,37.1120108,105.3554502,94.91677913,357.5841362,774.4103506,5655.363695
B10,Tet1.1,221.1381432,1447.239765,26.84461806,102.9260666,97.15711806,201.0533012,543.9856035,6244.014524
B11,Usp22.1,232.461689,1309.460768,38.30022075,103.5823171,96.54157469,327.7575962,685.4701839,6170.985665
C02,Uhrf1.2,326.6151574,1655.021817,27.11496746,102.9400819,97.14389009,1008.824358,893.3680046,7114.895433
C03,Tet3.1,148.0118381,1539.178458,43.78135727,102.2408207,97.80829152,749.2909662,1440.69654,6530.796917
C04,Tdg.2,103.0322164,1196.028623,45.49253731,102.8869779,97.19402985,684.7677883,1132.714788,5964.363107
C05,Usp22.2,106.6494123,1439.222986,43.46028934,103.4830431,96.63418955,589.7805684,1118.065403,5564.644416
C06,Ube2i.1,94.79698499,1602.556839,26.24456259,107.0910973,93.37844369,848.2131753,551.1907307,4407.371947
C07,Ube2e1.2,95.50977466,1546.47593,33.33333333,114.2857143,87.5,398.6586681,662.4513492,3080.171501
C08,Tet2.2,110.3031085,1258.071958,38.14685315,103.8112523,96.32867133,398.0015816,953.433207,5083.128392
C09,Usp27x.1,42.39365474,1152.083625,44.44444444,100,100,410.4369558,1171.048516,7320.406222
C10,Ube2b.2,132.4699566,1058.035743,30.52070263,102.9383274,97.1455458,380.7749516,855.6761018,6495.464277
C11,Trim33.1,371.2699706,1595.095786,35.86930599,106.6378433,93.77533985,245.7663938,818.4542183,4403.734317
D02,Tet1.2,171.051327,1323.072585,44.47494852,103.7010676,96.43102265,526.7263432,1271.628679,6123.225673
D03,Usp27x.2,208.2254595,1416.260962,45.34401768,103.815261,96.32495164,600.6106235,1186.280157,5611.476854
D04,Ube2b.3,181.3862996,1715.093402,48.7245841,102.7735562,97.3012939,921.2452285,1567.86373,6473.907493
D05,Trim24.1,669.5643584,1367.985991,52.63157895,108.5714286,92.10526316,322.4301191,771.0350212,3475.792018
D06,Tet3.2,161.0391933,1573.051561,40.3584392,103.1593728,96.93738657,626.630244,1194.874708,6392.195086
D07,Usp27x.3,181.9366496,1446.244366,49.50652658,103.7661051,96.37058262,503.735193,1141.744404,6138.915996
D08,Ube2i.2,215.1075448,1478.352818,32.125,106.3122924,94.0625,312.8337185,734.8745344,5155.73383
D09,Trim28.2,146.5990128,1401.251441,37.3265157,103.5552194,96.56683711,749.767245,1302.541209,5884.684064
D10,Tdg.3,186.9392888,1456.340882,41.81636727,102.244898,97.80439122,436.0674281,1097.920192,6378.081162
D11,Usp51.2,211.4191932,1444.914976,42.40819209,102.1276596,97.91666667,467.2357798,1028.684317,7174.8948
E02,Trim33.2,230.9550277,1465.99543,40.95319635,104.2857143,95.89041096,588.4864561,1094.224619,5655.954656
E03,Trim66.2,792.9123348,1304.167126,41.93548387,110.7142857,90.32258065,733.2954194,761.1131426,3685.458441
E04,Tdg.4,237.9378193,1806.502123,35.27431841,103.9901995,96.16290811,514.987478,990.3867019,6527.7818
E05,Uhrf1.3,225.6944797,1451.841336,33.71710526,104.109589,96.05263158,380.9712998,883.2897558,6741.216774
E06,Ube2e1.3,161.2554391,1812.378276,38.75598086,107.0362948,93.42625338,404.719845,829.6280074,4546.539689
E07,Trim24.2,260.3020498,1385.026092,37.20126692,106.8944291,93.55024475,467.9766174,825.538591,4879.692045
E08,Tet1.3,286.464274,1287.226514,42.04167925,105.1111111,95.13742072,395.0109914,810.2160228,4960.281429
E09,Usp22.3,155.7326134,1809.044657,26.22656049,104.8196015,95.4020036,432.2678965,785.5521514,5893.097644
E10,Ube2i.3,111.1677931,1271.870985,42.66666667,110.2941176,90.66666667,821.5193253,1215.074762,5067.711965
E11,Trim28.3,182.5614863,1370.760016,31.63972286,103.2181168,96.88221709,176.8629381,669.0673641,6342.464734
F02,Tet2.3,272.1774955,1488.707457,39.58023774,103.7979564,96.3410104,248.1433524,700.602858,5359.131426
F03,Usp51.3,130.1285082,1283.240902,50.11952191,104.8162584,95.40504648,729.7899646,1397.72755,5067.18555
F04,Ube2e1.4,147.6303044,1952.34259,40.13722127,103.2467532,96.85534591,618.0778794,1252.125331,6487.90788
F05,Trim24.3,246.6588676,1618.656453,34.53640324,102.1290118,97.91537026,512.1925692,771.8412563,7566.115594
F06,Tet3.3,219.3915505,1559.658102,47.47942387,105.3658537,94.90740741,556.99361,1111.017813,5405.541531
F07,Uhrf1.4,213.4255719,1753.788121,44.32234432,104.24821,95.92490842,660.7707632,896.4056918,6456.641156
F08,Trim66.3,224.4850152,1532.438884,36.68621701,103.0834341,97.00879765,339.6472311,759.0003237,6388.296151
F09,Trim33.3,135.1444216,1758.768746,37.05822955,103.195554,96.90339953,594.5324652,938.1557079,6643.338314
F10,Tet3.4,185.7060091,1508.055358,29.26065163,103.7374066,96.39724311,389.7653941,880.805131,5940.514121
F11,Usp22.4,270.3314361,1235.5055,31.45021303,104.2441191,95.92867287,154.1014073,427.2899174,5715.232103
G02,Ube2i.4,284.1715595,1281.111889,46.19217082,105.0074738,95.23131673,488.7652509,1067.697879,5576.808248
G03,Trim33.4,163.3564987,1291.805368,47.94366197,102.482679,97.57746479,1193.882941,1566.084488,6332.925628
G04,Tet1.4,185.5893888,1145.501058,46.90585912,105.8167886,94.50296248,479.2222858,1107.490682,4770.331273
G05,Usp51.4,191.8327112,1594.37875,29.09207161,104.6854083,95.52429668,1311.61193,1467.675462,6305.10723
G06,Usp27x.4,94.85264821,1274.695957,45.00466853,103.8797284,96.26517274,654.2034019,1261.129622,5653.378188
G07,Trim24.4,378.3624804,1850.082979,36.91983122,103.7199125,96.41350211,896.3165301,844.1355826,5925.748827
G08,Tet2.4,234.5491779,1385.698243,47.33292459,104.1507024,96.0147149,581.2173573,968.161434,6325.264229
G09,Ube2b.4,290.9203393,1255.705698,47.6584022,103.5171103,96.60238751,362.2335263,818.1258881,5947.706234
G10,Trim28.4,139.7726472,1119.6205,41.6925949,107.0619587,93.40385812,224.1071615,664.3719422,4526.805926
G11,Trim66.4,204.1889735,1266.481583,43.8419504,103.5248042,96.59520807,684.3571123,1064.095795,5201.193994
