Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,Amet+GFP+CD103+ as % of Amet+GFP+
F08,,2263.613028,760.287265,43.06358382,44.79768786,67.68881452,101.9658768,354.1688365,31.50289017
F09,,783.8160507,441.7350093,32.09745763,48.69350282,96.56096472,149.4486511,543.5706034,34.3220339
F10,,1293.553846,1066.511343,45.48094374,51.47005445,94.75105974,148.4534823,740.4539639,31.2522686
F11,,240.0105836,933.5992978,53.33333333,60,377.9767647,338.6686938,809.3523869,53.33333333
G02,,617.117838,815.4543825,39.48009748,57.02680747,140.7671813,164.0338563,792.7755673,38.70836718
G03,,688.7566991,453.7943477,36.94933921,52.75330396,106.4281619,172.7300111,778.5886362,36.83920705
G04,,873.0972246,788.6511817,38.69653768,55.65173116,125.9897934,180.114291,705.6208678,36.91446029
G05,,563.9444989,713.5055612,52.004111,53.08324769,134.6045892,163.1538016,600.8056824,39.92805755
G06,,509.7286506,632.6377929,37.34104046,51.67630058,143.7500457,193.3704451,481.4990416,39.88439306
G07,,310.8929623,849.9798919,46.989721,59.61820852,175.6698952,256.9822864,831.3936199,42.65785609
G08,,1294.470547,1642.490756,76.92307692,69.23076923,449.8697136,639.1298499,1891.801325,65.38461538
G09,,803.9533888,799.4738462,34.05231758,44.60761817,67.26868205,126.2068478,424.0719543,26.20468105
G10,,2704.590534,931.5127467,36.72945205,35.53082192,59.50224113,119.8604451,314.2874567,24.65753425
G11,,1135.473858,1004.890696,39.50046253,46.53098982,133.5820279,154.74561,483.527198,36.81776133
