Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+,Amet+CD62L+ as % of Amet+,Amet+ as % of Amet+CXCR3+,Amet+CXCR3+ as % of Amet+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+
B02,Wbp7.1,163.3183835,1127.854096,37.40549144,103.1609195,96.93593315,675.0841875,996.0434261,5860.52852
B03,Arid1b.1,112.4680058,882.2770497,39.43422914,109.0040086,91.7397454,597.4741717,1352.704999,4233.437468
B04,Brd7.2,148.9359068,1294.735572,38.97207608,103.60587,96.51962768,767.2241415,1314.607082,6520.330984
B05,Actb,254.794867,1498.710009,27.24181895,102.7510917,97.32256694,1075.483115,972.4401759,6064.290223
B06,Wdr82.1,296.583877,1340.305685,8.556866953,119.9485199,83.36909871,680.9478203,427.4793401,2146.724551
B07,Eaf1.1,100.4520433,1276.276623,38.23296355,102.6851098,97.38510301,776.259277,1119.62295,7096.560774
B08,Cecr2.1,184.189207,1478.483004,40.8751334,103.8227147,96.31803629,867.8357665,1393.596458,6471.9973
B09,Zmynd11.1,201.7131869,1558.487448,37.51515152,102.8037383,97.27272727,1272.639033,1184.489348,6431.706314
B10,Wdr5.1,161.6535467,1356.959299,40.17241379,103.1416716,96.95402299,1004.136226,1323.510085,6801.513637
B11,Chd7.2,86.56786192,1297.808267,40.2490887,102.8107433,97.26609964,594.5190133,1179.651054,6151.865859
C02,Cecr2.2,154.6843876,1501.131241,37.11562116,104.064,96.09471095,398.1077896,879.9487607,6196.505575
C03,Whsc1.1,139.321257,1391.88979,36.56936701,102.7637344,97.31059364,486.2056063,1090.658968,7014.749532
C04,Wbp7.2,115.8899003,1124.394483,45.61355562,104.2747221,95.90051927,307.6507877,1273.219226,5024.742478
C05,Chd7.3,152.247543,1500.889989,40.63987308,105.8198097,94.50026441,338.9284494,1158.018265,4729.649468
C06,Brdt.3,162.495345,1390.307424,45.4787234,104.0316206,96.12462006,827.8053851,1104.572546,5463.945302
C07,Brd7.3,102.8656894,1271.66871,45.58659218,105.0469484,95.19553073,381.9814357,1066.366441,5423.376665
C08,Wdr82.2,283.4250317,1393.989113,17.01791359,122.8081527,81.42781876,501.6999911,405.0944694,1924.266105
C09,Clock.3,106.501255,1149.954628,40.5,103.1687546,96.92857143,505.0831136,1025.672081,6189.184301
C10,Arid1b.2,121.2570245,1209.089279,47.66584767,104.1586692,96.00737101,648.6646539,1270.021995,5008.095923
C11,Zmynd8.1,120.6695959,1015.231443,42.29670044,105.8872077,94.44011432,661.4037663,1137.996488,4797.288538
D02,Wdr5.2,403.4181209,1586.464922,33.41677096,117.3274596,85.23153942,572.9315319,662.2704993,3152.883811
D03,Dpy30.1,143.6124796,853.2317689,38.88363292,113.442447,88.15042573,427.1568508,971.0943495,3096.566212
D04,Arid1b.3,86.95895966,948.0680468,35.97816961,105.5383252,94.75230898,621.4238981,868.4018969,4328.321933
D05,Whsc1l1.1,90.59834021,571.5771879,31.03448276,131.8181818,75.86206897,269.4218139,644.1331165,1837.002404
D06,Whsc1.2,112.5956013,854.7043436,62.16216216,105.7142857,94.59459459,874.8068308,845.1816488,3964.715107
D07,Dpy30.2,239.7310252,1336.014269,72.72727273,104.7619048,95.45454545,274.9085441,1046.819533,5861.107047
D08,Cbx2.1,140.894938,1027.322188,34.94461229,106.5069718,93.8905673,338.8790379,781.6068821,4617.646832
D09,Zmynd11.2,105.9174221,1133.199901,42.56935271,107.1479122,93.32892999,640.9568929,999.8433359,3905.330902
D10,Wbp7.3,114.5008984,1282.271969,46.04519774,104.6821094,95.52730697,656.9818552,910.371441,5491.397395
D11,Eaf1.2,106.146574,1296.382208,34.84466835,104.5195261,95.6759026,354.8337078,774.015995,5232.170302
E02,Zmynd8.2,141.1933523,1323.306506,47.90343075,103.8943894,96.25158831,532.5114275,1242.149899,5566.054178
E03,Actl6a,104.9164972,704.2386112,28.50971922,105.2272727,95.03239741,251.2112672,595.7115067,4703.285863
E04,Wbp7.4,185.8229744,1226.38097,50.01969279,102.5030279,97.55809374,691.3080074,1296.527736,5814.59836
E05,Cecr2.3,207.0802367,1427.355258,50.82304527,102.7484144,97.32510288,502.2383368,1254.347089,6439.143186
E06,Brdt.1,87.8711002,1036.946928,43.22402213,105.7668199,94.54760964,598.7682315,758.6260043,4460.446476
E07,Whsc1l1.2,107.8312784,852.3760328,46.2419114,103.556701,96.56545545,702.0812375,1353.235668,5414.651578
E08,Wdr5.3,171.1736339,1244.539424,49.69378828,105.6377079,94.6631671,1389.482258,1373.211362,4976.845119
E09,Clock.1,80.22743101,1219.623971,44.43010753,103.195739,96.90322581,707.8444785,1132.760876,6508.43118
E10,Cbx2.2,95.86764528,873.7185009,41.80967239,106.5846358,93.82215289,438.6528662,919.0507668,3963.883661
