Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+
B02,Wbp7.1,584.5361767,580.9396749,33.12933497,52.18278254,246.2548492,149.3435767,609.086762
B03,Arid1b.1,592.1889387,1011.472914,33.18697402,51.11598975,232.2010329,212.149619,538.5566137
B04,Brd7.2,479.3373371,814.0974512,38.14769482,59.9755202,249.8916032,221.717004,902.6541909
B05,Actb,662.2758575,1055.419788,28.61580946,60.61442872,338.238305,197.5871704,846.0337184
B06,Wdr82.1,423.4366147,678.5933775,16.96035242,40.08810573,174.5384803,120.7434203,323.3950898
B07,Eaf1.1,415.5001948,882.5333216,34.16833667,58.1496326,235.3147562,165.0764002,788.4789451
B08,Cecr2.1,857.4805565,950.5641809,35.48009368,53.39578454,212.6856085,206.3463122,631.3419144
B09,Zmynd11.1,755.1508898,1048.775976,33.00411523,57.81893004,391.9514923,212.1435369,772.8442744
B10,Wdr5.1,704.4853132,888.4303672,37.91348601,56.08142494,305.8691017,226.434848,794.9060092
B11,Chd7.2,453.890674,1011.264927,35.87636933,53.16901408,145.3303923,181.9983468,696.5721328
C02,Cecr2.2,748.1710673,778.6257927,33.20911881,52.43314336,153.2852345,157.2023212,599.3294386
C03,Whsc1.1,547.8189539,714.7869322,37.32360097,49.12408759,145.7126492,196.25674,523.9738387
C04,Wbp7.2,648.5878948,783.755581,40.06116208,47.87631668,119.3748315,220.1653692,436.0130592
C05,Chd7.3,495.5962821,946.1917304,41.14068441,49.42965779,114.3714706,204.4136047,504.8889823
C06,Brdt.3,676.4897137,996.3843479,46.19622246,51.36411333,199.8951308,187.3634634,562.8427344
C07,Brd7.3,384.7070083,948.1447275,47.65886288,55.55183946,150.1795704,202.3381697,656.1383201
C08,Wdr82.2,284.0774921,715.9370771,26.59786951,38.81491345,133.2054827,128.2099922,313.3188657
C09,Clock.3,403.8149749,789.5037148,37.60574212,53.75544732,120.0543002,156.9820767,653.2681352
C10,Arid1b.2,380.172546,960.0756007,44.78164323,53.51591414,220.2193276,225.768719,603.640594
C11,Zmynd8.1,515.5254072,794.4402536,40.52841476,63.18544367,222.4093554,211.8465772,1047.192682
D02,Wdr5.2,1188.032951,1299.368516,36.23445826,53.46358792,236.7290762,170.480674,578.4990038
D03,Dpy30.1,421.2307331,618.9800723,43.36902801,55.0247117,181.9539043,221.1940671,628.4643031
D04,Arid1b.3,185.6844923,684.6809433,38.28394211,54.37629221,197.8685045,168.0366443,634.877614
D05,Whsc1l1.1,374.7013538,618.8423587,48.97959184,48.97959184,201.5788335,140.6384314,482.8068907
D06,Whsc1.2,220.8490291,1051.40299,51.92307692,53.84615385,248.8824304,174.1487799,544.5084106
D07,Dpy30.2,529.5153015,1871.245783,54.34782609,76.08695652,451.0147443,356.4685302,1486.395483
D08,Cbx2.1,273.2531112,619.2354594,39.10271009,48.00728763,104.1308768,138.7585739,429.6719005
D09,Zmynd11.2,301.5446577,757.8316742,41.06257379,48.80755608,149.932212,164.1643608,434.2376934
D10,Wbp7.3,494.8281454,968.7632754,41.94303551,52.86773313,202.6725679,169.8267469,615.3461118
D11,Eaf1.2,448.7442033,1140.6436,32.24615385,53.23076923,91.26475426,140.6955821,679.1116534
E02,Zmynd8.2,493.8255978,850.8961167,42.21061793,48.95561358,119.4535253,153.0945668,444.5535561
E03,Actl6a,267.8980489,831.1538891,38.98500577,59.74625144,168.9195928,158.7712197,672.8808552
E04,Wbp7.4,634.8687554,756.8455809,42.92902542,55.48199153,258.0566858,205.5633671,644.6338763
E05,Cecr2.3,606.8322255,886.6460925,47.86190663,55.57081208,118.3358148,194.0172469,699.8748532
E06,Brdt.1,216.628289,796.0061705,38.2475356,51.85104053,174.0770356,137.9601663,533.3729176
E07,Whsc1l1.2,400.6368703,523.1939282,43.77072477,53.50544766,212.1973282,190.2533592,545.6780399
E08,Wdr5.3,407.7376823,906.2777271,44.26229508,55.99385246,249.1083565,216.7249517,747.3831134
E09,Clock.1,354.1738794,925.182656,42.54107338,59.67141292,203.8451318,201.0647731,888.406495
E10,Cbx2.2,250.8083914,621.9347911,38.04168952,51.97476687,161.0403139,159.6371573,508.9605796
E11,Zmynd11.3,409.3921819,660.6578919,38.06398687,48.37298332,114.3111534,138.55524,422.0782668
F02,Wdr82.3,323.2549938,721.8589683,23.02212223,39.40757405,93.77062626,107.3791332,292.0157645
F03,Eaf1.3,491.2504152,749.0514293,36.00605144,54.58396369,177.0250561,160.2225678,650.4515738
F04,Brdt.2,189.9078203,827.7435816,34.70633105,65.02669718,341.8007543,237.8113809,1245.601795
F05,Whsc1l1.3,768.289951,843.7343007,50,47.68433882,138.9807717,119.2551391,460.5047764
F06,Whsc1.3,444.2328126,655.3643101,40.42922176,49.29546933,192.9655768,168.6350136,455.8117325
F07,Chd7.1,322.0173561,884.3566451,41.13519092,50.50567595,162.5192895,221.2569182,537.7096217
F08,Arid1a.1,285.3822715,870.857191,41.670004,52.86343612,201.2177544,149.4923858,581.4059372
F09,Zmynd8.3,241.8794759,711.37691,48.08444097,57.33646078,176.8500782,199.948525,600.6066809
F10,Whsc1.4,255.2648862,431.6949849,37.73892774,48.20512821,125.047194,177.1188654,404.6176998
F11,Clock.2,417.9192428,592.6795355,35.23845572,46.66919001,110.331099,134.2706396,418.893565
G02,Cbx2.3,426.6973877,708.1540995,34.20553659,52.18050815,133.9345168,162.8642134,523.1967707
G03,Zmynd8.4,492.3505884,835.5165053,41.55754652,55.96140593,221.3806592,175.1542533,657.0531954
G04,Wdr5.4,754.9359656,972.2782957,39.04528764,51.28518972,207.0066213,147.043263,522.7061526
G05,Fbxo17.1,670.1269462,729.8536169,41.88571429,52.05714286,161.6305975,171.2536054,613.5330876
G06,Dpy30.3,384.0777139,970.616585,44.39252336,51.23194562,209.4157719,172.091865,484.0396903
G07,Whsc1l1.4,333.1323537,857.3022357,45.26031434,49.77897839,130.6522441,129.651189,464.0510835
G08,Wdr82.4,396.4110283,660.3623726,27.70632369,35.04823151,91.93217743,89.62169688,215.3773148
G09,Brd7.1,441.0781319,611.8939887,41.97058824,50.20588235,187.6077009,185.5871394,503.4148158
G10,Zmynd11.4,286.3062607,622.3170674,42.61261261,45.91591592,127.8928096,142.7630907,369.749836
G11,Arid1a.2,625.4052412,362.1586996,41.38090825,42.77108434,148.4955958,213.0171063,325.2531997
