Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+
B02,Fbxo17.2,875.4122401,1089.570538,19.62406015,56.35338346,379.2535017,201.353383,715.0782626
B03,Padi2.1,339.1774873,747.3788076,23.0742419,54.06064831,146.0349941,140.1048616,730.0990079
B04,Paf1.1,395.9991358,404.7583036,32.15311005,58.46889952,104.3410193,125.626243,949.4022955
B05,Kdm4b.3,682.5338092,725.9338858,28.87297399,55.25819827,156.4015972,129.8768054,711.386425
B06,Gtf2h1.1,881.8698444,706.2861831,20.69492173,45.16991218,84.1336267,95.61169396,534.1628557
B07,Rnf2.2,493.0492428,1047.141183,22.52252252,56.10810811,88.53288544,141.9941061,744.5458918
B08,Phc3.1,1011.502249,877.7615199,31.74358974,47.79487179,81.58913029,120.823906,522.2507668
B09,Iws1.1,315.1494532,673.9429083,30.6980656,53.06980656,205.1314182,115.274711,573.0635304
B10,Fkbp2.3,551.2041643,1073.321539,33.94953052,52.81690141,127.2303757,142.3974252,664.2715304
B11,Phf10.2,572.7238994,652.8561742,31.77219933,49.45672537,103.4022469,129.9992388,535.5739318
C02,Phc3.2,749.6907846,1362.998142,37.49267721,49.15055653,150.1576237,147.6657544,578.0185136
C03,H2afz.2,422.8777357,935.8742876,37.26912929,59.2348285,155.647347,193.3315983,901.6304112
C04,Fbxo17.3,546.8615948,1266.262709,35.26252983,57.60739857,137.2052403,201.3125391,903.7477205
C05,Phf10.3,1164.913911,1245.459109,46.89182575,50.85658346,146.4840726,203.1500346,666.6710927
C06,Parp2.2,264.4623298,1041.423277,43.1022409,61.79971989,192.5010579,254.9367695,933.6905327
C07,Paf1.2,299.8517137,924.8643447,51.66414523,73.07110439,350.4491136,228.9709776,1799.943318
C08,Gtf2h1.2,540.4551672,924.2685865,41.66211044,59.5133953,194.8261382,184.0351719,848.3003437
C09,Prdm16.1,472.2182877,1134.99875,43.42105263,66.37426901,212.5504546,266.070161,1329.832426
C10,Padi2.2,242.9273638,780.0511757,35.51575046,57.10315009,178.8311148,165.6675019,710.6851044
C11,Jmjd8.2,628.4528814,948.9591693,39.8091133,58.89778325,148.8501578,184.6915691,890.4037737
D02,Fkbp5.1,746.8287817,1037.205614,30.66308931,60.82790341,308.8623854,235.7005571,1147.109488
D03,Prdm16.2,682.1502211,990.0332002,42.20816561,57.33179988,205.216859,197.9981708,824.876142
D04,Padi2.3,550.5479855,1132.672474,42.9972418,59.30125651,265.060672,196.1793132,915.2051544
D05,Hdac11.3,455.1403716,935.8511984,47.71151179,60.38834951,226.1108909,249.619861,945.7517955
D06,H2afz.3,430.4037049,1268.488692,46.45010047,62.89350301,322.6607374,274.509349,971.5211358
D07,Prdm16.3,318.6100354,1220.065818,45.90856704,73.91471379,382.9385631,237.5773281,2188.847469
D08,Parp2.3,331.3433699,1039.89712,47.52299021,64.78789677,307.4873796,268.1027737,1140.831584
D09,Iws1.2,287.0338116,1138.225277,50.13581684,70.27551416,410.4895716,343.0625215,1581.65998
