,,Experiment: 10 U p1,Analysis: Analysis 3,User: Admin,Plate: control,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:40:14 AM,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of GFP+,Count of Amet+,Count of Amet+GFP+,Count of singlets,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Untransduced,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Untransduced,GFP+CD62L+ as % of GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+CD62L+ as % of Amet+,CD62L+ as % of Untransduced,GFP+CXCR3+ as % of GFP+,Amet+ as % of Amet+CXCR3+,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+CXCR3+ as % of Amet+,GFP+CD103+ as % of GFP+,GeoMean APC-A - CD103 of GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+
B02,Bptf.1,B02,Sample,1694,37,29,7105,357.997345,382.6780376,104.1063818,65.48634652,1191.90431,1751.891921,2510.371313,1486.619546,33.23494687,34.48275862,48.64864865,29.46465059,57.79220779,105.7142857,48.27586207,94.59459459,44.92325856,185.8489807,208.4652815,621.8770985,162.3446966,199.8984946,1219.252511,831.5035273,728.3106805,7838.921465
B03,Bptf.2,B03,Sample,1263,631,756,6462,250.0989307,475.0053389,86.86841986,61.68776439,849.4515609,1499.192947,1798.051521,1413.355417,39.90498812,48.14814815,44.84944532,36.57551274,52.01900238,102.7687296,61.64021164,97.30586371,35.1543943,100.2057793,165.4355217,662.21714,107.0041093,192.6037776,1218.563554,642.886306,1120.414015,7838.802207
B04,Bptf.3,B04,Sample,767,1414,1266,6483,195.0606731,472.5638004,77.0220415,54.19567464,914.5886171,1367.86448,1804.705723,1272.819777,39.24380704,40.60031596,38.2602546,41.6596105,56.32333768,103.4381858,64.0600316,96.67609618,45.89308996,195.7515836,187.2022072,407.584745,156.681402,237.7575218,1212.231602,813.4767648,1290.767254,8723.81211
B05,Bptf.4,B05,Sample,427,1832,1335,6379,293.2723542,505.8265496,59.27882287,64.20673607,751.8799602,1476.543086,1792.010864,1462.530698,34.42622951,37.30337079,34.38864629,35.4918438,46.60421546,102.7481772,64.04494382,97.32532751,37.23653396,108.8617864,165.8269161,685.293325,112.8887745,198.4219465,1338.618063,547.2238425,1239.505969,7943.036709
B06,Whsc1.1,B06,Sample,595,1414,1224,6265,287.5249673,609.4845516,78.09824795,46.27448124,791.5053141,946.7624781,1769.819468,1298.606085,33.27731092,31.8627451,27.72277228,31.81818182,50.42016807,101.7266187,55.39215686,98.30268741,40.50420168,147.4336705,216.9030043,879.3535311,129.5565468,192.0510646,1146.337323,539.5923398,803.4122545,8720.020152
B07,Whsc1.2,B07,Sample,985,1221,928,6926,294.7369539,581.8618034,75.44689974,60.83183622,803.9312813,980.048566,1489.826262,1434.209519,33.0964467,33.51293103,30.87633088,30.15873016,51.57360406,102.4328859,57.43534483,97.62489762,41.01522843,143.8072562,243.6040985,790.7623143,87.87471465,185.0209652,1064.564864,542.4910576,772.5359414,6558.316844
B08,Whsc1.3,B08,Sample,662,1716,1337,6222,226.6004859,745.0031876,115.4458785,63.68358826,810.4467422,679.3245328,1451.452832,1425.853504,33.3836858,37.3223635,35.43123543,36.96369637,53.32326284,103.0630631,56.4697083,97.02797203,43.95770393,201.4003155,271.8660041,893.071712,134.9303826,237.0947465,1101.509802,700.2221694,913.4963671,7446.14944
B09,Whsc1.4,B09,Sample,442,1504,1366,5179,222.5079778,674.8722298,166.5633689,70.04846009,600.3526247,664.279523,1313.818718,1256.471972,36.65158371,36.74963397,36.96808511,41.01010101,50.45248869,104.4444444,54.6852123,95.74468085,40.49773756,185.3275342,210.2498009,539.6845,140.0015558,300.6441122,1085.588195,591.6859638,854.2222479,6734.932843
B10,shCd4.1,B10,Sample,761,1079,1616,5673,218.5053296,731.2615552,138.8828409,68.4272367,702.3148901,1053.082245,1577.007583,1273.253578,37.18791064,40.59405941,44.30027804,46.61111111,51.11695138,102.7619048,55.94059406,97.31232623,43.49540079,217.4664557,238.3064155,608.0660323,127.9675959,214.0431707,1128.119959,627.1584107,933.2441909,7040.245998
