NA,NA,Experiment: 10 U p1,Analysis: Analysis 3,User: Admin,Plate: 15,Plate Type: 96 Well,Plate Order: Row,Export Date: 6/2/2015,Export Time: 2:02:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of GFP+,Count of Amet+,Count of Amet+GFP+,Count of singlets,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Untransduced,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Untransduced,GFP+CD62L+ as % of GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+CD62L+ as % of Amet+,CD62L+ as % of Untransduced,GFP+CXCR3+ as % of GFP+,Amet+ as % of Amet+CXCR3+,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+CXCR3+ as % of Amet+,GFP+CD103+ as % of GFP+,GeoMean APC-A - CD103 of GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,Amet+CD103+ as % of Amet+
,,B11,Sample,2106,851,779,10074,320.2162867,644.3346192,170.8534796,108.4217842,699.3623242,1254.573812,1416.132039,1296.569766,33.80816714,43.1322208,38.89541716,41.49018098,50.71225071,103.7804878,64.44159178,96.35722679,39.12630579,146.3354602,274.7918508,406.0797897,112.6548043,252.9633671,901.4839534,562.5671921,1257.561834,5804.080894,51.60462131,54.40658049
,,C02,Sample,2189,1614,1754,11824,289.315664,555.8882542,134.1239235,91.6030421,736.5399065,1001.096836,1559.176251,1339.728277,34.12517131,33.35233751,33.51920694,37.66623767,48.14984011,105.2151239,53.42075257,95.04337051,43.4444952,214.8710727,161.1019159,516.2251311,103.1832764,143.223891,852.2748207,492.7960445,601.6956849,5273.952589,42.47434436,58.42627014
,,C03,Sample,554,1585,1404,5932,354.470923,915.3450552,195.3938762,121.7562222,693.1730556,1049.30764,1839.670677,1300.479808,38.44765343,37.03703704,37.79179811,42.70769231,50.54151625,102.8552888,60.8974359,97.22397476,43.14079422,176.9211129,175.6706037,401.114227,96.73923206,185.4597408,875.7860874,612.2037783,991.3524561,6289.582005,44.23076923,53.75394322
,,C04,Sample,972,531,394,5232,952.5236053,1309.694948,487.485334,261.4507836,665.9400259,999.510451,1540.541387,1366.392783,31.79012346,44.41624365,45.19774011,35.04656778,45.88477366,101.7241379,59.89847716,98.30508475,31.89300412,80.84987528,286.5098759,1002.723343,90.41721324,234.4869271,708.2298831,385.67204,993.6421835,6926.367847,53.55329949,72.12806026
,,C05,Sample,604,2166,1881,7642,171.2357685,1035.814396,232.6365695,67.95818739,766.5449085,1403.837741,1930.821366,1183.170865,37.91390728,34.66241361,29.87072946,47.85631518,53.64238411,104.9418605,62.09463052,95.29085873,49.00662252,261.9732375,178.9844287,387.0639368,119.517838,177.3441602,535.3676396,608.5774596,1075.247104,5590.534391,43.32801701,53.41643583
,,C06,Sample,268,1730,1399,5007,214.8964387,659.2256262,193.6893489,101.9492235,611.7289929,956.9477818,1261.849242,951.3585502,33.95522388,50.17869907,48.84393064,39.569161,46.26865672,103.7170264,61.04360257,96.41618497,47.76119403,240.6560161,450.4482167,685.8669878,94.06294981,209.088107,1077.543014,470.0488916,939.502517,4891.95728,59.75696926,67.22543353
,,C07,Sample,542,2821,2132,8587,435.1809175,953.4839231,210.6856511,109.669129,856.282275,963.2624772,1575.399331,1443.558555,35.05535055,37.38273921,38.42609004,41.98988196,49.07749077,103.7895511,54.40900563,96.34881248,41.32841328,160.3309072,125.0735262,362.3111933,95.61707198,160.2821389,745.3116822,587.7694429,709.597584,5469.488115,39.72795497,53.56256647
,,C08,Sample,559,2446,2201,8450,375.0668238,763.8643014,192.2120835,91.97540723,804.6091934,906.9015439,1406.565862,1188.594317,35.06261181,39.11858246,45.62551104,42.8072219,54.2039356,102.6437264,58.33711949,97.42436631,42.7549195,174.773522,208.7669833,439.4416349,119.3617381,151.7613996,740.8690198,600.767574,773.208967,5611.200858,47.52385279,55.88716271
,,C09,Sample,1416,982,1174,7481,306.8910896,666.9152425,216.3428772,137.1341888,784.8294293,808.2444701,1291.506457,1382.687423,40.25423729,39.94889267,39.40936864,41.71636846,53.10734463,104.0254237,55.79216354,96.13034623,43.14971751,179.2181875,170.5268208,334.2906297,100.061414,210.0805167,899.5473818,641.9728574,724.7914165,5119.56064,42.07836457,51.52749491
,,C10,Sample,162,3463,2046,7773,342.3449067,809.322486,152.401873,68.8230248,864.2378058,970.9057163,1430.421875,1240.160691,24.69135802,30.93841642,36.12474733,43.30218069,50,102.6378186,58.55327468,97.42997401,38.27160494,139.0310858,209.0144286,534.4469562,115.6406989,195.4221782,905.2912011,450.7500891,960.4875432,6959.977549,45.99217986,59.83251516
,,C11,Sample,416,3074,2290,8751,202.2395853,942.0072226,237.2815401,108.6759321,839.6084277,773.7535054,1500.311867,1287.971515,26.20192308,24.97816594,28.52960312,28.74768661,50.72115385,102.8093645,60.61135371,97.26740403,66.58653846,635.4471412,497.1523643,1152.215652,137.7917006,214.2434217,1120.087974,452.3216588,978.1546539,6973.390704,61.44104803,75.86206897
,,D02,Sample,158,2478,1020,5529,372.7544573,649.1632474,223.5048543,112.9225682,394.1536959,743.9980648,1371.566557,1122.434712,23.41772152,23.1372549,23.72881356,29.32692308,39.87341772,108.9709763,53.92156863,91.76755448,20.25316456,47.00811242,68.50675327,171.6023735,60.9232463,119.7068046,454.5603989,288.7399401,676.2145719,3992.062355,27.94117647,37.93381759
,,D03,Sample,63,1485,673,3179,251.917936,471.5405517,167.8394508,112.2486436,515.9295293,616.3289471,1082.155918,1125.99155,22.22222222,28.08320951,25.11784512,22.92682927,42.85714286,105.8446187,55.42347697,94.47811448,33.33333333,89.78114025,134.9822406,261.0058676,45.60970865,187.3992122,761.4815763,283.4238085,736.8701552,4875.312726,37.14710253,46.5993266
,,D04,Sample,526,1370,1206,5777,911.792655,1314.335435,308.1522737,142.0590675,669.2743025,787.7974504,1483.004758,1504.085584,24.52471483,28.85572139,28.90510949,32.6880531,40.30418251,103.6308623,52.48756219,96.49635036,24.33460076,59.90828139,101.6894839,529.1155544,98.25154351,150.8944401,663.8304447,456.1510159,768.3041526,5931.037709,35.65505804,59.05109489
,,D05,Sample,510,1300,592,4910,621.8011167,734.6552775,139.4677561,131.2276507,810.6463659,1158.399675,1444.62876,1564.708988,29.01960784,33.10810811,32.84615385,27.12486884,44.31372549,105.0080775,60.30405405,95.23076923,37.25490196,115.5916476,228.7240703,296.6570894,81.02408532,165.4663167,654.4175371,409.6518171,1202.564911,6127.074516,47.46621622,48.15384615
,,D06,Sample,589,1994,1580,6853,579.0965436,1539.169701,266.7748705,149.73144,843.7814742,1164.968942,2182.799406,1314.908915,33.95585739,31.4556962,31.444333,38.69541183,47.36842105,104.1797283,54.87341772,95.98796389,38.53989813,114.6414078,119.7167545,427.4691354,91.31827806,173.5527476,830.1410618,512.3585402,816.8715739,6805.210426,39.11392405,53.96188566
,,D07,Sample,1341,2222,1881,9963,459.4161782,778.1393878,199.7425809,93.48940881,683.1700732,809.9237083,1432.738965,1379.588925,29.8284862,36.09782031,37.53375338,36.28872775,43.99701715,106.5707434,52.4189261,93.83438344,29.3064877,79.8631745,118.1654649,247.1652035,76.85837466,155.4665445,745.4971973,400.194321,621.4629617,4600.413061,35.0877193,44.55445545
,,D08,Sample,632,1872,1938,7122,260.0105921,740.2343613,165.6658662,74.82461239,573.4096299,559.460415,932.5533426,1195.752422,34.81012658,38.80288958,40.06410256,41.56626506,48.41772152,102.8571429,57.32714138,97.22222222,36.86708861,126.8348719,164.2435389,463.7010303,95.66091787,183.9571015,919.287026,448.3003063,702.192215,5535.784576,43.29205366,58.27991453
,,D09,Sample,609,2184,1892,7925,175.0061632,1018.146409,299.0681809,87.94938628,621.5440019,997.347312,1798.078025,1347.641448,17.89819376,17.65327696,19.23076923,21.78362573,49.58949097,102.5352113,50.05285412,97.52747253,45.32019704,250.2621839,270.1141494,846.7493169,95.96246488,145.9938639,791.3784155,481.6237857,583.1392836,6283.220372,50.58139535,69.04761905
,,D10,Sample,700,187,118,5440,1959.901553,2879.581534,578.1062384,593.9471902,723.9243604,789.3774984,1823.642476,1676.844919,22.71428571,24.57627119,24.06417112,20.99529587,40.28571429,109.3567251,56.77966102,91.44385027,19,39.66095818,89.50136126,305.4840324,78.34653597,160.6607278,353.9609473,316.0947963,730.2291145,4615.236684,33.89830508,47.59358289
,,D11,Sample,1053,1515,2026,8079,233.8240066,788.2982972,145.7466397,59.65316518,619.7190097,822.2201795,1425.494527,1243.462449,37.51187085,34.84698914,32.47524752,43.1884058,48.62298196,103.8382454,52.81342547,96.30363036,39.88603989,126.8151334,133.8092653,287.8643305,82.37076206,135.4755848,771.4762027,503.309205,703.7371861,6690.847533,38.40078973,48.05280528
,,E02,Sample,119,2391,1605,5568,81.73243658,888.1247257,194.2094412,64.8847022,492.5716568,454.9390262,1022.622663,769.2414927,30.25210084,35.3894081,36.59556671,41.38613861,58.82352941,107.1716719,52.83489097,93.30823923,53.78151261,359.1723372,148.7962786,400.4075688,128.9157951,166.7315822,759.0407625,635.2871553,624.6539813,4857.443449,42.61682243,54.45420326
,,E03,Sample,661,1209,1081,6126,288.6665307,437.2076619,120.8999128,111.7202926,649.9724556,1023.815008,1469.556554,1269.048732,40.54462935,45.69842738,46.31927213,43.96665204,51.43721634,104.0447504,58.83441258,96.11248966,38.12405446,136.5271524,333.7063537,775.881884,94.91173296,175.6530826,814.6160535,476.7299058,758.088408,5576.543603,55.50416281,68.40363937
,,E04,Sample,817,921,798,5598,646.3984571,1523.451634,426.9565659,182.3351082,640.55496,836.2220729,1614.97007,1376.680801,34.39412485,40.22556391,41.04234528,40.25821596,47.24602203,103.8331454,51.75438596,96.30836048,28.64137087,85.29359336,146.9702096,683.0311357,88.3638846,148.007799,604.2448888,536.895661,687.068145,6341.935067,41.10275689,63.08360478
,,E05,Sample,668,4004,2884,10524,480.2068202,930.9369073,121.9168855,85.85388652,648.7025524,956.4651689,1263.751818,1306.553469,34.13173653,34.25797503,36.08891109,41.43449911,40.56886228,105.8139535,45.49237171,94.50549451,30.98802395,86.64106699,98.59564536,384.7791726,73.68408268,111.3800398,494.1141888,341.1111582,460.8473908,5583.404513,35.15950069,54.24575425
,,E06,Sample,1212,2218,2849,10255,365.7948677,361.3237424,96.62616637,116.647426,719.8234259,749.6460535,1193.374216,1172.496538,36.79867987,30.78273078,33.49864743,40.85714286,42.65676568,102.9234339,64.16286416,97.15960325,25.1650165,66.51638986,123.7559281,530.5607918,73.46009758,146.5903641,766.0229467,365.3019551,1190.83478,7102.489532,38.68023868,61.45175834
