Well,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+
B02,94.1050052638936
B03,97.8026989754196
B04,90.3462480698085
B05,107.789731704236
B06,68.7012767658617
B07,59.4105537929243
B08,48.6888613903374
B09,69.5418862875812
B10,55.4318388110433
B11,55.6472173016204
C02,76.1029512769776
C03,72.3648423492022
C04,81.6559190251173
C05,60.1394586818183
C06,61.1984737837847
C07,56.1853821124097
C08,48.1177388653919
C09,57.6080895062375
C10,58.1064478778452
C11,49.3956510195214
D02,85.9900090545507
D03,69.3013308428267
D04,97.6534692601567
D05,72.0859452690029
D06,65.0208640848084
D07,201.934098663172
D08,57.2425029911695
D09,144.9686395964
D10,81.3293215485387
D11,51.4402231949963
E02,88.4734440035835
E03,77.6585771291471
E04,85.9890976587852
E05,50.5950320536785
E06,54.9930344350928
E07,47.4964937602072
E08,43.0984748165774
E09,67.7385088037316
E10,44.7277632836398
E11,24.5912560967249
F02,94.9746643143337
F03,88.5042729122679
F04,88.8008606415731
F05,86.3215869718335
F06,83.7687086535941
F07,69.3393273996289
F08,55.5189024242374
F09,57.4929287438498
F10,66.4057199507103
F11,67.6030196087837
G02,56.9330913843052
G03,71.4048676206598
G04,60.0452244487597
G05,66.9053801106442
G06,60.8184886691308
G07,72.4965291727834
G08,73.9477414075965
G09,204.938474988821
G10,58.32169816038
G11,57.2191803878373
