Well,GeoMean PE-Cy7-A - CXCR3 of Amet+
B02,457.399961800044
B03,727.575310999346
B04,168.38009498269
B05,0
B06,396.023159078289
B07,35.8353193460946
B08,62.3484191894532
B09,1403.90001882351
B10,420.482748111562
B11,547.068198456158
C02,249.945007508444
C03,424.828535826353
C04,590.164047172731
C05,196.202000233931
C06,414.88893331816
C07,121.724321009408
C08,4791.1640625
C09,631.684751450267
C10,25.1146309401382
C11,493.958756291588
D02,579.519913776517
D03,180.478987557353
D04,223.690917906577
D05,358.433941288266
D06,633.464114035419
D07,326.295299300717
D08,1883.51574702357
D09,597.051168465863
D10,381.984204461537
D11,473.943600905348
E02,461.380169690427
E03,1337.24713135179
E04,391.717208213627
E05,553.160943279338
E06,0
E07,273.189640554167
E08,363.009283543437
E09,397.487261990185
E10,442.463327425384
E11,430.277007766124
F02,501.945773490249
F03,184.206180715854
F04,953.880754543425
F05,321.1577839178
F06,455.896038888171
F07,235.835620936007
F08,10635.4716796875
F09,0
F10,266.634235408245
F11,224.752602131318
G02,58.4850205710213
G03,704.236371755237
G04,363.613853887972
G05,285.007486636518
G06,231.302072923697
G07,751.534785415273
G08,337.186343998441
G09,863.764218042016
G10,473.385461488185
G11,738.991574374431
