Well,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+
B02,93.3781488656984
B03,125.211464522494
B04,151.019783778289
B05,222.320653785286
B06,112.934401667235
B07,241.73120802656
B08,151.296407113302
B09,152.360448778779
B10,95.1562341348451
B11,101.570805468863
C02,206.026527071438
C03,108.249901593831
C04,89.6953608104181
C05,30.7232186141101
C06,122.872945351259
C07,38.1911687447696
C08,624.727722978493
C09,181.625046906296
C10,45.7481612229125
C11,141.824529165987
D02,127.891191656227
D03,124.414592968906
D04,92.3669555677543
D05,97.3893410645629
D06,119.445591501297
D07,319.732454652411
D08,164.528290348057
D09,92.2687602633707
D10,108.964605489448
D11,430.066612774438
E02,79.5060475601083
E03,206.324834534817
E04,108.858573195987
E05,95.7919125061729
E06,200.94890076156
E07,129.972294023922
E08,81.4371753222724
E09,194.116609486306
E10,147.279394553751
E11,111.08827968353
F02,110.322159143742
F03,156.261894874972
F04,41.494219810255
F05,93.3322981639603
F06,86.0746779437349
F07,174.278120562959
F08,412.190101079512
F09,233.06681163402
F10,85.2190691164621
F11,277.612709130888
G02,124.786929404944
G03,135.162476062142
G04,115.509694163635
G05,207.022586437161
G06,53.7536544106119
G07,112.352486919413
G08,111.10185401555
G09,17.7978695505534
G10,104.81298694629
G11,92.2548742933975
