Well,GeoMean PE-Cy7-A - CXCR3 of Amet+
B02,177.041642358632
B03,152.900087620741
B04,215.055452350185
B05,928.700627916323
B06,356.189339792706
B07,350.772713902883
B08,427.277642509623
B09,263.60758984839
B10,504.886988593563
B11,211.682563973731
C02,125.472024528262
C03,243.857967377233
C04,364.304724779326
C05,180.553760702935
C06,271.765056369191
C07,257.089279817115
C08,346.494006647087
C09,245.685468121601
C10,229.745409383798
C11,502.635597923827
D02,459.547118261349
D03,306.101574519208
D04,243.529226934516
D05,371.938784902174
D06,419.87326144813
D07,440.884077923898
D08,261.815902333841
D09,281.666438826895
D10,176.078293075813
D11,380.520572210834
E02,504.039530504498
E03,1126.49341405985
E04,346.253907620603
E05,365.651372437804
E06,273.963966373707
E07,386.304638129327
E08,701.884918621773
E09,323.060186342878
E10,316.681682146357
E11,267.191929912109
F02,155.659562569875
F03,283.44969795676
F04,704.32797033806
F05,355.56300671017
F06,209.469766543801
F07,234.965890342349
F08,200.905121764606
F09,365.719493347672
F10,280.985836624933
F11,234.157450224597
G02,148.464898758703
G03,190.731204403062
G04,281.102878647211
G05,236.717281523507
G06,126.918074383022
G07,251.42143795663
G08,255.092589792862
G09,226.000482700038
G10,279.206247940419
G11,1438.19078845686
