Well,GeoMean PE-Cy7-A - CXCR3 of Amet+
B02,286.35321062638
B03,337.663298165213
B04,222.961002494157
B05,386.817288402339
B06,244.75969826681
B07,174.124122407411
B08,199.959995465181
B09,125.971285442398
B10,179.027617023175
B11,207.12617265854
C02,522.740834005337
C03,467.627625873039
C04,417.10352000123
C05,246.64365985283
C06,391.384104641817
C07,331.402877684895
C08,272.574028625921
C09,351.036618670019
C10,292.942540845376
C11,238.166592832387
D02,283.115719232563
D03,379.680408967493
D04,357.478664142006
D05,27.6237124926337
D06,391.798484510297
D07,322.460912860712
D08,409.334033566221
D09,380.45276111251
D10,284.675160124325
D11,307.816070622594
E02,447.157577080811
E03,425.28603234678
E04,272.566016363263
E05,403.474531692758
E06,182.661806017918
E07,323.895742280287
E08,241.749281651767
E09,252.095541264989
E10,136.045708472184
E11,263.209211983501
F02,543.86387305165
F03,283.220720070315
F04,235.854974059144
F05,455.085985008492
F06,232.18002637343
F07,224.630901500979
F08,227.667404936669
F09,242.432118836334
F10,275.039473386993
F11,283.504784222689
G02,1161.43680170528
G03,700.743185540523
G04,217.676192222581
G05,186.313500523829
G06,318.274672625832
G07,411.899060994403
G08,263.042563447428
G09,283.728713726121
G10,200.037039773597
G11,236.502163576853
