Well,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+
B02,42.8943568766331
B03,83.3911387970942
B04,46.2277203349933
B05,49.5090728942096
B06,67.7770293276714
B07,54.666191245105
B08,78.1451320642774
B09,46.8468287536235
B10,44.1840151448711
B11,52.1080946395637
C02,76.8181137475255
C03,50.5586140464394
C04,52.0915738453507
C05,55.6791669914218
C06,47.7400823792515
C07,73.2124083197294
C08,59.4190489907984
C09,59.5722806095765
C10,71.5959781261493
C11,45.631478096437
D02,65.1774687451588
D03,52.3573271106783
D04,57.7551283237992
D05,61.9663247416788
D06,66.1567851252983
D07,69.2866504412359
D08,71.5773640113933
D09,53.9203729942341
D10,47.8867915542073
D11,81.5767892406788
E02,63.1468065094502
E03,72.030519079221
E04,57.2451895392022
E05,65.6983390699978
E06,74.638416154215
E07,40.8991594512177
E08,48.0876843483446
E09,77.4030782278194
E10,59.8308647613244
E11,176.854083047114
F02,59.5446867195349
F03,114.475737742925
F04,75.3321137495104
F05,74.3300320404442
F06,55.8543850791139
F07,78.8351433223113
F08,86.7836788534366
F09,87.5460574632374
F10,24.3828444020817
F11,83.8805728372763
G02,49.2158865930565
G03,50.774319204799
G04,66.3515571766659
G05,47.6600128908263
G06,61.2487984835669
G07,59.4591959110324
G08,55.1073550709539
G09,46.6992910825487
G10,41.1615583672576
G11,41.1750595117439
