Well,GeoMean PE-Cy7-A - CXCR3 of Amet+
B02,490.329725170742
B03,451.801398937621
B04,126.075986016582
B05,149.591087847393
B06,182.491805287269
B07,223.347990769142
B08,205.04638838591
B09,270.969772887263
B10,184.56041714544
B11,291.750030117101
C02,135.339306903907
C03,232.292476113584
C04,529.633472550583
C05,170.900562639185
C06,515.413960162715
C07,178.130545388865
C08,365.951772800902
C09,170.519333880592
C10,388.677101182894
C11,788.217468886073
D02,265.659053229251
D03,296.794634475184
D04,524.185748830942
D05,169.86503017884
D06,203.7162675371
D07,182.411314331338
D08,164.589392934633
D09,402.389941921624
D10,1063.07876238694
D11,133.903196524555
E02,239.779592610286
E03,323.546978357757
E04,396.855944582389
E05,135.350302643722
E06,381.78118193066
E07,156.579756903259
E08,313.420827611411
E09,263.000580419022
E10,233.91551475421
E11,94.184100760754
F02,216.453156447714
F03,274.169648376699
F04,172.255810203569
F05,342.484718249571
F06,162.221437271885
F07,173.46470018162
F08,445.969441853408
F09,175.666101247091
F10,241.335350819445
F11,543.84069833568
G02,318.504846530165
G03,221.308743208021
G04,239.436067268778
G05,230.281531825122
G06,235.020853523348
G07,177.309434982924
G08,25.9434606455138
G09,196.972770895822
G10,161.26817399015
G11,216.96090495706
