Well,GeoMean PE-Cy7-A - CXCR3 of Amet+
B02,283.077876725506
B03,302.16172050295
B04,172.417055063067
B05,274.211491884319
B06,174.040811625991
B07,161.748853863946
B08,244.075751373219
B09,229.438149891628
B10,181.557202935331
B11,207.029654450116
C02,168.186611057079
C03,57.9268838221811
C04,277.640798010432
C05,68.2121833703405
C06,649.928625785832
C07,125.60997046355
C08,214.953932995539
C09,203.26488095409
C10,379.064642744676
C11,539.39369258661
D02,181.844005265369
D03,93.0252314166873
D04,246.887307589743
D05,575.327250142751
D06,330.885829231403
D07,693.374771309884
D08,336.833137708779
D09,707.135500463957
D10,275.855736985674
D11,315.415964087814
E02,755.124950833784
E03,1325.19641882784
E04,450.841287755378
E05,220.996702924634
E06,209.337886133002
E07,227.513622591823
E08,271.905967712217
E09,244.28059811378
E10,325.747310238697
E11,381.840226269893
F02,3369.36944641536
F03,2504.48153548283
F04,3790.21161947383
F05,1142.74775888822
F06,337.891621491909
F07,203.409864616067
F08,395.216561921139
F09,287.350708293685
F10,608.555968791556
F11,11.4250974688556
G02,5561.75101120534
G03,528.087422674532
G04,608.421916546133
G05,531.196935961217
G06,270.183024818623
G07,281.237825955364
G08,162.158352656589
G09,195.446120223129
G10,95.9325900382026
G11,138.561111450195
