Well,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+
B02,61.8368222401974
B03,58.2797353103706
B04,66.0324972979399
B05,92.1695306602168
B06,66.764850647631
B07,101.834636274067
B08,84.6319554964099
B09,65.8496752205185
B10,144.407089344033
B11,73.58501803245
C02,66.5890736458713
C03,83.8870919955456
C04,67.1144040087454
C05,82.1935534408914
C06,59.4848153060933
C07,70.3708123782763
C08,129.259857720333
C09,83.7204737598484
C10,61.5114349209251
C11,121.785622577454
D02,87.6870810104442
D03,92.5530086127664
D04,69.829124261867
D05,92.1861458009221
D06,163.466937391196
D07,23.3537785209472
D08,73.5319479501106
D09,61.6384481500898
D10,70.0479453563108
D11,76.4762784623568
E02,87.0639482571837
E03,90.8538295930424
E04,77.1371630729182
E05,72.0009877687047
E06,62.4122799607249
E07,82.2133850724227
E08,145.1251849635
E09,82.9898249426633
E10,80.1707523259637
E11,84.7795540560077
F02,59.7164244021781
F03,87.4209670866609
F04,96.5271909435532
F05,69.9383797716887
F06,53.1601609400595
F07,48.5166620179533
F08,70.1095181569689
F09,110.204856626043
F10,63.3796746844568
F11,74.1078328819732
G02,55.3386609997162
G03,72.3239107807556
G04,86.1711085955373
G05,59.3088628205547
G06,55.2795767253119
G07,64.6838059413966
G08,60.4097461148584
G09,54.9688865599153
G10,68.5840287550203
G11,84.8596512981406
