"Position","Pool","shRNA","Percentage","precentile","z"
"17_B02",3,"Smyd4.1",23.38549075,20.6757628124063,-0.817723206530497
"17_B03",3,"Suv39h2.1",40.48073254,71.3639741307263,0.564049393480637
"17_B04",3,"Suv420h1.1",18.35891381,11.0474058590016,-1.22401089598586
"17_B05",3,"Suv39h1.1",27.12384852,30.3081025134527,-0.515559575323692
"17_B06",3,"Sp100.1",23.19729979,20.2440895343459,-0.832934287794636
"17_B07",3,"Tcea1.1",24.97949139,24.5448300522985,-0.688883472304532
"17_B08",3,"Suz12.1",32.5045045,46.7859189033754,-0.0806524184328703
"17_B09",3,"Ssrp1.1",25.61688312,26.194374491817,-0.637364433334116
"17_B10",3,"Smyd5.1",18.54689564,11.3366633609528,-1.20881671826174
"17_B11",3,"Taf1.1",25.39619651,25.6168830900253,-0.655202069948634
"17_C02",3,"Suz12.2",33.86759582,51.1776421288408,0.0295233989335013
"17_C03",3,"Sp110.1",24.82581591,24.1556428260848,-0.701304739588495
"17_C04",3,"Smyd4.2",29.04191617,35.9226839942335,-0.360526183208227
"17_C05",3,"Taf1.2",30.17793594,39.4078704461832,-0.268704083787839
"17_C06",3,"Suv420h2.1",17.47709655,9.76107350528092,-1.29528633877004
"17_C07",3,"Suv420h1.2",31.41747573,43.3089198747434,-0.168514677900205
"17_C08",3,"Sp100.2",37.92282039,63.9565902243509,0.357298710131246
"17_C09",3,"Taf3.1",38.05612594,64.3590791994704,0.368073518623698
"17_C10",3,"Suv39h2.2",22.91169451,19.5993589499131,-0.856019164579085
"17_C11",3,"Supt16h.1",19.45736434,12.8140436561099,-1.13522543957251
"17_D02",3,"Smyd5.2",17.33158927,9.5598309014234,-1.30704738755051
"17_D03",3,"Taf3.2",28.81570614,35.2414381583752,-0.378810266296455
"17_D04",3,"Suv39h2.3",38.4375,65.5016255269554,0.398899185375674
"17_D05",3,"Sp140.1",30.64445419,40.8658803112358,-0.230996390432357
"17_D06",3,"Sp110.2",24.21428571,22.6406545317946,-0.750733445237667
"17_D07",3,"Taf3.3",27.69176636,31.9300416582128,-0.469655965418125
"17_D08",3,"Suv420h2.2",38.49431818,65.670672288736,0.403491679899643
"17_D09",3,"Ssrp1.2",23.85844749,21.7844060419539,-0.779495103509172
"17_D10",3,"Smyd4.3",24.12587413,22.4261541453516,-0.757879568133638
"17_D11",3,"Tcea1.2",36.66823974,60.0983495145967,0.255893583022238
"17_E02",3,"Supt16h.2",21.6507177,16.9046184643314,-0.957941279908665
"17_E03",3,"Suv39h1.2",25.50200803,25.8929391860418,-0.646649546334312
"17_E04",3,"Smyd4.4",32.38283456,46.3950213376825,-0.0904867449315658
"17_E05",3,"Suz12.3",21.59672467,16.7948102727932,-0.96230542347341
"17_E06",3,"Suv420h1.3",29.65015587,37.7762171382266,-0.311363441784434
"17_E07",3,"Sp140.2",19.76413176,13.3406872983381,-1.11043007132097
"17_E08",3,"Smyd5.3",19.20428462,12.3905761026321,-1.1556813434439
"17_E09",3,"Taf1.3",45.88045234,84.146508181287,1.00049743902639
"17_E10",3,"Suv420h2.3",28.04273178,32.9502196351981,-0.441288165367992
"17_E11",3,"Ssrp1.3",42.85714286,77.5214270892785,0.756129663938145
"17_F02",3,"Sp100.3",29.63194011,37.7202713787057,-0.312835783525228
"17_F03",3,"Tcea1.3",41.05263158,72.916010487386,0.610274795446401
"17_F04",3,"Suv420h1.4",26.30972942,28.0497874771639,-0.581363117580916
"17_F05",3,"Sp140.3",37.40783857,62.3874945420221,0.315673807885282
"17_F06",3,"Sp110.3",26.6442953,28.9679639035422,-0.554320858011763
"17_F07",3,"Suz12.4",47.79270633,87.5967260938729,1.15506092517665
"17_F08",3,"Suv39h1.3",31.12226605,42.3723900773679,-0.192375858227041
"17_F09",3,"Supt16h.3",36.87845304,60.7529069839343,0.272884683918385
"17_F10",3,"Sp110.4",50,90.881149645431,1.33347185090969
"17_F11",3,"Taf1.4",30.8690013,41.5723261552977,-0.212846717685922
"17_G02",3,"Suv420h2.4",24.76262818,23.9965958009025,-0.706412071502453
"17_G03",3,"Supt16h.4",26.81498829,29.441782232647,-0.540524101025621
"17_G04",3,"Smyd5.4",32.20022413,45.8090002362277,-0.105246763640271
"17_G05",3,"Tcea1.4",25.67417806,26.3453876342008,-0.632733403297583
"17_G06",3,"Taf3.4",47.34898444,86.8471694534579,1.11919581386914
"17_G07",3,"Sp140.4",33.37620579,49.5933002176561,-0.0101946283230554
"17_G08",3,"Sp100.4",30.83723349,41.4722105119161,-0.215414443253047
"17_G09",3,"Suv39h2.4",26.38200534,28.2469426419041,-0.575521206298034
"17_G10",3,"Ssrp1.4",24.57317073,23.5231624221649,-0.721725520501526
"17_G11",3,"Suv39h1.4",25.13894827,24.9521939456314,-0.675994906563616
"19_B02",3,"Wbp7.1",23.5636646,21.0894384112616,-0.803321787293917
"19_B03",3,"Arid1b.1",21.81175715,17.2348635083476,-0.944924798348222
"19_B04",3,"Brd7.2",26.4051759,28.3102883541682,-0.573648378447559
"19_B05",3,"Actb",58.75758991,97.9390956962619,2.04132950676633
"19_B06",3,"Wdr82.1",27.25012432,30.6655473494572,-0.505352966804908
"19_B07",3,"Eaf1.1",35.68824066,57.0121031306528,0.176682309299732
"19_B08",3,"Cecr2.1",40.97951024,72.7199350646042,0.604364550635052
"19_B09",3,"Zmynd11.1",30.88235294,41.614419964215,-0.211767532580274
"19_B10",3,"Wdr5.1",42.88793103,77.5959511048178,0.758618207255231
"19_B11",3,"Chd7.2",25.87141751,26.8686310514849,-0.616790951532397
"19_C02",3,"Cecr2.2",20.07615092,13.8914280281841,-1.08521021592128
"19_C03",3,"Whsc1.1",29.98405104,38.8061356720921,-0.284375394300254
"19_C04",3,"Wbp7.2",37.17720392,61.6778995846882,0.297032092026687
"19_C05",3,"Chd7.3",25.32322782,25.4274100221511,-0.6610999763801
"19_C06",3,"Brdt.3",31.01750547,42.0410498711382,-0.200843436561614
"19_C07",3,"Brd7.3",30.4180418,40.1565591669984,-0.249296829855685
"19_C08",3,"Wdr82.2",24.68427095,23.8001620886827,-0.712745522339639
"19_C09",3,"Clock.3",29.12264584,36.1669077017853,-0.354000973013237
"19_C10",3,"Arid1b.2",29.99424295,38.8377015038321,-0.28355160355469
"19_C11",3,"Zmynd8.1",42.53910951,76.7434380218176,0.730423694153219
"19_D02",3,"Wdr5.2",43.79562044,79.7291249682554,0.831984841753021
"19_D03",3,"Dpy30.1",32.87037037,47.9630788341877,-0.051080246207675
"19_D04",3,"Arid1b.3",28.81355932,35.2349950902016,-0.378983789262061
"19_D05",3,"Whsc1l1.1",33.33333333,49.4550650034344,-0.0136599194988564
"19_D06",3,"Whsc1.2",22.72727273,19.1897391380181,-0.870925590915701
"19_D07",3,"Dpy30.2",42.85714286,77.5214270892785,0.756129663938145
"19_D08",3,"Cbx2.1",30.74010327,41.1664525623554,-0.223265275565203
"19_D09",3,"Zmynd11.2",31.68061816,44.1469153185054,-0.147245426248729
"19_D10",3,"Wbp7.3",24.5912361,23.5680822031263,-0.720265334469547
"19_D11",3,"Eaf1.2",38.0260818,64.2685046560706,0.365645113693667
"19_E02",3,"Zmynd8.2",45.79510703,83.9790972451226,0.993599156314389
"19_E03",3,"Actl6a",64.86662329,99.4379397079363,2.53510988382863
"19_E04",3,"Wbp7.4",37.55199049,62.8289072760684,0.327325305754795
"19_E05",3,"Cecr2.3",41.06910039,72.9600744745569,0.611605934876444
"19_E06",3,"Brdt.1",34.32021815,52.635404497996,0.0661079141705451
"19_E07",3,"Whsc1l1.2",41.2397541,73.4145560447513,0.62539951694243
"19_E08",3,"Wdr5.3",53.48314607,94.6845438092756,1.61500725476562
"19_E09",3,"Clock.1",36.86458778,60.7098250059766,0.271763983983552
"19_E10",3,"Cbx2.2",36.14976806,58.4721247646391,0.213986602699515
