type,shRNA,count,nbRawCount
target,Brd9.3,38714,99.72445322073905
target,Brd3.2,36460,99.64119562679001
target,Dnmt3a.4,33864,99.5126183687067
target,Hdac2.1,29067,99.13538635526675
target,Fkbp1a.4,27747,98.98568124036053
target,Arid2.2,27086,98.90084206341203
target,Asxl3.2,26908,98.87675849460163
target,Fkbp1a.1,26562,98.82836125664419
target,Atad2b.1,26225,98.77913420997871
target,Chd8.2,25409,98.65080299844647
target,Chd9.4,23346,98.25945846675495
target,Hdac8.4,23064,98.19736417504565
target,Jmjd1c.4,22835,98.14523019484392
target,Ezh1.2,22173,97.98541296836663
target,Ehmt2.1,21338,97.76288589997381
target,Asxl3.4,20550,97.52899234956325
target,Jarid2.1,17737,96.45805151180741
target,Atad2.3,16753,95.97400276194215
target,Ing5.2,16267,95.70904419382063
target,Hira.4,15847,95.4648518027374
target,Gadd45b.2,15609,95.3198218746071
target,Cbx5.2,15501,95.25235576114717
target,Baz1b.2,15208,95.06393832763584
target,Dnmt1.2,15086,94.98309742497838
target,Asxl2.1,15069,94.97171864137336
target,Ing2.1,14432,94.52435406126354
target,Hat1.1,14053,94.23762400905629
target,Cbx3.4,13913,94.12757036627484
target,Epc2.2,12451,92.82858437577828
target,Cbx3.3,12291,92.66803116171354
target,Hdac2.3,12117,92.48885340937262
target,Fbxl19.1,12073,92.44277125708501
target,Atr.3,11939,92.30046654634873
target,Chd2.4,11797,92.14637527555834
target,Ash1l.1,11462,91.76891300597963
target,Chd6.3,11396,91.6921593637898
target,Epc2.3,11002,91.21676668061714
target,Chd1.3,10925,91.12029863774514
target,Gtf3c4.4,10890,91.0760519144085
target,Jmjd4.2,10625,90.73277633203749
target,Ezh1.3,10216,90.17293179304433
target,Crebbp.3,10159,90.09187187749761
target,Brd1.1,9894,89.70476430179043
target,Hdac2.4,9840,89.62375899724945
target,Ercc5.1,9437,88.99535785830855
target,Dnmt3b.2,9419,88.96627537273102
target,Aff4.2,8880,88.052359554565
target,Dub2a.4,8779,87.87138281875353
target,Atad2b.3,8714,87.75320417123815
target,Epc2.1,8599,87.54077193667459
target,Jmjd1c.2,8257,86.88272663930601
target,Atrx.3,8191,86.75102174602893
target,Jarid2.2,8130,86.62788869833061
target,Bop1.2,8122,86.61163887790826
target,Ino80.3,8096,86.5586636384318
target,Chd3.1,7982,86.32340449436603
target,Ing4.3,7906,86.16381962498892
target,Cbx1.1,7849,86.04266110863888
target,Brpf1.3,7757,85.84440091177761
