Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+,Amet+CD62L+ as % of Amet+,Amet+ as % of Amet+CXCR3+,Amet+CXCR3+ as % of Amet+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+
B02,Fbxo17.2,203.3308903,1517.940825,20.16748081,103.0564545,97.034194,918.2586894,1156.938036,6489.797626
B03,Padi2.1,84.46759335,1466.528549,22.48792271,103.0106992,97.07729469,456.9115829,832.8057765,6930.751966
B04,Paf1.1,123.2840503,1123.95351,31.45695364,101.2573345,98.75827815,621.7028965,503.4914215,10076.096
B05,Kdm4b.3,176.4169552,1538.754349,26.42140468,103.5,96.61835749,705.9955782,835.7227131,6605.793003
B06,Gtf2h1.1,306.4662008,1384.833068,18.19699499,103.8488211,96.29382304,356.2041517,584.014757,6433.066744
B07,Rnf2.2,140.2924862,1362.689285,23.09063893,102.9681763,97.11738484,303.8552669,794.4355475,5870.370296
B08,Phc3.1,193.7616369,1623.19605,29.31252636,104.9115044,95.31843104,241.2628954,600.0455784,5921.369091
B09,Iws1.1,127.9065454,1398.348045,37.25617685,102.6017345,97.46423927,1063.321397,664.0926544,8478.323117
B10,Fkbp2.3,106.6949393,1501.878138,38.36096939,103.4642032,96.65178571,562.8388915,975.9320908,6324.962376
B11,Phf10.2,105.626205,1224.683655,36.87354796,103.8965517,96.24958513,352.4935088,883.6792764,6108.205636
C02,Phc3.2,174.8390662,1916.365687,34.62007314,104.0591966,96.09914669,358.2872633,839.4135097,6313.450943
C03,H2afz.2,108.234909,1373.592618,35.06979911,103.74426,96.39087504,465.596384,942.556092,6121.274371
C04,Fbxo17.3,103.0143441,1660.750962,34.34377082,102.6675787,97.40173218,530.0896476,1165.200785,6883.442086
C05,Phf10.3,420.4606883,1988.714588,38.30392715,105.5255255,94.76380194,615.6917298,873.7276319,6273.033145
C06,Parp2.2,74.12693113,1479.290243,41.38565297,102.67548,97.39423666,496.8929807,1360.931429,6532.339684
C07,Paf1.2,117.2401416,1283.999931,50.13404826,100.947226,99.0616622,1064.862802,969.1965115,8787.635164
C08,Gtf2h1.2,271.9856067,1487.927619,40.78947368,102.3798833,97.6754386,502.0633132,1093.02911,7474.056311
C09,Prdm16.1,166.582783,1331.117759,48.83093525,102.2058824,97.84172662,571.5778075,1074.409249,7159.597856
C10,Padi2.2,73.60959286,1370.752121,39.46208113,103.4671533,96.64902998,604.322669,1151.925697,6582.965998
C11,Jmjd8.2,208.5198618,1632.167006,34.61333333,103.5339591,96.58666667,369.8533125,865.5175561,6928.785554
D02,Fkbp5.1,164.3439397,1546.855537,29.19280636,102.6180258,97.44876621,737.398171,1256.524524,7625.954431
D03,Prdm16.2,152.8986854,1556.395742,47.86767637,102.8278689,97.24990036,720.3375637,1211.289295,6652.911419
D04,Padi2.3,163.7886303,1549.388037,45.02541757,104.1603631,96.00580973,783.7831326,1130.446485,6322.267143
D05,Hdac11.3,135.8930844,1326.134252,48.38858195,103.7744864,96.36279926,726.6929693,1302.242726,6362.032044
D06,H2afz.3,101.7170033,1544.817573,51.76950998,104.8525214,95.37205082,960.8082814,1233.081283,4727.332435
D07,Prdm16.3,79.72085298,1403.899785,45.76584914,101.4077898,98.61175382,996.1871316,906.4086684,8913.972107
D08,Parp2.3,95.22782825,1294.496642,54.33843738,102.166065,97.87985866,866.9403422,1455.327384,6237.460871
D09,Iws1.2,108.1849181,1424.582347,50.83333333,102.3582539,97.69607843,926.2478403,1164.177665,6886.778036
D10,Fkbp2.1,126.4270629,1576.177171,41.25719345,102.2171946,97.83089863,666.7670945,1154.745796,7976.442856
D11,Rnf2.3,218.9970662,1646.197988,36.45833333,108.987701,91.75347222,463.2676913,959.6599929,5110.538048
E02,Jmjd8.3,125.9804515,1267.745595,40.45599152,103.9118457,96.23541888,494.1293886,1237.997204,5740.343388
E03,Mecp2.1,67.10900367,1134.76842,38.86029412,101.9872516,98.05147059,490.0759511,1213.680496,7216.691482
