Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+
B02,Sirt1.1,644.4117149,571.0395982,31.48579413,53.56311132,123.4110182,127.2507386,621.9062972
B03,Smarca5.1,525.1051611,1173.04692,46.49643705,61.52019002,402.3390202,237.1111021,981.0336275
B04,Smarcc2.1,537.943912,807.6592835,37.76595745,60.30585106,158.416769,156.2277481,891.2411826
B05,Smarca4.1,469.043993,652.3475151,29.96127783,67.18296225,117.5724882,232.1552579,1222.682544
B06,Sirt4.1,739.047674,931.3566725,37.79429988,53.65551425,173.2253719,131.1376916,626.7101608
B07,Smyd3.1,500.6205519,694.1271067,37.43126473,59.89787903,160.911553,167.2420447,962.4808024
B08,Smarcd3.1,963.2475905,1041.551762,30.24,52.58666667,137.4339931,141.1067461,660.9006059
B09,Sirt7.1,493.0242751,954.0714607,30.78721746,58.88542479,137.3211049,140.9515837,847.2149632
B10,Sirt3.1,1104.927669,902.3451621,30.36649215,53.59012715,138.2294525,119.572903,703.6592955
B11,Smarce1.1,828.5042699,761.6248174,36.68948852,56.02094241,205.6727103,162.3936105,729.3198646
C02,Smarcd3.2,511.4903511,843.7883102,35.18742443,59.16968964,179.1580755,190.0865754,847.2981702
C03,Sirt5.1,336.7814804,594.4896505,39.25737861,56.26785148,191.239358,193.0549305,626.441062
C04,Sirt1.2,466.671388,595.3361408,33.6131934,51.36431784,143.912241,124.3334581,493.9791581
C05,Smarce1.2,1091.31055,626.4256951,45.65560821,53.01737757,120.0963583,370.1959251,558.1695731
C06,Smarcd1.1,584.8885496,663.1520314,34.88031265,55.6912555,77.3681163,124.1601777,689.1341426
C07,Smarcc2.2,401.8336114,888.773234,36.54855643,58.98950131,209.2972511,144.5950578,790.0440513
C08,Sirt4.2,351.3512459,800.6602424,34.50558544,60.48820852,160.5037643,139.7960345,864.8908249
C09,Smyd2.1,607.2701524,646.9656703,36.26257279,56.45844362,123.7082439,110.5456076,761.539498
C10,Smarca5.2,753.559047,1073.133844,40.16538689,59.18487891,222.6334664,168.8494749,876.1654757
C11,Smarca1.1,567.6780823,752.9782484,32.89362896,53.12938535,106.4450474,117.0904082,617.7140634
D02,Sirt3.2,411.0175354,720.1516607,40.37828947,58.88157895,218.9853821,179.1110667,753.3252174
D03,Smyd2.2,578.4191584,609.7852594,38.20933165,55.04413619,146.4571744,172.7783143,598.8933433
D04,Smarca5.3,577.8532545,905.9006971,47.14714715,60.96096096,321.346719,178.2149397,943.4100713
D05,Sirt6.1,783.4143578,804.344541,47.43859649,62.59649123,406.3863917,246.9778268,819.3385494
D06,Sirt5.2,321.1989979,654.5315518,35.60182834,54.90096496,157.6028708,138.5782439,621.4766008
D07,Smyd2.3,652.2067473,409.7555058,29.54545455,31.81818182,144.9083575,72.70038308,241.677378
D08,Smarcd1.2,350.2436582,496.7371666,34.19738407,53.95957194,107.5471506,103.5326006,586.0679431
D09,Sirt7.2,314.5141585,653.1009885,31.58047647,70.01743173,159.3093788,159.8669846,1499.165723
D10,Sirt1.3,484.134362,606.0481856,34.22599608,53.52710647,164.7481952,119.9288634,604.9190085
D11,Smyd3.2,898.1587076,741.477321,34.53012048,49.63855422,124.2526152,135.8373176,471.5460547
E02,Smarca1.2,535.2553558,572.9082944,36.41686183,52.95667447,170.6826793,149.641806,576.1049619
E03,Smarca4.2,362.6573726,533.6685152,37.07070707,56.5993266,96.99461001,214.0102641,667.4090547
E04,Sirt1.4,373.2354993,658.7441535,36.80799352,54.5773697,134.5833453,130.8815467,574.1606415
E05,Smarcd3.3,520.7184286,949.4964294,32.02511774,58.39874411,303.5093545,174.3922993,699.5074491
E06,Smarcc2.3,643.3810192,636.8041999,35.98566308,48.60215054,95.76833737,124.3424783,493.9951397
E07,Sirt6.2,309.7122738,674.5375263,37.77523592,52.58793251,157.4405813,123.6162454,553.2178332
E08,Sirt3.3,532.2494047,672.2497158,33.83458647,48.95810956,135.0608683,122.4042834,450.5250833
E09,Smarce1.3,1056.056043,508.6670244,48.48824188,46.98768197,80.13101462,282.5658981,413.8891399
E10,Smarcd1.3,795.9170434,588.1370555,46.44878583,46.97827278,67.06620068,72.91497566,445.5006933
E11,Sirt7.3,640.251213,990.6840572,61.84210526,47.36842105,140.3155929,149.5357193,385.1989151
F02,Sirt4.3,446.2629468,832.8582877,39.83709737,53.49870418,304.5248242,153.3858932,525.5801548
F03,Smyd3.3,361.6091661,737.8735914,41.71494786,55.50405562,260.5127603,155.2941729,680.7393111
F04,Smarcc2.4,785.2719626,785.8863522,42.4893918,56.83168317,172.4009182,186.9143249,699.3196365
F05,Sirt6.3,431.7948184,856.5214826,45.80896686,59.58414555,257.1884177,158.9617182,665.6515183
F06,Sirt5.3,508.9355259,707.8655272,42.13815789,49.50657895,147.6442113,131.6886662,433.842539
F07,Smarcd3.4,735.8651735,565.1826727,45.46699534,51.13667488,122.529542,118.1913223,497.630985
F08,Smarca4.3,694.7196039,732.7307317,39.65868569,62.9393785,143.0424198,197.2952099,1072.700177
F09,Smarca1.3,365.624777,1062.467817,44.67758444,63.97134084,367.3462416,243.7531414,1123.58101
F10,Sirt5.4,574.0555332,650.3850641,36.74481515,54.64382326,194.7515412,132.8806733,704.3633822
F11,Smarce1.4,617.5939369,609.0434844,45.34360951,57.86769428,151.3056561,209.7481006,742.8576758
G02,Smarcd1.4,335.0639955,515.9018582,33.55501814,50.60459492,159.5020084,110.5118915,450.1718299
G03,Smarca1.4,724.2833182,631.4415615,39.56857695,48.87314874,169.1982374,106.242453,471.6822336
G04,Sirt3.4,345.0821707,690.0667107,34.89489489,50.84084084,258.3636275,139.769922,503.1878441
