Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+,Amet+CD62L+ as % of Amet+,Amet+ as % of Amet+CXCR3+,Amet+CXCR3+ as % of Amet+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+
B02,Smyd4.1,189.0023211,1556.181164,34.37886917,104.0584067,96.09987619,223.9359119,691.3826019,5186.585424
B03,Suv39h2.1,139.7676161,1295.65041,44.09783765,103.0690537,97.02233251,644.4136435,998.4855341,5448.894057
B04,Suv420h1.1,202.1731596,1733.837906,25.79666161,106.6343042,93.7784522,516.1864317,716.5376621,4688.123863
B05,Suv39h1.1,127.6564907,1548.821669,32.37095363,102.880288,97.20034996,512.9097345,859.0248147,6239.210161
B06,Sp100.1,136.5828035,1478.076751,28.18923328,103.3378287,96.76998369,305.1360644,622.9508376,5709.316307
B07,Tcea1.1,194.5422564,1532.18212,32.54781421,102.1632938,97.88251366,338.4488812,553.9144033,6745.293295
B08,Suz12.1,200.8747795,2084.698448,32.31462926,103.5806954,96.54308617,972.8809446,637.0179414,6733.747783
B09,Ssrp1.1,87.88300196,1352.179649,25.147859,103.2738822,96.829903,267.0595941,501.4605621,5973.588569
B10,Smyd5.1,184.2679244,1180.845515,28.03581421,103.5942029,96.53049804,314.1622642,672.7179792,5824.792899
B11,Taf1.1,264.1834323,1046.188977,27.71008403,103.5683203,96.55462185,145.3962428,325.7555991,5367.200967
C02,Suz12.2,134.8832002,1492.516764,45.31607007,104.5798487,95.62071592,571.3154001,824.3050394,5583.716411
C03,Sp110.1,110.5443736,1349.83693,37.10323575,107.1310664,93.34360555,428.2695532,943.3799338,4340.337963
C04,Smyd4.2,117.0955327,1249.179108,39.16083916,105.0367261,95.2047952,418.0660351,1033.627841,5059.826087
C05,Taf1.2,152.6003811,894.6148225,38.45378151,105.0865419,95.15966387,274.3997609,578.7544874,4524.426271
C06,Suv420h2.1,168.4238391,1584.61478,48.60801782,104.3579314,95.82405345,488.8125929,1000.469807,5432.514189
C07,Suv420h1.2,113.453701,1327.286929,34.33430773,103.9215686,96.22641509,394.7247217,967.3893579,5392.246065
C08,Sp100.2,126.4607166,1485.987227,37.86539769,105.5615357,94.73147519,1285.993553,1211.980433,4719.575094
C09,Taf3.1,136.3384798,848.6389623,38.41489822,104.6216584,95.58250325,520.439694,628.507699,4435.247005
C10,Suv39h2.2,96.86546432,1380.758765,41.3730804,106.9565217,93.49593496,346.9628465,809.0734583,4424.858416
C11,Supt16h.1,177.7237612,1389.180704,38.06646526,109.4214876,91.3897281,355.8547751,726.770503,3959.808691
D02,Smyd5.2,189.6356942,1664.912631,40.21978022,106.0606061,94.28571429,323.0252893,903.7104159,5542.87932
D03,Taf3.2,150.956068,1449.050628,39.15379449,104.0531097,96.1047683,527.1316085,886.3941952,6026.288681
D04,Suv39h2.3,70.41735505,1416.433645,39.06390639,104.5483061,95.64956496,924.4710898,1552.722943,5144.110559
D05,Sp140.1,137.0695478,1518.226614,46.87355257,103.2520325,96.8503937,496.2693204,1180.038303,5567.653366
