,,Experiment: 10 U p1,Analysis: Analysis 3,User: Admin,Plate: 19,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:37:19 AM,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of GFP+,Count of Amet+,Count of Amet+GFP+,Count of singlets,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Untransduced,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Untransduced,GFP+CD62L+ as % of GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+CD62L+ as % of Amet+,CD62L+ as % of Untransduced,GFP+CXCR3+ as % of GFP+,Amet+ as % of Amet+CXCR3+,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+CXCR3+ as % of Amet+,GFP+CD103+ as % of GFP+,GeoMean APC-A - CD103 of GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+
B02,Wbp7.1,B02,Sample,644,2513,2451,8644,213.949428,584.5361767,163.3183835,101.5411176,545.0780257,580.9396749,1127.854096,1007.73173,30.90062112,33.12933497,37.40549144,39.90254467,45.80745342,103.1609195,52.18278254,96.93593315,42.70186335,198.0750163,246.2548492,675.0841875,109.1453295,149.3435767,996.0434261,419.5367719,609.086762,5860.52852
B03,Arid1b.1,B03,Sample,502,3535,2733,10048,187.8189847,592.1889387,112.4680058,87.99761937,610.5359682,1011.472914,882.2770497,984.8906096,34.26294821,33.18697402,39.43422914,33.57870895,52.98804781,109.0040086,51.11598975,91.7397454,41.23505976,171.4371508,232.2010329,597.4741717,121.7551966,212.149619,1352.704999,567.3390681,538.5566137,4233.437468
B04,Brd7.2,B04,Sample,679,2471,2451,8780,192.3335089,479.3373371,148.9359068,77.49929317,590.0303087,814.0974512,1294.735572,1123.669013,34.02061856,38.14769482,38.97207608,44.74812433,52.13549337,103.60587,59.9755202,96.51962768,47.27540501,206.6638315,249.8916032,767.2241415,114.3133807,221.717004,1314.607082,622.8155684,902.6541909,6520.330984
B05,Actb,B05,Sample,2735,2353,2897,14344,432.9044915,662.2758575,254.794867,119.4572405,662.4808718,1055.419788,1498.710009,1325.736646,31.5904936,28.61580946,27.24181895,38.85702581,48.88482633,102.7510917,60.61442872,97.32256694,39.45155393,153.3218928,338.238305,1075.483115,114.267454,197.5871704,972.4401759,548.7691286,846.0337184,6064.290223
B06,Wdr82.1,B06,Sample,894,3728,1816,11005,153.7875875,423.4366147,296.583877,78.75649464,685.6898162,678.5933775,1340.305685,1252.516295,25.27964206,16.96035242,8.556866953,31.54383736,55.03355705,119.9485199,40.08810573,83.36909871,46.86800895,239.928785,174.5384803,680.9478203,102.2748432,120.7434203,427.4793401,676.5567275,323.3950898,2146.724551
B07,Eaf1.1,B07,Sample,1802,2524,2994,12788,177.602351,415.5001948,100.4520433,66.25597501,694.2706773,882.5333216,1276.276623,1155.038361,32.0754717,34.16833667,38.23296355,38.11031935,49.55604883,102.6851098,58.1496326,97.38510301,45.94894562,200.2874127,235.3147562,776.259277,93.79473467,165.0764002,1119.62295,452.3773289,788.4789451,7096.560774
B08,Cecr2.1,B08,Sample,758,1874,2562,8855,160.822008,857.4805565,184.189207,56.78007899,661.4970756,950.5641809,1478.483004,1224.463681,30.47493404,35.48009368,40.8751334,31.96053196,55.14511873,103.8227147,53.39578454,96.31803629,49.86807388,257.0907072,212.6856085,867.8357665,120.4873764,206.3463122,1393.596458,680.9993027,631.3419144,6471.9973
B09,Zmynd11.1,B09,Sample,2266,1650,2430,12515,206.9613763,755.1508898,201.7131869,72.33385583,768.2847483,1048.775976,1558.487448,1239.935015,30.00882613,33.00411523,37.51515152,35.21812791,56.09002648,102.8037383,57.81893004,97.27272727,52.29479259,308.5497217,391.9514923,1272.639033,138.6230724,212.1435369,1184.489348,702.2400029,772.8442744,6431.706314
B10,Wdr5.1,B10,Sample,1272,1740,1965,10092,247.1697454,704.4853132,161.6535467,102.0515473,697.9363222,888.4303672,1356.959299,1208.452932,33.49056604,37.91348601,40.17241379,36.57384386,54.63836478,103.1416716,56.08142494,96.95402299,46.77672956,222.172675,305.8691017,1004.136226,128.8817882,226.434848,1323.510085,705.867,794.9060092,6801.513637
