Well,GeoMean PE-Cy7-A - CXCR3 of Amet+
B02,146.169920215526
B03,351.01669930495
B04,123.873626214704
B05,171.488175755022
B06,166.53140399905
B07,185.865786228956
B08,303.092750242037
B09,179.008621573651
B10,129.344563276896
B11,190.92651064149
C02,301.877503017732
C03,175.636170534622
C04,236.573452333907
C05,239.557432845222
C06,101.504709893784
C07,259.53853190208
C08,350.014758741311
C09,319.602561081642
C10,157.094752361357
C11,113.070233774333
D02,110.096643825509
D03,223.622418038571
D04,334.952202186724
D05,238.132260050666
D06,163.734586855504
D07,235.862685182082
D08,358.056491753447
D09,177.016011127884
D10,186.106138742411
D11,295.316539949077
E02,142.289808151865
E03,200.387009946181
E04,257.067250255818
E05,153.086739233536
E06,229.840232878316
E07,115.023828021186
E08,113.672631772891
E09,544.89390910662
E10,230.017035064828
E11,390.402207288623
F02,211.588565553731
F03,408.371604248225
F04,179.654227538674
F05,338.30398626253
F06,161.524369504715
F07,625.848656985966
F08,255.466028442724
F09,352.409245269729
F10,560.159272794172
F11,283.763302642444
G02,164.542571099061
G03,174.767604999673
G04,262.646839494761
G05,202.153067326002
G06,531.872314501289
G07,275.290732784946
G08,208.189687227743
G09,179.863284906726
G10,167.423043456396
G11,167.178306734389
