"Experiment: 100U p1","Analysis: Analysis 1","User: Admin","Plate: 16","Plate Type: 96 Well","Plate Order: Row","Export Date: 6/4/2015","Export Time: 8:06:49 PM"
"Well ID","Well Type","GeoMean PE-Cy7-A - CXCR3 of Amet+","GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+","GeoMean PE-Cy7-A - CXCR3 of GFP+"
"B02","Sample",283.262910783598,94.1050052638936,47.2132744819003
"B03","Sample",730.184840011389,97.8026989754196,58.1963832503121
"B04","Sample",185.353056357098,90.3462480698085,53.19628357287
"B05","Sample",970.513096039591,107.789731704236,57.704479338308
"B06","Sample",342.673327981845,68.7012767658617,45.316573243056
"B07","Sample",287.826743615122,59.4105537929243,36.5447931700807
"B08","Sample",122.272338700877,48.6888613903374,37.439992746028
"B09","Sample",350.065525305885,69.5418862875812,36.5462401797302
"B10","Sample",374.521810711514,55.4318388110433,37.3320159630462
"B11","Sample",160.794319110924,55.6472173016204,34.539825761126
"C02","Sample",317.65923061221,76.1029512769776,39.4002057707244
"C03","Sample",309.110311536737,72.3648423492022,46.1672166659249
"C04","Sample",234.249150440782,81.6559190251173,33.3533397568526
"C05","Sample",620.470558426453,60.1394586818183,39.6127201762943
"C06","Sample",230.262410964155,61.1984737837847,38.9931705843332
"C07","Sample",150.003968670274,56.1853821124097,38.4633534581257
"C08","Sample",210.301641869096,48.1177388653919,37.5064137080598
"C09","Sample",220.310143703596,57.6080895062375,35.7347747241606
"C10","Sample",299.533255210514,58.1064478778452,32.2924206638698
"C11","Sample",170.990982158964,49.3956510195214,35.262888422064
"D02","Sample",579.427408423755,85.9900090545507,52.5395748880761
"D03","Sample",263.415610302807,69.3013308428267,44.4456234833611
"D04","Sample",533.762529898593,97.6534692601567,51.8336428753573
"D05","Sample",300.345254941977,72.0859452690029,36.5153214527911
"D06","Sample",296.255583291798,65.0208640848084,37.0077441470877
"D07","Sample",1298.44877951184,201.934098663172,178.234587196497
"D08","Sample",288.784110745982,57.2425029911695,42.5037182378175
"D09","Sample",689.945028864217,144.9686395964,43.5413669942226
"D10","Sample",301.414283194889,81.3293215485387,43.0083217646228
"D11","Sample",125.758274003982,51.4402231949963,33.7913868249032
"E02","Sample",281.414126175658,88.4734440035835,43.0097091665132
"E03","Sample",1297.65077385817,77.6585771291471,43.5186237676114
"E04","Sample",318.245868604041,85.9890976587852,44.8112472707891
"E05","Sample",166.918605726848,50.5950320536785,35.9753543524733
"E06","Sample",132.467390289992,54.9930344350928,30.0133076365689
"E07","Sample",160.130253161394,47.4964937602072,29.6656724183241
"E08","Sample",97.5216335949404,43.0984748165774,30.9742432842108
"E09","Sample",414.017431163276,67.7385088037316,36.2069761152689
"E10","Sample",209.194630859679,44.7277632836398,31.8858470555716
"E11","Sample",135.85286021954,24.5912560967249,30.1837038929016
"F02","Sample",405.375974559857,94.9746643143337,49.2400912008016
"F03","Sample",216.937937138272,88.5042729122679,51.7676880497956
"F04","Sample",464.137853730306,88.8008606415731,48.552114022147
"F05","Sample",233.300255462429,86.3215869718335,60.7957964984276
"F06","Sample",202.598999361376,83.7687086535941,47.0276482649373
"F07","Sample",176.736645416372,69.3393273996289,50.7886014920812
"F08","Sample",394.322823333243,55.5189024242374,40.6977236725113
"F09","Sample",226.375033387866,57.4929287438498,34.7500469310196
"F10","Sample",227.13293479913,66.4057199507103,37.2559009751797
"F11","Sample",458.617784907843,67.6030196087837,41.1268732661354
"G02","Sample",230.049912034943,56.9330913843052,42.2851731597034
"G03","Sample",239.149426584688,71.4048676206598,43.075488528887
"G04","Sample",186.477055868738,60.0452244487597,38.9730743172494
"G05","Sample",209.935069337112,66.9053801106442,50.1945468400498
"G06","Sample",176.39208911569,60.8184886691308,49.0247130010303
"G07","Sample",201.304058265454,72.4965291727834,55.2510368376724
"G08","Sample",242.139942410747,73.9477414075965,40.2398556989411
"G09","Sample",1911.42955045497,204.938474988821,82.4070075932938
"G10","Sample",184.786551823294,58.32169816038,41.4431230571502
"G11","Sample",189.031241261382,57.2191803878373,35.9153053839245
