Well,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+
B02,68.6889701622082
B03,78.2056305003982
B04,62.1534086070179
B05,93.5754289107456
B06,84.2328657709954
B07,68.330055095937
B08,75.3065546639258
B09,50.7678501414306
B10,63.8456792074614
B11,73.8157527347568
C02,112.100998412418
C03,82.7377351900591
C04,72.0591304524344
C05,82.1867912015265
C06,81.5747397150279
C07,86.6468292382341
C08,91.5588769539076
C09,111.100769596343
C10,77.756256904087
C11,56.9961768023472
D02,86.3043991360224
D03,103.926291626833
D04,104.632638270312
D05,130.951007887845
D06,81.0526429239708
D07,95.2402031410463
D08,99.8026926897605
D09,77.0934556219207
D10,78.9621971871565
D11,83.6402877339311
E02,82.206760498445
E03,78.9046821323459
E04,81.9863754451075
E05,88.0109589628541
E06,77.4799302829323
E07,69.009991298657
E08,82.7211173281767
E09,70.7151451419079
E10,77.191265312397
E11,64.5254662915321
F02,77.9436100357235
F03,63.87590068102
F04,60.6562263478952
F05,105.881405381541
F06,69.4763613749538
F07,80.9681056345059
F08,80.396330905531
F09,93.0581999097407
F10,79.671404376318
F11,66.0291699427345
G02,138.57667947842
G03,109.564808426971
G04,70.5314369316051
G05,74.194662033595
G06,65.4631673487591
G07,101.164824285733
G08,106.991200777498
G09,71.4827623258926
G10,75.1421786392625
G11,72.4046089385508
