Well,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+
B02,91.6943082708625
B03,70.9695774448329
B04,72.8843047194594
B05,71.3487366761184
B06,59.0488676081137
B07,72.5030321258379
B08,77.9879937622544
B09,66.0265880285813
B10,54.7028264596188
B11,309.471818101108
C02,66.4810726624216
C03,61.0102408856594
C04,51.4948533577198
C05,45.3643194241943
C06,78.7613685178951
C07,65.1769684781909
C08,70.7329478653408
C09,74.2425373123086
C10,73.0322075841954
C11,586.599720654963
D02,62.4130184032404
D03,167.368028487946
D04,76.2501011798775
D05,74.1820065493509
D06,66.1335202372487
D07,124.706141033887
D08,111.38004268145
D09,113.587962892686
D10,69.6982708394151
D11,341.085457975033
E02,66.3667297803478
E03,82.745250617964
E04,62.1709299231063
E05,63.1404224530376
E06,70.0381610576128
E07,66.6872516633691
E08,109.037178964395
E09,63.3913179421991
E10,103.939858013585
E11,537.546492357645
F02,104.082071621753
F03,524.365843183911
F04,693.651357699151
F05,698.456079259804
F06,57.5003234967647
F07,72.032286438149
F08,81.5413119936686
F09,83.5203116565858
F10,34.2898060094452
F11,259.081841802126
G02,232.403640890153
G03,61.5880307223717
G04,83.7646283845762
G05,75.5335409931758
G06,62.9468732538455
G07,87.8905472915676
G08,86.2981865090034
G09,47.3853321773655
G10,9.9009866812278
G11,6.89092063903809
