Well,GeoMean PE-Cy7-A - CXCR3 of Amet+
B02,253.37744608601
B03,315.646248520696
B04,1011.28107705179
B05,471.870469045337
B06,465.883680603401
B07,297.333546802911
B08,250.713619929788
B09,662.232353443625
B10,317.345663197107
B11,297.949352452759
C02,167.900827822691
C03,185.922063524281
C04,290.133495561852
C05,196.168432957987
C06,196.057690251222
C07,750.014169769468
C08,265.367488352885
C09,295.650616631074
C10,308.033945775766
C11,164.249977842337
D02,283.467799799529
D03,225.517027595113
D04,460.881130638559
D05,353.691887667929
D06,839.987370182321
D07,445.957822977226
D08,435.763101105004
D09,355.508201900651
D10,188.222551734666
D11,113.415105656255
E02,228.310206762582
E03,267.0903633882
E04,268.690608321135
E05,154.989767279295
E06,762.085143030207
E07,257.445711972779
E08,446.093548972598
E09,207.847479149376
E10,278.35641157535
E11,193.126698357849
F02,269.025090846074
F03,320.745734640818
F04,318.673433089513
F05,190.244431538718
F06,298.454586286629
F07,223.266458570489
F08,201.828121643171
F09,302.29742042093
F10,245.365195832841
F11,241.720360617153
G02,166.654417213124
G03,266.58707767933
G04,88.6339836427633
G05,113.461151014217
G06,299.243058217007
G07,132.140564712811
G08,196.342868478985
G09,149.213889934651
G10,172.765055135596
G11,128.151661689721
