Well,GeoMean PE-Cy7-A - CXCR3 of Amet+
B02,283.262910783598
B03,730.184840011389
B04,185.353056357098
B05,970.513096039591
B06,342.673327981845
B07,287.826743615122
B08,122.272338700877
B09,350.065525305885
B10,374.521810711514
B11,160.794319110924
C02,317.65923061221
C03,309.110311536737
C04,234.249150440782
C05,620.470558426453
C06,230.262410964155
C07,150.003968670274
C08,210.301641869096
C09,220.310143703596
C10,299.533255210514
C11,170.990982158964
D02,579.427408423755
D03,263.415610302807
D04,533.762529898593
D05,300.345254941977
D06,296.255583291798
D07,1298.44877951184
D08,288.784110745982
D09,689.945028864217
D10,301.414283194889
D11,125.758274003982
E02,281.414126175658
E03,1297.65077385817
E04,318.245868604041
E05,166.918605726848
E06,132.467390289992
E07,160.130253161394
E08,97.5216335949404
E09,414.017431163276
E10,209.194630859679
E11,135.85286021954
F02,405.375974559857
F03,216.937937138272
F04,464.137853730306
F05,233.300255462429
F06,202.598999361376
F07,176.736645416372
F08,394.322823333243
F09,226.375033387866
F10,227.13293479913
F11,458.617784907843
G02,230.049912034943
G03,239.149426584688
G04,186.477055868738
G05,209.935069337112
G06,176.39208911569
G07,201.304058265454
G08,242.139942410747
G09,1911.42955045497
G10,184.786551823294
G11,189.031241261382
