Well,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+
B02,58.9639837708019
B03,73.2310687985657
B04,82.3888022167771
B05,68.6375256712029
B06,72.1335928691893
B07,62.4366657089069
B08,59.2956502829154
B09,82.511155425734
B10,74.9482619439871
B11,82.2613275657729
C02,52.401068552081
C03,48.9356420597008
C04,56.7531349882158
C05,75.8814707155178
C06,67.9431580687156
C07,74.9244830818911
C08,79.7560540084818
C09,98.3117947076891
C10,94.0403508647761
C11,51.879877677775
D02,77.4969699852918
D03,67.7847616125183
D04,93.8611963675895
D05,97.1692643906702
D06,103.016255261329
D07,85.3630068655985
D08,77.8111976206685
D09,79.2992134730901
D10,58.3924434324814
D11,44.8132762292934
E02,68.2330485353274
E03,49.4663125526997
E04,50.8065333908314
E05,58.8770798266104
E06,72.211006915328
E07,76.5391331112374
E08,82.9488866973639
E09,52.6237213744327
E10,66.1291407916086
E11,69.4079287111224
F02,83.7536722096038
F03,89.8576304154515
F04,60.5717884121448
F05,75.1072262347747
F06,86.3384411796493
F07,65.3256916213834
F08,89.7204826802182
F09,54.7886178393335
F10,54.3080047279557
F11,52.4349686657294
G02,67.4812399244229
G03,75.6742330546828
G04,34.9014588930909
G05,50.671114157136
G06,64.0857197767968
G07,58.9255052457838
G08,50.0106869876068
G09,47.9075661678421
G10,57.3417881849356
G11,49.190441224747
