Well,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+
B02,146.437607393532
B03,69.3452621892609
B04,61.665719425821
B05,72.9851632816901
B06,64.2053388763278
B07,65.1551229545867
B08,59.9523488404385
B09,80.6415250717657
B10,72.6212269376123
B11,121.327760099713
C02,80.7422740434776
C03,89.3398933525219
C04,96.143249622521
C05,77.7910334750307
C06,95.8131224663734
C07,59.0165670121632
C08,69.6856611694184
C09,86.5683593954077
C10,86.0545194764796
C11,136.524435469901
D02,81.5277266559896
D03,80.8947287204451
D04,92.8977243188695
D05,74.053439533514
D06,59.2048543644016
D07,63.0718022392166
D08,62.7200277223238
D09,92.2489771055123
D10,93.9292164202661
D11,69.5779499675488
E02,90.9181518247456
E03,66.929802158177
E04,69.5613625143394
E05,59.8370332595629
E06,86.4586556852201
E07,63.5829871675225
E08,89.8025926458711
E09,55.1638251282007
E10,44.7212051708118
E11,53.1084000886974
F02,59.1654095414176
F03,70.9635449974842
F04,56.9557874061506
F05,83.4015400486913
F06,55.2095509398491
F07,57.29283930959
F08,59.0530525456386
F09,65.9309586401753
F10,84.1850156807162
F11,20.1766737959428
G02,66.4824817265007
G03,82.4175047265629
G04,62.9191016944054
G05,72.7283158983015
G06,82.6542443454865
G07,80.424567295422
G08,63.6126994480963
G09,62.3499106064628
G10,46.4361766707118
G11,60.3117638133478
