"Position","shRNA","CD103Percentage_100U","CD103Percentage_10U","CD127GeoMean_100U","CD127GeoMean_10U","CD25GeoMean_100U","CD25GeoMean_10U","CD44GeoMean_100U","CD44GeoMean_10U","CD62LPercentage_100U","CD62LPercentage_10U","CXCR3GeoMean_100U","CXCR3GeoMean_10U","CXCR3Percentage_100U","CXCR3Percentage_10U","Lag3GeoMean_100U","Lag3GeoMean_10U","PD1GeoMean_100U","PD1GeoMean_10U","Tim3GeoMean_100U","Tim3GeoMean_10U","Tim3Percentage_100U","Tim3Percentage_10U"
"1_B02","Actl6b.1",53.226065136401,24.8851049656168,47.9710787183176,44.8062256662041,58.0115896230782,94.6703757990871,96.8405866888166,41.21709953,20.901972844845,23.0714353325697,43.8892058080415,49.1224980120861,46.6284696825916,63.1609221284137,56.3757796422193,70.2556936016724,55.0787224042809,51.9102915784663,85.8739914767746,91.0611778681173,85.2113192761822,93.3364753769989
"1_B03","Asxl3.1",38.938710556002,39.7107241428106,87.5338150114065,41.4329134414428,80.3827677409288,85.9787279427988,96.5783935784935,53.38750788,34.3976751853582,53.2367957147712,43.3389392755381,42.310323123504,40.6727680260332,50.0683275114368,42.6758164022333,88.3040441717857,58.7683442651897,83.9192429544014,72.6109631076519,80.3668201016131,78.9700437452629,89.8248164288529
"1_B04","Atad2.1",45.8887844143153,29.9105938685437,82.8503041892418,40.2269061007703,89.1187433125693,67.7021054259515,94.7424783377824,34.05890578,34.721527211785,57.6358598158821,42.9958570035337,37.8737770247205,39.8262212612801,42.6370457611152,45.9153305876125,75.5649536926555,58.5197295787927,77.7277472583766,89.278033700997,80.9307849282194,82.7465375330454,89.3840125506687
"1_B05","Asxl2.1",30.8326239135808,43.5419971419223,68.4049089932578,41.5047839410342,73.5061629734286,54.6314325983526,99.5842587925243,66.62417219,36.1320786331487,55.8078817579311,43.2294134724448,40.4734392118298,43.8198590222473,44.0900279638608,66.0592588933184,72.8574941406544,89.3371275321144,83.8115099982686,70.616117231628,44.5268744156663,76.1870518073311,64.6607686015406
"1_B06","Aff4.1",53.5698015112327,56.4511601377523,62.9997922258802,44.7052750089797,75.4323943180027,87.3459412978973,99.2442369885565,68.11890771,32.9989509163938,43.892562625182,43.2231363459309,41.1565712615159,42.9055214152752,44.7764335373543,41.1779240455023,93.6865718768044,79.7170235782538,92.6780004638131,77.2085363313452,84.6898769241425,79.6823697785231,93.8861286168034
"1_B07","Aurkb.1",33.0384923235248,47.4511701691843,60.968096440041,40.5634247260467,79.7114166073952,72.2928076188531,99.0395470369058,56.48125224,30.6488840622799,46.2603803481282,43.2169693685502,42.1639147651765,40.1013368016867,47.3777729178801,67.1814066943781,24.0534967106458,56.8188605775427,33.1126507364934,90.5912020382022,59.6961547531698,83.7479482162601,70.5379509369598
"1_B08","Atm.1",35.7780408336431,51.9140477748983,48.4413422448236,43.0740166369636,70.294028880227,86.3716087879267,97.5443702299868,64.26896663,43.5383553530117,66.6135784606621,42.7469380097698,39.8782902710316,38.5389970755955,43.8673830575753,29.9999328917187,80.3415480847,89.8879257451737,82.6872355375709,62.5071253621287,64.5327337820429,74.4339509641672,76.3761244892351
"1_B09","A2l.1",43.9120309752533,61.5235875401216,69.3630889745089,45.7193185799254,96.7314123340162,83.6327949464093,97.0704469214988,38.8694223,33.4268882546854,59.3470737640672,43.0385894116305,40.1508911568127,41.2002989258091,43.3160756556864,21.9185362636409,27.0891463006751,94.8881783406729,89.4632307830929,79.0905149407051,67.5110520475384,76.3536731208331,81.5292760568865
"1_B10","Aff1.1",34.031710182127,32.4142830197252,65.3538044932657,46.5309759511606,69.5322705010632,93.276616429572,96.1498262590765,64.71185184,25.7799881326902,38.8108827727404,42.8306658582282,39.5485307420145,38.2390081115856,40.4974091320557,37.7815490202621,85.8416017450519,48.2903403312388,76.4224684496292,93.9230360985573,97.2979924748107,83.7005076282241,96.5967459854526
"1_B11","Atr.1",23.2852418439144,19.4691185242389,70.5373053728078,42.3258596452497,86.8732409010505,88.4823592530005,98.8374751462523,31.13795018,17.4195883100714,41.8999241745453,42.7167422370136,36.7220984760465,37.3554681410995,37.3279609189017,36.9630488938021,65.1227746091966,30.5175763997918,64.8652344190568,89.2583101253386,88.7777082014229,82.9388945787951,93.985218253103
"1_C02","Atm.2",42.7569117576177,52.0539222439084,81.5788497420285,43.2299683142092,78.0987718075975,86.4953538679136,99.3612921431918,72.95348543,32.2698364634662,37.7825087375968,43.280604130824,46.0813977189019,40.9035574599134,56.6846932165762,41.250552372494,90.1113087964484,58.5784410540755,88.541114667292,77.9386458456736,96.4755085452878,80.1911557954004,96.9247700753932
"1_C03","Arid2.1",36.3960321145908,45.6776137201781,88.7125165163975,44.8100674231013,78.6535332919625,71.4248764638455,99.6806538070731,56.86937498,31.4433142884235,55.4214038862737,44.1432698846478,43.5759631809948,43.4225579338242,50.745575951004,65.7519651455056,76.321089697667,53.9669280799165,73.6093577763,93.3247942845402,71.607890234362,85.4947691515083,83.4428379678648
"1_C04","Actl6b.2",41.5351868110002,52.9653788733494,52.2112547201415,39.4545511130327,89.9232313305875,88.5885675250393,93.1967218211108,53.69153597,22.2548135338352,34.8910009686742,43.3666279380731,40.3411179798001,42.2187512596286,42.4751217675963,61.6444271720703,53.1542867158657,51.0927501913836,47.8559010789647,84.6329345851348,72.6597170275767,78.1864870171467,83.8781909740889
"1_C05","Atr.2",32.4657768337258,19.5258256689511,84.6386248923105,37.7547797671782,89.5363135670514,94.2350433132837,99.2327025875868,36.82777785,21.3941468997532,19.5821967310453,43.2939285674176,37.8449624005928,41.0827843105173,36.1224489283072,33.221735953693,52.6176610362108,49.0911785295826,87.112352637805,83.2308276717869,91.077119206743,80.8764597889857,93.8525617649241
