type,shRNA,count
contaminants,Smarce1.4,144774
contaminants,Rbbp5.4,41334
contaminants,Rbbp7.3,30763
contaminants,Paf1.3,26081
contaminants,Jmjd6.2,19708
contaminants,Smarcb1.2,17801
contaminants,Mbd4.1,16619
contaminants,Psip1.2,13852
contaminants,Zmynd11.3,13002
contaminants,Kdm1b.1,11160
contaminants,Sirt1.4,9954
contaminants,Kdm5d.2,8811
contaminants,Sirt5.2,8744
contaminants,Mll3.2,8110
contaminants,Parp2.1,7945
contaminants,Ncor1.1,6947
contaminants,Trim24.1,6935
contaminants,Mbd4.3,6041
contaminants,Kdm5d.1,4988
contaminants,Tcea1.1,4899
contaminants,Kdm6a.1,4686
contaminants,Prdm11.4,4537
contaminants,Kat5.2,4454
contaminants,Prmt8.4,4300
contaminants,Prdm8.1,4076
contaminants,L3mbtl1.4,3941
contaminants,Mll5.2,3453
contaminants,Pcgf2.2,3348
contaminants,Prmt3.4,3180
contaminants,Kdm5c.1,3018
contaminants,Phf20l1.4,2950
contaminants,Nap1l2.1,2945
contaminants,Sin3a.2,2893
contaminants,Nap1l3.3,2782
contaminants,Kat2b.2,2780
contaminants,Rnf2.1,2551
contaminants,Usp51.3,2460
contaminants,Setdb2.2,2429
contaminants,Supt16h.2,2359
contaminants,Mbd1.1,2276
contaminants,Prdm1.4,2265
contaminants,Prkaa2.3,2186
contaminants,Phc1.1,2140
contaminants,Setd4.3,2120
contaminants,Trim33.2,1963
contaminants,Usp22.2,1930
contaminants,Mecom.4,1892
contaminants,Mll2.2,1682
contaminants,Suv39h1.3,1661
contaminants,Rnf20.3,1659
contaminants,Mll2.1,1602
contaminants,Smarcd1.2,1556
contaminants,Scmh1.2,1520
contaminants,Taf1.2,1468
contaminants,Sp110.1,1421
contaminants,Satb1.3,1411
contaminants,Sp110.2,1404
contaminants,Prmt5.3,1343
contaminants,Phf19.3,1332
contaminants,Wdr5.1,1314
contaminants,Supt16h.1,1230
contaminants,Smarcd3.1,1216
contaminants,Padi2.2,1182
contaminants,Smarca1.3,1134
contaminants,Paxip1.4,1064
contaminants,Smarca5.1,1047
contaminants,Phf20.3,960
contaminants,Sirt3.3,901
contaminants,L3mbtl3.2,891
contaminants,Wdr82.2,874
contaminants,Ncor1.4,825
contaminants,Orc1.2,815
contaminants,Mll1.2,792
