GeneName,q3minusOther_nbPctg
Actb,-25.108550293824113
Actl6a,-16.31792404841262
Actl6b,-15.805197271336581
Aff1,-10.292148567621304
Aff4,-4.5705423721942395
Arid1a,-21.727224062449782
Arid1b,-8.365654985244937
Arid2,-11.443742036208162
Ash1l,-7.878867245381288
Ash2l,-7.122529239187131
Asxl1,-21.365129580645423
Asxl2,-5.912413609674363
Asxl3,-0.6050391268649058
Atad2,-4.514579460619377
Atad2b,-3.175973829721123
Atm,-5.147405913587857
Atr,-5.913899355135964
Atrx,-13.301556831442236
Aurkb,-14.720733044305303
Baz1a,-6.545222632253513
Baz1b,-8.984599301280607
Baz2a,-13.890189821141155
Baz2b,-6.450529034353401
Bcl6,-16.180748254226405
Bmi1,-7.358019984239101
Bop1,-11.121861234205458
Bptf,-14.371769280687525
Brd1,-8.633535202027266
Brd2,-5.584845163768854
Brd3,-2.758183735573569
Brd4,-12.873712110219083
Brd7,-12.16488374901931
Brd8,-7.662421226744364
Brd9,-6.913799892783376
Brdt,-13.77826150591248
Brpf1,-6.412344410734805
Brpf3,-10.822163084539675
Brwd1,-12.122114888775299
Brwd3,-12.348621135964146
CD4,-21.19427615838952
CDK9,-8.431608466336007
Carm1,-15.602526667057667
Cbx1,-5.729418825416664
Cbx2,-5.29447026691803
Cbx3,-0.6976688207510655
Cbx4,-9.141136262904096
Cbx5,-12.46630720970617
Cbx6,-21.809132655231103
Cbx7,-17.250796131107137
Cbx8,-9.877469225535515
Ccnt1,-1.109623905708684
Cd14,-8.593990857966944
Cd19,-4.5328987039542765
Cd4,-25.005404876901164
Cecr2,-25.196502442491592
Chaf1a,-19.29684987688488
Chaf1b,-15.759401411053611
Chd1,-3.8265439451216032
Chd1l,-14.466523378607171
Chd2,-8.666548791631872
Chd3,-10.114437247116884
Chd4,-19.965312406331968
Chd5,-3.4252962232664004
Chd6,-8.630889949978261
Chd7,-3.1722441359497524
Chd8,-6.81122892543733
Chd9,-6.3757068936357655
Clock,-17.377647637559136
Crebbp,-10.290284214198675
Ctsl,-6.805132734250012
Cxxc1,-4.134559950578952
Dmap1,-4.686082064766925
Dnmt1,-17.716115842635347
Dnmt3a,-4.503711444519318
Dnmt3b,-11.309870331590153
Dnmt3l,-13.119138507410145
Dot1l,-3.4181785820350488
Dpy30,-13.684321755471274
Dub2a,-10.654388335657682
Eaf1,-10.858117598731672
Eed,-12.674769618725655
Ehmt1,-12.54831175220213
Ehmt2,-7.088539311958115
Elp3,-8.36631578044666
Elp4,-4.849962751926
Ep300,-10.63248942231219
Ep400,-3.244777967004051
Epc1,-18.685340092947627
Epc2,-2.0058510225834603
Ercc5,-5.6784141858854085
Ezh1,-3.926022451855445
Ezh2,-13.036614813888672
Fbxl19,-4.869423499212759
Fbxo17,-26.27149657240908
Fbxo44,-13.460244287211
Fbxw9,-10.288318195838007
Fkbp1a,-2.1290137585145508
Fkbp2,-23.191130025875452
Fkbp5,-15.605954403623983
Fosb,-23.18930912812114
Gadd45a,-19.203738505504987
Gadd45b,-10.999851092559757
Gtf2b,-11.470307809793713
Gtf2f1,-9.548030896629367
Gtf2h1,-13.204252338591166
Gtf3c4,-16.260120440664068
H2afz,-32.43537090375953
Hat1,-5.116387302370763
Hcfc1,-16.13609842579388
Hdac1,-11.920328475614427
Hdac10,-5.189177370817692
Hdac11,-12.969348451906967
Hdac2,-2.4175132471888716
Hdac3,-15.51060057811969
Hdac4,-13.745335651616678
Hdac5,-19.03817075495299
Hdac6,-8.187274837405958
Hdac7,-11.730705548328016
Hdac8,-2.19197669958778
Hdac9,-13.150990820891284
Hells,-11.22402996420179
Hes1,-19.911512525141408
Hes6,-29.49026782144903
Hira,-11.193363384409395
Hltf,-7.49962981054983
Id2,-10.446100156258076
Id3,-13.275596325327598
Ing2,-14.687045028667573
Ing3,-5.222389171428887
Ing4,-13.04617809272774
Ing5,-3.505924407321851
Ino80,-8.503310707684264
Iws1,-18.226552983824323
Jarid2,-3.7590472610476375
Jhdm1d,-9.526003474102234
Jmjd1c,-14.188694772202808
Jmjd4,-10.252442162722678
Klf12,-26.693360086620515
Klf2,-13.094501713799053
Ms4a1,-2.721623664471828
Nfatc3,-18.618457385408
Runx3,-18.211484777305554
Tbx21,-13.816495767523998
